File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;31;7373;20423;14635666;298249;29.00;0.870877;5.764508;SAT
ENC3_RNDNNGR_17x77_01;31;6973;47248;11945587;326445;31.00;0.87009;5.287807;SAT
ENC3_RNDNNGR_19x54_01;46;10757;30364;21095801;952869;26.00;2.34029;13.394484;SAT
ENC3_RNDNNGR_19x72_01;254;84000;251274;175917430;7426381;83.00;17.8923;98.696073;SAT
ENC3_RNDNNGR_20x56_01;127;41884;150370;76151902;3854324;41.00;6.00487;31.599480;SAT
ENC3_RNDNNGR_22x57_01;62;15916;67938;27369286;1009473;31.00;2.28984;13.414612;SAT
ENC3_RNDNNGR_22x63_01;255;92767;321383;179412151;10302855;79.00;18.7354;101.885910;SAT
ENC3_RNDNNGR_25x40_01;46;10680;41804;17034789;420790;23.00;1.22405;7.137768;SAT
ENC3_RNDNNGR_25x66_01;62;14795;103801;23464201;566072;39.00;1.7012;9.144045;SAT
ENC3_RNDNNGR_25x72_01;125;34414;65860;72804078;1788191;49.00;6.35984;36.536576;SAT
ENC3_RNDNNGR_25x73_01;30;6280;58042;10450599;134477;40.00;0.965583;6.384362;SAT
ENC3_RNDNNGR_25x76_01;62;15433;38099;35180744;1132925;48.00;3.12646;17.599857;SAT
ENC3_RNDNNGR_27x73_01;61;13752;161631;28123174;534013;45.00;1.67671;8.984426;SAT
ENC3_RNDNNGR_28x56_01;38;9136;75272;15061886;278196;30.00;1.20942;7.089170;SAT
ENC3_RNDNNGR_28x75_01;509;191768;600931;446544135;19465304;181.00;53.9642;287.425370;SAT
ENC3_RNDNNGR_28x79_01;189;59893;353366;128431999;2993476;66.00;9.89055;52.472474;SAT
ENC3_RNDNNGR_29x38_01;126;37896;146088;71131457;2672861;40.00;5.58322;29.989999;SAT
ENC3_RNDNNGR_29x62_01;127;42794;185652;83839963;3565209;50.00;6.98437;38.666087;SAT
ENC3_RNDNNGR_29x68_01;62;15148;102301;26036845;473712;45.00;2.03108;11.804397;SAT
ENC3_RNDNNGR_31x45_01;63;16349;38169;32412617;675034;32.00;2.24502;12.186160;SAT
ENC3_RNDNNGR_31x48_02;116;31554;236503;58355752;1448680;38.00;3.90377;20.900649;SAT
ENC3_RNDNNGR_33x64_01;127;42806;346508;90905139;2309393;59.00;6.70982;35.270235;SAT
ENC3_RNDNNGR_33x75_02;1019;415176;1883068;1118114534;51519624;285.00;145.651;762.735303;SAT
ENC3_RNDNNGR_33x75_03;109;30301;311819;62014591;989472;63.00;5.04846;27.984248;SAT
ENC3_RNDNNGR_34x54_01;108;29430;72417;79629931;2401632;63.00;7.79718;40.571696;SAT
ENC3_RNDNNGR_35x28_01;63;16249;68788;29394560;785059;26.00;1.89597;10.089892;SAT
ENC3_RNDNNGR_35x61_01;254;87047;539075;182183977;6928667;92.00;16.7422;89.720334;SAT
ENC3_RNDNNGR_36x76_01;126;37266;466601;97518637;1086739;78.00;7.82663;42.140994;SAT
ENC3_RNDNNGR_37x36_01;31;7857;54809;13750254;199211;29.00;0.935116;5.360929;SAT
ENC3_RNDNNGR_37x57_01;63;17326;262773;43946332;382889;42.00;3.21312;16.882431;SAT
ENC3_RNDNNGR_38x60_01;31;7202;155391;21407231;118946;41.00;1.63181;8.996827;SAT
ENC3_RNDNNGR_38x70_01;70;20357;51249;55462857;1055195;81.00;4.82212;26.435376;SAT
ENC3_RNDNNGR_38x76_01;127;39953;677182;110712681;893170;80.00;9.73813;53.225104;SAT
ENC3_RNDNNGR_39x38_01;30;6229;67749;12660967;118265;29.00;0.984251;5.581406;SAT
ENC3_RNDNNGR_40x25_01;127;41451;128212;89133243;2820956;39.00;7.15247;37.287917;SAT
ENC3_RNDNNGR_40x50_01;30;6360;134079;19186409;107585;39.00;1.39091;7.409118;SAT
ENC3_RNDNNGR_43x49_01;61;14328;170050;28315683;263449;42.00;2.12352;11.652746;SAT
ENC3_RNDNNGR_43x78_01;382;141763;1992472;424421297;6068035;123.00;40.0852;213.316980;SAT
ENC3_RNDNNGR_44x45_01;509;189733;714020;486299581;17593034;125.00;51.4659;267.114864;SAT
ENC3_RNDNNGR_46x45_01;34;8395;155211;23949967;145522;40.00;1.55056;7.820248;SAT
ENC3_RNDNNGR_47x69_01;251;78200;929461;206761001;2566848;99.00;10.735;48.745816;SAT
ENC3_RNDNNGR_47x79_01;63;18205;455926;65733774;323398;76.00;3.97514;21.805088;SAT
ENC3_RNDNNGR_48x63_01;511;217935;1291587;520097906;19575286;194.00;26.6496;107.331379;SAT
ENC3_RNDNNGR_48x67_01;63;17944;341607;52293426;324982;74.00;2.73206;14.522418;SAT
ENC3_RNDNNGR_48x76_01;255;98046;1692031;312159457;2758179;104.00;17.0456;75.752415;SAT
ENC3_RNDNNGR_49x29_01;318;120552;365481;237552279;11629857;80.00;13.3625;57.739489;SAT
ENC3_RNDNNGR_49x37_01;2045;955952;2463288;2290934662;145419968;634.00;222.559;831.427567;SAT
ENC3_RNDNNGR_49x54_01;127;42923;522256;104560909;1519284;67.00;5.29173;25.568853;SAT
ENC3_RNDNNGR_51x38_01;636;265269;1156788;651398461;26787900;177.00;38.7606;152.683324;SAT
ENC3_RNDNNGR_51x43_01;127;43058;546088;103119284;1242855;52.00;5.16808;23.223980;SAT
ENC3_RNDNNGR_51x45_01;94;26447;185229;53392462;943215;52.00;2.63621;12.341710;SAT
ENC3_RNDNNGR_52x34_01;22;4224;70616;11060515;83382;35.00;0.886865;5.942886;SAT
ENC3_RNDNNGR_52x48_01;63;17315;327483;44757002;286768;48.00;3.0586;17.741008;SAT
ENC3_RNDNNGR_52x56_01;316;116544;1550628;321379748;4043052;86.00;17.1485;79.988158;SAT
ENC3_RNDNNGR_52x57_01;260;103213;195513;222151997;6296494;105.00;14.0419;61.704431;SAT
ENC3_RNDNNGR_52x61_01;127;41751;104943;108299484;4464642;95.00;6.93659;30.938083;SAT
ENC3_RNDNNGR_53x54_01;255;97138;1472553;272615108;3287210;84.00;13.9754;62.798190;SAT
ENC3_RNDNNGR_53x74_01;1018;412521;3802153;1188937773;29439037;240.00;69.1055;283.346979;SAT
ENC3_RNDNNGR_53x78_01;1022;439871;5501664;1388996885;27696316;245.00;78.191;310.361159;SAT
ENC3_RNDNNGR_54x46_01;125;35106;587241;96532902;729379;58.00;5.3551;25.959870;SAT
ENC3_RNDNNGR_54x77_01;382;146481;2949281;510607593;4076793;119.00;23.8921;94.471565;SAT
ENC3_RNDNNGR_55x26_01;509;191619;534888;405653466;20047433;164.00;23.6658;95.077928;SAT
ENC3_RNDNNGR_55x69_01;221;71280;1732440;279852668;1348711;90.00;13.4681;53.273420;SAT
ENC3_RNDNNGR_56x22_01;58;13006;102541;21442221;436420;27.00;1.24358;6.993224;SAT
ENC3_RNDNNGR_58x33_01;60;13450;183810;29580362;270788;40.00;1.44653;6.731756;SAT
ENC3_RNDNNGR_58x50_01;125;34512;503038;85653584;723307;61.00;3.27959;11.422351;SAT
ENC3_RNDNNGR_58x66_01;381;138812;2903160;488806741;3281637;115.00;24.8213;106.628241;SAT
ENC3_RNDNNGR_59x43_01;30;5988;92112;12479149;95491;47.00;1.00473;6.060992;SAT
ENC3_RNDNNGR_59x63_01;1534;724214;3782782;1930087582;80310526;447.00;151.158;640.389491;SAT
ENC3_RNDNNGR_59x72_01;15;2825;66356;9993357;44348;75.00;0.942604;6.837753;SAT
ENC3_RNDNNGR_60x28_01;93;25650;54075;54578366;1068233;41.00;2.0281;7.763850;SAT
ENC3_RNDNNGR_60x37_01;254;86778;186174;216380474;8581946;94.00;12.8776;51.144912;SAT
ENC3_RNDNNGR_60x67_01;253;82667;2047568;326905299;1684207;100.00;17.4095;71.376884;SAT
ENC3_RNDNNGR_61x54_01;382;147087;1706208;388317543;6738015;116.00;19.5658;82.473291;SAT
ENC3_RNDNNGR_61x55_01;253;82468;1471111;241470946;1880153;82.00;12.1959;53.646252;SAT
ENC3_RNDNNGR_61x63_01;53;12417;351500;48404805;192502;64.00;3.69043;19.839362;SAT
ENC3_RNDNNGR_61x70_01;179;56913;1438931;213828366;1019234;100.00;11.319;51.379727;SAT
ENC3_RNDNNGR_62x73_01;508;184605;3190687;614106683;5791905;154.00;28.7846;109.306830;SAT
ENC3_RNDNNGR_62x76_01;2044;948343;6057890;2815579443;110122719;701.00;213.935;886.842310;SAT
ENC3_RNDNNGR_63x55_01;893;376951;3437065;1101163183;30059665;216.00;63.6789;252.639264;SAT
ENC3_RNDNNGR_64x77_01;25;4710;159814;24711954;75566;88.00;1.56686;8.363449;SAT
ENC3_RNDNNGR_65x68_01;221;71114;2222481;369205628;1234125;113.00;22.9631;102.680230;SAT
ENC3_RNDNNGR_66x47_01;31;6739;127767;18200381;145275;65.00;1.22246;6.675916;SAT
ENC3_RNDNNGR_66x63_01;829;350487;3008824;984728260;25678763;237.00;61.5614;257.381831;SAT
ENC3_RNDNNGR_66x72_01;340;126138;3625898;598284442;2521293;133.00;33.5636;138.269458;SAT
ENC3_RNDNNGR_67x57_01;766;320947;651918;1059530972;41210372;228.00;91.3217;369.903103;SAT
ENC3_RNDNNGR_67x61_01;25;4773;118089;16528157;77037;76.00;1.13775;7.135671;SAT
ENC3_RNDNNGR_69x51_01;31;6812;191040;26021213;112868;73.00;2.33271;15.219835;SAT
ENC3_RNDNNGR_69x68_01;349;129056;3733529;623795616;2616733;133.00;37.9306;171.937711;SAT
ENC3_RNDNNGR_70x27_01;92;24788;219415;46713432;916285;46.00;2.08721;10.070812;SAT
ENC3_RNDNNGR_70x54_01;59;13193;335362;51991289;227298;75.00;3.2506;17.020250;SAT
ENC3_RNDNNGR_70x55_01;125;34224;80253;84079341;2095936;111.00;4.37157;19.562988;SAT
ENC3_RNDNNGR_71x60_01;339;125717;3189796;515460917;2739915;118.00;29.8953;132.532512;SAT
ENC3_RNDNNGR_71x71_01;127;43855;1142406;177489236;812803;115.00;9.8105;44.626335;SAT
ENC3_RNDNNGR_72x22_01;45;10419;101512;17006267;253161;39.00;1.21935;7.106293;SAT
ENC3_RNDNNGR_72x58_01;126;37866;616946;108416905;881225;97.00;5.55535;26.033807;SAT
ENC3_RNDNNGR_73x20_01;255;98340;370726;208519852;10486109;85.00;12.6278;56.681648;SAT
ENC3_RNDNNGR_73x32_01;42;9626;140287;20348187;241229;50.00;1.6639;10.215992;SAT
ENC3_RNDNNGR_73x62_01;255;96324;2336397;359426042;1906571;126.00;17.9723;73.252596;SAT
ENC3_RNDNNGR_74x31_01;255;100498;626768;228973520;7321110;99.00;11.9389;53.101279;SAT
ENC3_RNDNNGR_74x35_01;397;150254;1275256;360350199;8465926;110.00;20.3879;88.330089;SAT
ENC3_RNDNNGR_74x40_01;506;180542;394494;486433679;38482638;283.00;54.856;212.445953;SAT
ENC3_RNDNNGR_74x54_01;15;2962;70284;9426072;50675;74.00;0.740647;5.301538;SAT
ENC3_RNDNNGR_74x57_01;1022;438596;845701;1440385301;49695182;444.00;143.387;581.736568;SAT
ENC3_RNDNNGR_74x70_01;668;281677;8179007;1342241366;6706726;180.00;73.6614;288.443689;SAT
ENC3_RNDNNGR_75x70_01;127;43758;1081744;180879237;738950;115.00;10.0748;48.176330;SAT
ENC3_RNDNNGR_76x29_01;127;39180;113737;102991585;3556783;62.00;6.30828;27.857352;SAT
ENC3_RNDNNGR_76x34_01;253;82470;577466;191954377;4920249;92.00;9.56551;42.019742;SAT
ENC3_RNDNNGR_76x36_01;637;268791;1357154;677928618;22599716;202.00;39.9565;160.452296;SAT
ENC3_RNDNNGR_76x50_01;63;17151;489709;69703169;408919;85.00;3.68258;16.851163;SAT
ENC3_RNDNNGR_78x24_01;382;142156;270411;348360143;9355019;103.00;21.7873;92.431758;SAT
