File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;1.19684;37;188;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.65686;26;397;0;0;0;464;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.76785;35;218;0;0;0;282;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x72_01;3.78805;26;542;0;0;0;1221;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_20x56_01;1.08640;33;308;0;0;0;602;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x57_01;1.71217;41;501;0;0;0;879;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x63_01;15.86741;27;955;0;0;0;2461;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x40_01;1.64756;12;417;0;0;0;827;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x66_01;10.01246;112;2044;0;0;0;3460;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x72_01;8.19370;77;537;0;0;0;1035;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x73_01;1.10817;24;436;0;0;0;677;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x76_01;1.33648;30;255;0;0;0;390;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_27x73_01;1.50495;39;824;0;0;0;1041;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x56_01;0.36086;19;324;0;0;0;465;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x75_01;26.77398;49;1496;0;0;0;3311;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x79_01;2.66650;45;1200;0;0;0;1921;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x38_01;1.33696;14;340;0;0;0;606;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x62_01;50.90481;66;1747;0;0;0;3950;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x68_01;4.33338;56;1384;0;0;0;2619;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_31x45_01;1.83164;64;398;0;0;0;818;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_31x48_02;0.75700;36;564;0;0;0;873;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x64_01;3.91914;77;1393;0;0;0;2553;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_02;43.97846;98;2608;0;0;0;5742;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_03;4.28257;84;1862;0;0;0;2535;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_34x54_01;12.80163;97;429;0;0;0;977;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_35x28_01;0.82436;19;179;0;0;0;376;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_35x61_01;14.39390;111;1860;0;0;0;3634;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_36x76_01;6.10602;77;1472;0;0;0;2219;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x36_01;0.88929;25;348;0;0;0;612;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x57_01;0.95667;36;447;0;0;0;574;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x60_01;0.83180;33;372;0;0;0;583;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x70_01;1.76615;66;328;0;0;0;585;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x76_01;2.41328;58;1164;0;0;0;1518;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_39x38_01;0.09887;18;147;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_40x25_01;0.51365;20;351;0;0;0;557;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_40x50_01;0.44539;35;397;0;0;0;545;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_43x49_01;3.19834;84;1501;0;0;0;2438;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_43x78_01;29.65221;302;5958;0;0;0;9571;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_44x45_01;32.62329;53;1618;0;0;0;3550;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_46x45_01;1.62876;33;545;0;0;0;782;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_47x69_01;7.87170;112;2340;0;0;0;3814;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_47x79_01;1.56179;53;929;0;0;0;1400;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x63_01;17.64503;91;1993;0;0;0;4604;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x67_01;5.93360;137;2419;0;0;0;3345;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x76_01;16.93664;223;5021;0;0;0;6902;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x29_01;22.30550;49;1298;0;0;0;3212;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x37_01;161.86558;62;1697;0;0;0;5045;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x54_01;4.96243;83;1563;0;0;0;2384;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x38_01;35.31159;113;2342;0;0;0;5297;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x43_01;4.02722;102;1652;0;0;0;2447;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x45_01;8.59864;81;1802;0;0;0;3697;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_52x34_01;0.28406;27;180;0;0;0;292;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_52x48_01;2.42158;106;1557;0;0;0;2232;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_52x56_01;12.37660;204;3005;0;0;0;5295;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_52x57_01;11.01960;74;570;0;0;0;1412;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_52x61_01;7.94288;44;385;0;0;0;1008;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_53x54_01;11.82966;174;3279;0;0;0;5193;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_53x74_01;29.91104;218;4678;0;0;0;8574;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_53x78_01;50.01894;439;8330;0;0;0;13315;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_54x46_01;2.45844;59;986;0;0;0;1448;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_54x77_01;12.62630;203;4616;0;0;0;6601;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_55x26_01;8.13992;22;814;0;0;0;2010;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_55x69_01;2.68770;67;1177;0;0;0;1426;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_56x22_01;0.25835;22;343;0;0;0;444;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_58x33_01;0.84746;50;751;0;0;0;1059;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_58x50_01;5.77832;111;1854;0;0;0;3019;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_58x66_01;4.70308;107;2317;0;0;0;2947;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_59x43_01;0.86702;33;478;0;0;0;702;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_59x63_01;36.08556;156;3316;0;0;0;7373;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_59x72_01;1.20539;41;410;0;0;0;485;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_60x28_01;3.37739;34;285;0;0;0;531;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_60x37_01;6.38406;53;391;0;0;0;891;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_60x67_01;18.75313;274;5346;0;0;0;7886;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_61x54_01;26.40650;266;4394;0;0;0;8316;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_61x55_01;3.62957;93;1748;0;0;0;2644;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_61x63_01;2.21328;35;541;0;0;0;905;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_61x70_01;22.66927;285;5495;0;0;0;8092;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
