File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;31;7134;21295;14352795;418433;29.00;1.19684;7.082047;SAT
ENC3_RNDNNGR_17x77_01;31;7040;43627;9885948;263444;31.00;0.656856;3.415641;SAT
ENC3_RNDNNGR_19x54_01;31;6977;21032;12870112;319429;24.00;0.767846;3.777939;SAT
ENC3_RNDNNGR_19x72_01;126;36398;118041;68192949;2244337;50.00;3.78805;19.164661;SAT
ENC3_RNDNNGR_20x56_01;62;15825;67641;25632669;1002665;28.00;1.0864;4.684920;SAT
ENC3_RNDNNGR_22x57_01;94;27246;118108;45786352;2341168;43.00;1.71217;6.218269;SAT
ENC3_RNDNNGR_22x63_01;381;139207;453177;277650277;18687773;112.00;15.8674;65.672737;SAT
ENC3_RNDNNGR_25x40_01;63;19004;68368;32776720;1185666;27.00;1.64756;8.343810;SAT
ENC3_RNDNNGR_25x66_01;253;81583;489331;168462181;5948031;67.00;10.0125;48.362771;SAT
ENC3_RNDNNGR_25x72_01;188;58699;119369;135883588;3933234;65.00;8.1937;40.170764;SAT
ENC3_RNDNNGR_25x73_01;31;7218;74924;14540160;184644;40.00;1.10817;6.555616;SAT
ENC3_RNDNNGR_25x76_01;44;9977;25977;22556318;666123;44.00;1.33648;7.503921;SAT
ENC3_RNDNNGR_27x73_01;61;14214;173664;30701401;400355;45.00;1.50495;6.867262;SAT
ENC3_RNDNNGR_28x56_01;30;5897;51808;9947768;142025;30.00;0.360862;1.515113;SAT
ENC3_RNDNNGR_28x75_01;510;198940;570345;462286716;22057466;182.00;26.774;102.157737;SAT
ENC3_RNDNNGR_28x79_01;126;37431;205055;71699261;2754002;64.00;2.6665;11.103401;SAT
ENC3_RNDNNGR_29x38_01;62;15201;66334;26236955;960030;27.00;1.33696;6.713417;SAT
ENC3_RNDNNGR_29x62_01;698;289166;962087;675937967;52162692;256.00;50.9048;204.498794;SAT
ENC3_RNDNNGR_29x68_01;187;58490;381877;123494375;3827314;71.00;4.33338;13.884336;SAT
ENC3_RNDNNGR_31x45_01;110;30515;62279;60153094;1285965;32.00;1.83164;5.974686;SAT
ENC3_RNDNNGR_31x48_02;62;15906;110202;26404294;693579;32.00;0.756999;2.376940;SAT
ENC3_RNDNNGR_33x64_01;142;48012;379446;100115016;2215648;59.00;3.91914;16.501784;SAT
ENC3_RNDNNGR_33x75_02;700;291025;1347454;751229524;36238693;277.00;43.9785;173.232388;SAT
ENC3_RNDNNGR_33x75_03;126;36204;427164;83102013;946491;64.00;4.28257;20.715719;SAT
ENC3_RNDNNGR_34x54_01;156;50353;111249;143907908;3164639;64.00;12.8016;63.413110;SAT
ENC3_RNDNNGR_35x28_01;31;7857;31194;13189714;462169;23.00;0.824364;4.552342;SAT
ENC3_RNDNNGR_35x61_01;255;98230;611557;209301130;6479820;92.00;14.3939;67.083511;SAT
ENC3_RNDNNGR_36x76_01;125;35192;454624;88613916;990094;71.00;6.10602;32.678818;SAT
ENC3_RNDNNGR_37x36_01;31;7238;50529;12423805;166452;28.00;0.889287;5.495708;SAT
ENC3_RNDNNGR_37x57_01;31;6750;103411;16310045;103235;41.00;0.956669;5.011138;SAT
ENC3_RNDNNGR_38x60_01;29;5563;113204;15606032;76394;41.00;0.831802;3.994609;SAT
ENC3_RNDNNGR_38x70_01;62;15191;38677;39171372;771661;69.00;1.76615;7.543174;SAT
ENC3_RNDNNGR_38x76_01;63;18346;313306;48204392;414992;71.00;2.41328;11.739085;SAT
ENC3_RNDNNGR_39x38_01;9;1397;17266;2536972;16753;29.00;0.098873;0.528857;SAT
ENC3_RNDNNGR_40x25_01;52;12008;41433;21338513;482653;23.00;0.513645;1.647519;SAT
ENC3_RNDNNGR_40x50_01;28;5213;91592;13203998;68639;39.00;0.445393;1.544570;SAT
ENC3_RNDNNGR_43x49_01;126;36452;410009;80771889;1341682;48.00;3.19834;15.285370;SAT
ENC3_RNDNNGR_43x78_01;460;169571;2414978;504804458;6583498;125.00;29.6522;137.707486;SAT
