File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;31;6816;20027;13975689;320465;54.00;0.912479;4.651914;SAT
ENC3_RNDNNGR_17x77_01;31;6950;45808;12110730;293303;61.00;0.833107;4.570048;SAT
ENC3_RNDNNGR_19x54_01;31;7194;21014;13654375;459618;44.00;0.901052;4.411608;SAT
ENC3_RNDNNGR_19x72_01;255;96192;273213;208269280;9255423;115.00;9.17852;29.494673;SAT
ENC3_RNDNNGR_20x56_01;63;18589;76682;32835693;1401632;54.00;1.59328;7.178231;SAT
ENC3_RNDNNGR_22x57_01;62;15412;71012;27109496;964863;55.00;1.30042;5.489387;SAT
ENC3_RNDNNGR_22x63_01;476;174058;583516;358508361;23670326;190.00;18.6802;60.519551;SAT
ENC3_RNDNNGR_25x40_01;46;10680;41804;17034781;420790;41.00;0.913851;4.855526;SAT
ENC3_RNDNNGR_25x66_01;63;19183;126754;33290852;977808;81.00;1.73576;8.823376;SAT
ENC3_RNDNNGR_25x72_01;123;32700;62296;69706236;1706029;91.00;3.01723;12.539376;SAT
ENC3_RNDNNGR_25x73_01;30;6049;53829;9975235;133662;79.00;0.355363;1.269767;SAT
ENC3_RNDNNGR_25x76_01;60;13479;31900;30388172;713055;88.00;1.07043;3.436356;SAT
ENC3_RNDNNGR_27x73_01;63;17230;190431;34231214;445623;90.00;1.62741;7.552180;SAT
ENC3_RNDNNGR_28x56_01;22;4359;40255;6869304;96824;57.00;0.559313;3.393268;SAT
ENC3_RNDNNGR_28x75_01;510;194545;566488;446947247;18574110;183.00;26.4167;92.627157;SAT
ENC3_RNDNNGR_28x79_01;190;62798;369613;134129981;3617747;129.00;5.19023;18.474021;SAT
ENC3_RNDNNGR_29x38_01;142;47933;173905;92037592;3886218;60.00;3.35848;11.627243;SAT
ENC3_RNDNNGR_29x62_01;766;325198;1084223;796483059;55829573;421.00;54.7712;186.880844;SAT
ENC3_RNDNNGR_29x68_01;62;15148;102301;26036847;473712;90.00;1.45985;7.636110;SAT
ENC3_RNDNNGR_31x45_01;63;18438;42000;37920952;844922;57.00;1.695;7.252320;SAT
ENC3_RNDNNGR_31x48_02;63;16824;132859;28903383;530161;59.00;1.26206;5.425710;SAT
ENC3_RNDNNGR_33x64_01;189;60637;524025;136164885;2467471;106.00;4.91681;14.589037;SAT
ENC3_RNDNNGR_33x75_02;508;184556;931490;454202778;16985579;210.00;21.9031;78.728997;SAT
ENC3_RNDNNGR_33x75_03;127;41841;456202;90732184;1148816;129.00;4.15457;17.054623;SAT
ENC3_RNDNNGR_34x54_01;157;51300;106426;144533169;3049890;107.00;6.64572;25.158862;SAT
ENC3_RNDNNGR_35x28_01;46;11175;46670;19476716;575111;40.00;0.539158;1.664441;SAT
ENC3_RNDNNGR_35x61_01;188;59262;387891;117349872;3168250;108.00;4.59705;17.237650;SAT
ENC3_RNDNNGR_36x76_01;188;58903;759178;153957523;1781613;152.00;6.98033;26.522865;SAT
ENC3_RNDNNGR_37x36_01;31;7511;55628;13764317;162702;55.00;0.460636;1.670399;SAT
ENC3_RNDNNGR_37x57_01;78;22100;313097;56274942;516423;84.00;1.96891;6.056675;SAT
ENC3_RNDNNGR_38x60_01;30;5825;136465;18922998;96612;84.00;0.741452;2.403574;SAT
ENC3_RNDNNGR_38x70_01;77;21545;53400;58354559;1164980;154.00;2.2305;6.970048;SAT
ENC3_RNDNNGR_38x76_01;127;41500;695066;114859196;999866;154.00;4.72223;14.034476;SAT
ENC3_RNDNNGR_39x38_01;28;5186;49996;9528074;111280;57.00;0.307677;1.101261;SAT
ENC3_RNDNNGR_40x25_01;93;25530;81027;50371287;1492215;48.00;1.45649;4.324805;SAT
ENC3_RNDNNGR_40x50_01;30;6360;134080;19186411;107585;76.00;0.747599;2.358484;SAT
ENC3_RNDNNGR_43x49_01;94;26120;277660;52114464;662695;91.00;1.75372;5.379851;SAT
ENC3_RNDNNGR_43x78_01;349;129496;1827540;393513144;4744622;191.00;17.0667;50.926110;SAT
ENC3_RNDNNGR_44x45_01;507;181643;669668;468255809;16450777;167.00;26.3738;99.774069;SAT
ENC3_RNDNNGR_46x45_01;63;16837;283371;47203061;356614;81.00;1.92319;8.145064;SAT
ENC3_RNDNNGR_47x69_01;382;144056;1576474;397369786;5838522;210.00;17.6561;58.860648;SAT
ENC3_RNDNNGR_47x79_01;46;10465;255923;37081633;175709;162.00;2.45664;12.134105;SAT
ENC3_RNDNNGR_48x63_01;542;238715;1367187;592113275;22332615;265.00;31.2633;118.002092;SAT
ENC3_RNDNNGR_48x67_01;221;71095;1537121;258385371;1324041;166.00;11.9075;43.218580;SAT
ENC3_RNDNNGR_48x76_01;221;71575;1295366;222316611;1705033;185.00;12.009;52.414704;SAT
ENC3_RNDNNGR_49x29_01;518;231928;636571;495531182;30782150;192.00;29.3049;102.422050;SAT
ENC3_RNDNNGR_49x37_01;511;230237;672346;509101866;25331559;213.00;26.5991;86.727327;SAT
ENC3_RNDNNGR_49x54_01;63;17378;236178;41395953;378661;115.00;2.04269;10.045164;SAT
ENC3_RNDNNGR_51x38_01;382;142975;717729;328092205;12345935;163.00;16.3695;63.851411;SAT
ENC3_RNDNNGR_51x43_01;127;41723;530203;100768399;1383149;97.00;4.72053;19.539066;SAT
ENC3_RNDNNGR_51x45_01;254;89727;613224;204561118;5237933;126.00;8.27301;30.864847;SAT
ENC3_RNDNNGR_52x34_01;31;7548;114885;18355282;168063;73.00;1.11061;5.746802;SAT
ENC3_RNDNNGR_52x48_01;31;7889;143455;19751239;166862;98.00;0.905821;3.554361;SAT
ENC3_RNDNNGR_52x56_01;252;79539;1047940;207901301;2505616;137.00;9.45073;36.040488;SAT
ENC3_RNDNNGR_52x57_01;254;86710;169282;194121560;4121959;160.00;8.399;29.759206;SAT
ENC3_RNDNNGR_52x61_01;255;93151;201677;244747516;13256110;211.00;15.9501;60.503425;SAT
ENC3_RNDNNGR_53x54_01;255;102177;1425375;276751793;4917244;146.00;12.1359;43.457513;SAT
ENC3_RNDNNGR_53x74_01;511;215928;2030579;586303562;12173276;287.00;26.9812;95.830422;SAT
ENC3_RNDNNGR_53x78_01;382;146029;1897868;413349627;5513196;258.00;18.8033;65.606483;SAT
ENC3_RNDNNGR_54x46_01;126;36484;582328;95234051;819504;111.00;4.47504;18.374802;SAT
ENC3_RNDNNGR_54x77_01;317;117905;2331009;392795162;2861018;228.00;18.7366;71.903613;SAT
ENC3_RNDNNGR_55x26_01;126;38097;134317;70614422;2550913;71.00;2.15594;6.383245;SAT
ENC3_RNDNNGR_55x69_01;78;22322;489154;73027494;388295;174.00;3.18503;9.818760;SAT
ENC3_RNDNNGR_56x22_01;31;6954;53338;10399423;188554;48.00;0.295785;0.967448;SAT
ENC3_RNDNNGR_58x33_01;31;6718;87001;13041654;114938;79.00;0.475127;1.608846;SAT
ENC3_RNDNNGR_58x50_01;126;35976;486295;85186316;839951;123.00;3.16405;9.601738;SAT
ENC3_RNDNNGR_58x66_01;254;86488;1872071;309533794;1864789;211.00;15.5779;64.802215;SAT
ENC3_RNDNNGR_59x43_01;30;5988;92103;12479201;95491;98.00;0.932785;5.212827;SAT
ENC3_RNDNNGR_59x63_01;2047;1069455;5105245;2948356529;172068770;1105.00;234.577;786.066921;SAT
ENC3_RNDNNGR_59x72_01;15;2869;70630;10354311;38393;160.00;0.913312;6.100187;SAT
ENC3_RNDNNGR_60x28_01;124;33719;66109;71898995;1595734;78.00;3.04462;12.033124;SAT
ENC3_RNDNNGR_60x37_01;221;72156;162845;181764614;6743321;142.00;8.79709;29.302559;SAT
ENC3_RNDNNGR_60x67_01;236;75185;1818967;287458831;1330892;199.00;13.3844;49.263263;SAT
ENC3_RNDNNGR_61x54_01;292;111269;1338075;291631914;4172658;169.00;12.2064;42.973469;SAT
