File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;35;8493;26024;18281841;429073;54.00;1.10172;5.720836;SAT
ENC3_RNDNNGR_17x77_01;31;7115;44667;11509331;335033;63.00;0.80953;4.664474;SAT
ENC3_RNDNNGR_19x54_01;46;10597;28106;22597776;477339;44.00;1.07739;4.489149;SAT
ENC3_RNDNNGR_19x72_01;473;171887;459342;387658110;16445359;151.00;22.0474;71.429908;SAT
ENC3_RNDNNGR_20x56_01;127;38938;145080;71350991;2876193;62.00;2.95002;11.494330;SAT
ENC3_RNDNNGR_22x57_01;63;16642;68548;27807706;1021999;55.00;0.870282;2.670110;SAT
ENC3_RNDNNGR_22x63_01;127;42724;161085;78859148;4359777;83.00;2.82237;8.817291;SAT
ENC3_RNDNNGR_25x40_01;63;17998;70292;31281576;944049;44.00;1.55112;7.050882;SAT
ENC3_RNDNNGR_25x66_01;94;26581;187666;47405389;1110321;83.00;1.71214;5.543854;SAT
ENC3_RNDNNGR_25x72_01;125;34576;66403;77811216;1599534;98.00;3.34502;14.609187;SAT
ENC3_RNDNNGR_25x73_01;37;8629;87806;15286191;177327;79.00;0.738684;3.076863;SAT
ENC3_RNDNNGR_25x76_01;45;10202;24710;22716042;593113;88.00;1.80056;10.293931;SAT
ENC3_RNDNNGR_27x73_01;62;15461;180419;31630702;450573;90.00;1.76699;8.723739;SAT
ENC3_RNDNNGR_28x56_01;38;8957;79378;15437157;304843;60.00;0.970353;4.751820;SAT
ENC3_RNDNNGR_28x75_01;1244;584140;1519660;1468102575;108897294;677.00;147.228;500.526523;SAT
ENC3_RNDNNGR_28x79_01;270;105402;540594;234515835;7596763;151.00;10.0139;33.185738;SAT
ENC3_RNDNNGR_29x38_01;127;43569;159559;83305321;3297371;59.00;2.72839;7.926570;SAT
ENC3_RNDNNGR_29x62_01;255;96315;377031;208240226;11011465;119.00;8.33017;23.969657;SAT
ENC3_RNDNNGR_29x68_01;126;36914;247294;68728274;1647543;97.00;2.99065;12.698890;SAT
ENC3_RNDNNGR_31x45_01;123;32553;66089;66467686;1499991;63.00;2.64989;9.113799;SAT
ENC3_RNDNNGR_31x48_02;62;15762;133140;28408658;538256;59.00;0.927024;2.816758;SAT
ENC3_RNDNNGR_33x64_01;172;55154;463781;119747958;2080104;106.00;4.39095;12.894706;SAT
ENC3_RNDNNGR_33x75_02;509;192127;962160;466981749;17726974;211.00;22.9563;81.909454;SAT
ENC3_RNDNNGR_33x75_03;188;58991;658097;141149821;1989337;139.00;6.62201;27.335108;SAT
ENC3_RNDNNGR_34x54_01;127;41478;90763;107631423;2917803;94.00;5.74244;23.429892;SAT
ENC3_RNDNNGR_35x28_01;63;17911;70287;33102403;990362;43.00;0.952763;2.880018;SAT
ENC3_RNDNNGR_35x61_01;158;52449;338397;104307632;3063421;108.00;4.97866;21.290678;SAT
ENC3_RNDNNGR_36x76_01;190;61941;716404;151262401;2172420;152.00;7.01948;28.143781;SAT
ENC3_RNDNNGR_37x36_01;31;6796;51140;12067277;162609;56.00;0.867129;4.632514;SAT
ENC3_RNDNNGR_37x57_01;61;14184;209563;34588170;301360;84.00;1.53986;5.575030;SAT
ENC3_RNDNNGR_38x60_01;22;4402;107447;14334926;66508;84.00;0.653981;2.170104;SAT
ENC3_RNDNNGR_38x70_01;63;19010;44198;48741350;1483052;148.00;2.03155;6.385744;SAT
ENC3_RNDNNGR_38x76_01;158;51691;841361;139878816;1222465;156.00;6.24922;18.433392;SAT
ENC3_RNDNNGR_39x38_01;31;6642;64465;12892841;159460;58.00;0.416356;1.414378;SAT
ENC3_RNDNNGR_40x25_01;63;18141;60406;33500895;880586;44.00;0.946971;2.868866;SAT
ENC3_RNDNNGR_40x50_01;30;6360;134080;19186411;107585;76.00;0.799545;2.561903;SAT
ENC3_RNDNNGR_43x49_01;126;36779;419214;81396449;1103032;93.00;3.83711;15.672014;SAT
ENC3_RNDNNGR_43x78_01;255;102340;1364503;294646874;3852133;190.00;14.3409;50.716616;SAT
ENC3_RNDNNGR_44x45_01;381;138760;542388;344170383;11448821;164.00;16.5316;57.053961;SAT
ENC3_RNDNNGR_46x45_01;63;19088;319583;53016248;446146;82.00;2.68353;11.447098;SAT
ENC3_RNDNNGR_47x69_01;221;71543;772064;185730463;2413631;185.00;8.22522;28.530056;SAT
ENC3_RNDNNGR_47x79_01;93;25483;618111;92206064;643822;172.00;5.09416;21.216764;SAT
ENC3_RNDNNGR_48x63_01;509;190645;1203098;457826797;13061355;215.00;24.1472;95.793644;SAT
ENC3_RNDNNGR_48x67_01;78;22419;438224;69179964;452483;155.00;3.49563;15.422848;SAT
ENC3_RNDNNGR_48x76_01;126;38027;704600;120901787;952433;183.00;6.53777;27.713048;SAT
ENC3_RNDNNGR_49x29_01;508;185751;553898;378862406;18041603;141.00;19.996;71.257891;SAT
ENC3_RNDNNGR_49x37_01;893;374557;1037041;856732795;47550442;301.00;61.4212;209.489503;SAT
ENC3_RNDNNGR_49x54_01;190;62692;829134;162887737;2093152;127.00;6.98552;25.571400;SAT
ENC3_RNDNNGR_51x38_01;699;289705;1240763;721413518;31505204;222.00;40.7936;129.642972;SAT
ENC3_RNDNNGR_51x43_01;158;51684;681679;128928425;1610981;105.00;5.72252;22.364197;SAT
ENC3_RNDNNGR_51x45_01;255;100428;630301;224162729;6392114;145.00;9.166;31.248408;SAT
ENC3_RNDNNGR_52x34_01;33;8152;124488;20124182;181288;74.00;1.21557;6.330052;SAT
ENC3_RNDNNGR_52x48_01;61;14170;294111;40506284;240356;99.00;1.79814;6.008770;SAT
ENC3_RNDNNGR_52x56_01;127;42319;554370;105625476;1081099;133.00;4.40763;14.118673;SAT
ENC3_RNDNNGR_52x57_01;254;88212;174746;195406730;4766405;173.00;10.6768;42.239096;SAT
ENC3_RNDNNGR_52x61_01;253;82426;164434;214754285;5132874;163.00;10.5339;38.656487;SAT
ENC3_RNDNNGR_53x54_01;252;79245;1272800;228669593;2229060;134.00;10.8891;40.300748;SAT
ENC3_RNDNNGR_53x74_01;892;370320;3518345;1078732961;26289384;350.00;60.1901;213.093952;SAT
ENC3_RNDNNGR_53x78_01;765;315972;4085939;975249221;17735448;349.00;51.0948;173.039832;SAT
ENC3_RNDNNGR_54x46_01;124;33196;487448;80988648;628196;111.00;3.65389;14.467699;SAT
ENC3_RNDNNGR_54x77_01;448;167023;3717095;629056450;4066088;233.00;31.6744;99.241839;SAT
ENC3_RNDNNGR_55x26_01;1022;437757;1066178;976512696;63449857;423.00;76.0979;261.177754;SAT
ENC3_RNDNNGR_55x69_01;127;40745;958968;154675230;741422;178.00;7.83856;29.627778;SAT
ENC3_RNDNNGR_56x22_01;28;5121;39594;8764005;221536;48.00;0.515182;2.600900;SAT
ENC3_RNDNNGR_58x33_01;72;20587;229354;39924929;536858;81.00;1.95744;8.038406;SAT
ENC3_RNDNNGR_58x50_01;235;74369;1130630;205502567;2082331;135.00;8.8659;27.598749;SAT
ENC3_RNDNNGR_58x66_01;255;101608;2060278;347528797;2286982;214.00;17.0722;58.321390;SAT
ENC3_RNDNNGR_59x43_01;78;22296;488443;72444348;375861;105.00;3.41017;13.661903;SAT
ENC3_RNDNNGR_59x63_01;2558;1343227;6311061;3754069742;195742951;1123.00;336.852;1126.265257;SAT
ENC3_RNDNNGR_59x72_01;15;2869;70630;10354311;38393;162.00;0.621116;2.393972;SAT
ENC3_RNDNNGR_60x28_01;126;36386;70193;79255891;1548897;78.00;2.78056;8.613413;SAT
ENC3_RNDNNGR_60x37_01;126;35959;79884;85866799;2776934;111.00;4.38912;18.176738;SAT
