File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;1.51209;54;283;283;0;0;313;0;0;0;0;0;0;0;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.91697;7;408;408;0;0;504;2;2;0;4;0;0;6;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;1.57129;70;265;265;0;0;387;0;0;0;2;0;0;2;0;14;1;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x72_01;7.50371;14;813;813;0;0;1900;2;0;2;4;0;0;6;0;5;0;0;0.00000;0.00000;0;0;0;1;1;SAT
ENC3_RNDNNGR_20x56_01;3.76917;30;496;496;0;0;1183;0;0;0;3;0;0;3;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x57_01;1.33795;33;308;308;0;0;641;1;1;0;1;0;0;2;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x63_01;4.00045;20;535;535;0;0;1369;0;0;0;4;0;0;4;0;8;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x40_01;1.29308;13;466;466;0;0;810;0;0;0;3;0;0;3;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x66_01;1.75153;49;1042;1042;0;0;1682;1;1;0;3;0;0;4;0;4;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x72_01;3.03079;39;352;352;0;0;741;1;0;1;0;0;0;1;0;10;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_25x73_01;0.71955;21;670;670;0;0;834;1;1;0;4;0;0;5;0;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x76_01;1.43527;34;197;197;0;0;285;0;0;0;3;0;0;3;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_27x73_01;1.10402;24;778;778;0;0;1058;3;2;1;4;0;0;7;0;4;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_28x56_01;0.54042;30;485;485;0;0;682;1;1;0;4;0;0;5;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
