File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;35;8493;26024;18281841;429073;54.00;1.51209;7.984249;SAT
ENC3_RNDNNGR_17x77_01;31;7115;44667;11509331;335033;63.00;0.916969;5.666300;SAT
ENC3_RNDNNGR_19x54_01;46;10597;28106;22597776;477339;44.00;1.57129;8.027928;SAT
ENC3_RNDNNGR_19x72_01;243;76431;226006;156831971;5338976;95.00;7.50371;30.997959;SAT
ENC3_RNDNNGR_20x56_01;127;38938;145080;71350991;2876193;62.00;3.76917;16.760748;SAT
ENC3_RNDNNGR_22x57_01;63;16642;68548;27807706;1021999;55.00;1.33795;5.543141;SAT
ENC3_RNDNNGR_22x63_01;127;42724;161085;78859148;4359777;83.00;4.00045;15.978424;SAT
ENC3_RNDNNGR_25x40_01;63;17998;70292;31281576;944049;44.00;1.29308;5.183125;SAT
ENC3_RNDNNGR_25x66_01;94;26581;187666;47405389;1110321;83.00;1.75153;5.799127;SAT
ENC3_RNDNNGR_25x72_01;126;36293;69826;83023995;1791474;91.00;3.03079;9.159373;SAT
ENC3_RNDNNGR_25x73_01;37;8629;87806;15286191;177327;79.00;0.719553;3.069777;SAT
ENC3_RNDNNGR_25x76_01;45;10202;24710;22716042;593113;88.00;1.43527;7.431203;SAT
ENC3_RNDNNGR_27x73_01;59;13237;155998;25881660;343547;89.00;1.10402;3.881864;SAT
ENC3_RNDNNGR_28x56_01;38;8957;79378;15437157;304843;60.00;0.540418;1.717848;SAT
ENC3_RNDNNGR_28x75_01;893;376784;1022712;910038270;46391345;324.00;81.2403;296.933373;SAT
ENC3_RNDNNGR_28x79_01;127;39069;234297;74157199;1946874;117.00;3.46643;14.141118;SAT
ENC3_RNDNNGR_29x38_01;126;36865;144613;69401491;2197734;52.00;2.67112;9.528491;SAT
ENC3_RNDNNGR_29x62_01;255;96315;377031;208240226;11011465;119.00;10.118;38.801475;SAT
ENC3_RNDNNGR_29x68_01;127;41530;255528;78127361;2046820;104.00;2.95948;8.965546;SAT
ENC3_RNDNNGR_31x45_01;123;32553;66089;66467686;1499991;63.00;2.81055;10.653950;SAT
ENC3_RNDNNGR_31x48_02;62;15762;133139;28408613;538256;59.00;1.53373;7.249370;SAT
ENC3_RNDNNGR_33x64_01;188;59046;504674;125840486;2178118;107.00;6.60013;29.264658;SAT
ENC3_RNDNNGR_33x75_02;254;86123;474348;192072381;5980538;172.00;8.67444;30.500537;SAT
ENC3_RNDNNGR_33x75_03;165;53958;615688;130446804;1755341;138.00;7.01888;30.416211;SAT
ENC3_RNDNNGR_34x54_01;127;41478;90763;107631423;2917803;94.00;5.8469;22.080143;SAT
ENC3_RNDNNGR_35x28_01;63;17911;70287;33102403;990362;43.00;1.70795;7.886092;SAT
ENC3_RNDNNGR_35x61_01;190;62256;404723;123564711;3369090;109.00;5.69024;23.121713;SAT
ENC3_RNDNNGR_36x76_01;189;60641;733493;147087217;1778639;152.00;6.76387;24.542108;SAT
ENC3_RNDNNGR_37x36_01;31;7787;57698;14172997;206480;56.00;0.453143;1.531511;SAT
ENC3_RNDNNGR_37x57_01;61;14184;209563;34588170;301360;84.00;1.90622;8.759384;SAT
ENC3_RNDNNGR_38x60_01;22;4402;107447;14334926;66508;84.00;0.703853;2.564562;SAT
ENC3_RNDNNGR_38x70_01;63;19010;44198;48741350;1483052;148.00;2.6177;11.036903;SAT
ENC3_RNDNNGR_38x76_01;73;20717;353701;55549324;420763;146.00;3.21745;14.395965;SAT
ENC3_RNDNNGR_39x38_01;28;5186;49996;9528074;111280;58.00;0.38292;1.478099;SAT
ENC3_RNDNNGR_40x25_01;62;15459;52673;29399305;737910;43.00;1.26794;5.505620;SAT
ENC3_RNDNNGR_40x50_01;30;6360;134080;19186411;107585;76.00;0.938469;3.567869;SAT
ENC3_RNDNNGR_43x49_01;46;10987;124205;21642719;222687;86.00;1.3563;6.762340;SAT
ENC3_RNDNNGR_43x78_01;236;75205;1069935;210791906;2467788;188.00;10.1643;36.797264;SAT
ENC3_RNDNNGR_44x45_01;381;139719;519537;349206346;11870789;164.00;16.8227;58.684883;SAT
ENC3_RNDNNGR_46x45_01;63;16611;269270;42157126;282955;81.00;1.66722;5.104124;SAT
ENC3_RNDNNGR_47x69_01;254;88632;948305;236404359;4045755;189.00;10.6045;34.939284;SAT
ENC3_RNDNNGR_47x79_01;77;21255;544587;82527537;404936;169.00;4.33082;17.426745;SAT
ENC3_RNDNNGR_48x63_01;511;225064;1270265;536654234;18618719;264.00;27.2354;91.102893;SAT
ENC3_RNDNNGR_48x67_01;253;80924;1709651;286308903;1630033;168.00;14.8237;51.543690;SAT
ENC3_RNDNNGR_48x76_01;255;97804;1736273;302322644;2415209;201.00;15.6518;59.406506;SAT
ENC3_RNDNNGR_49x29_01;445;165706;506105;340769169;15789018;139.00;16.2897;49.577312;SAT
ENC3_RNDNNGR_49x37_01;2047;1055403;2622589;2559994702;185969155;673.00;234.768;774.682702;SAT
ENC3_RNDNNGR_49x54_01;255;94245;1223463;260502431;4000731;141.00;11.6186;41.694442;SAT
ENC3_RNDNNGR_51x38_01;511;224453;1016132;546504646;23890741;217.00;29.528;101.484588;SAT
ENC3_RNDNNGR_51x43_01;94;26259;345977;62935979;713648;97.00;2.88936;11.952122;SAT
ENC3_RNDNNGR_51x45_01;127;41432;295193;87984551;1728059;110.00;3.58592;14.183600;SAT
ENC3_RNDNNGR_52x34_01;33;8152;124488;20124182;181288;74.00;1.29322;6.641996;SAT
ENC3_RNDNNGR_52x48_01;61;14202;284090;38837627;219463;99.00;2.24258;9.519875;SAT
ENC3_RNDNNGR_52x56_01;127;42319;554370;105625476;1081099;133.00;4.62269;17.382648;SAT
ENC3_RNDNNGR_52x57_01;254;86716;167830;192780924;5047021;172.00;11.7377;42.382366;SAT
ENC3_RNDNNGR_52x61_01;253;82426;164434;214754285;5132874;163.00;10.5781;38.317968;SAT
ENC3_RNDNNGR_53x54_01;127;42522;637044;111229096;1117845;129.00;4.91788;18.909202;SAT
ENC3_RNDNNGR_53x74_01;1022;445426;3981582;1318395932;35783478;434.00;81.7964;309.346286;SAT
ENC3_RNDNNGR_53x78_01;511;224362;2925316;645384766;10605758;294.00;32.0784;103.373264;SAT
ENC3_RNDNNGR_54x46_01;93;25526;347763;58545979;529356;110.00;3.36848;15.378409;SAT
ENC3_RNDNNGR_54x77_01;444;162900;3291928;563949096;4412678;248.00;29.163;97.063853;SAT
ENC3_RNDNNGR_55x26_01;1020;419115;1038420;932563427;57467940;430.00;74.5692;249.149294;SAT
ENC3_RNDNNGR_55x69_01;108;29613;688635;106048527;503836;177.00;5.49599;21.084097;SAT
ENC3_RNDNNGR_56x22_01;28;5121;39594;8764005;221536;48.00;0.712715;4.434973;SAT
ENC3_RNDNNGR_58x33_01;62;15593;177375;30025824;375048;80.00;1.94895;9.784223;SAT
ENC3_RNDNNGR_58x50_01;213;68574;988399;183519800;2134352;134.00;8.05353;26.221375;SAT
ENC3_RNDNNGR_58x66_01;255;96271;1991344;325426140;2154815;213.00;16.1989;54.678895;SAT
ENC3_RNDNNGR_59x43_01;124;33067;650112;100096281;692289;106.00;4.67956;17.713175;SAT
ENC3_RNDNNGR_59x63_01;2047;1057109;5078323;2895293586;150661181;1106.00;233.275;781.490760;SAT
ENC3_RNDNNGR_59x72_01;15;2869;70630;10354311;38393;162.00;1.09959;7.700999;SAT
ENC3_RNDNNGR_60x28_01;126;35535;69019;76199543;1514202;78.00;3.18161;12.925819;SAT
ENC3_RNDNNGR_60x37_01;126;35959;79884;85866799;2776934;111.00;3.37453;10.368943;SAT
ENC3_RNDNNGR_60x67_01;349;129649;3270999;528995228;2702319;217.00;28.8462;107.363323;SAT
ENC3_RNDNNGR_61x54_01;507;182474;2126782;487926648;7999175;194.00;23.4796;83.848647;SAT
ENC3_RNDNNGR_61x55_01;379;135805;2541121;427567419;3889131;171.00;21.3718;77.984426;SAT
ENC3_RNDNNGR_61x63_01;63;18571;542459;76945337;308147;138.00;4.9151;22.365287;SAT
