File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;38;8997;23686;7882091;313456;19.00;0.509728;2.929068;SAT
ENC3_RNDNNGR_17x77_01;15;2922;19355;2095051;116630;19.00;0.223436;1.548846;SAT
ENC3_RNDNNGR_19x54_01;62;14847;39453;11304856;1044538;20.00;1.02939;5.018124;SAT
ENC3_RNDNNGR_19x72_01;255;94087;256176;87299170;9885683;70.00;11.4121;58.848698;SAT
ENC3_RNDNNGR_20x56_01;127;43159;150901;30657343;4535389;46.00;3.46511;17.799631;SAT
ENC3_RNDNNGR_22x57_01;63;18500;72558;12923566;1575104;22.00;1.26087;6.918747;SAT
ENC3_RNDNNGR_22x63_01;158;52502;184336;38422131;5730981;49.00;3.14162;14.812702;SAT
ENC3_RNDNNGR_25x40_01;127;42501;144248;29363547;3131378;33.00;3.10178;16.520923;SAT
ENC3_RNDNNGR_25x66_01;63;17391;112198;13872108;1002539;25.00;0.93842;4.946716;SAT
ENC3_RNDNNGR_25x72_01;116;31571;66917;28482844;2111552;38.00;2.95243;15.428067;SAT
ENC3_RNDNNGR_25x73_01;7;876;14176;1159124;21926;22.00;0.080488;0.477987;SAT
ENC3_RNDNNGR_25x76_01;49;11540;27428;10955633;610196;26.00;0.602266;2.451544;SAT
ENC3_RNDNNGR_27x73_01;6;799;12587;934043;22067;24.00;0.059567;0.314641;SAT
ENC3_RNDNNGR_28x56_01;31;6635;53023;4920112;213991;20.00;0.183948;0.727105;SAT
ENC3_RNDNNGR_28x75_01;764;313684;861135;325769327;41046566;258.00;52.4132;250.603458;SAT
ENC3_RNDNNGR_28x79_01;254;87555;422637;88748462;7101944;59.00;5.41403;24.856741;SAT
ENC3_RNDNNGR_29x38_01;189;60159;221330;43700737;4502843;35.00;2.7292;11.223268;SAT
ENC3_RNDNNGR_29x62_01;255;94469;358938;84183923;9482601;73.00;3.86373;11.993234;SAT
ENC3_RNDNNGR_29x68_01;63;17500;127132;15417925;690479;26.00;0.931159;4.913142;SAT
ENC3_RNDNNGR_31x45_01;125;33919;68570;22549458;1528265;26.00;1.74265;8.317823;SAT
ENC3_RNDNNGR_31x48_02;63;18063;133168;13254102;687337;20.00;0.922374;5.230186;SAT
ENC3_RNDNNGR_33x64_01;126;38315;317340;35623336;1882610;36.00;1.80477;8.263647;SAT
ENC3_RNDNNGR_33x75_02;255;97008;468738;92744422;8426531;81.00;6.7792;33.513876;SAT
ENC3_RNDNNGR_33x75_03;63;17379;225357;20391182;773465;32.00;1.06508;5.138633;SAT
ENC3_RNDNNGR_34x54_01;127;44034;92965;41210658;2589001;38.00;4.3755;22.073925;SAT
ENC3_RNDNNGR_35x28_01;63;16649;64359;10377380;829187;17.00;0.775549;3.875320;SAT
ENC3_RNDNNGR_35x61_01;252;79830;517229;71506266;5026052;58.00;3.1768;12.622240;SAT
ENC3_RNDNNGR_36x76_01;126;36918;496754;46514146;1459063;41.00;2.27154;10.929288;SAT
ENC3_RNDNNGR_37x36_01;14;2271;18861;1738588;51469;18.00;0.12468;0.947962;SAT
ENC3_RNDNNGR_37x57_01;31;7347;125275;9159203;228612;23.00;0.637714;3.700594;SAT
ENC3_RNDNNGR_38x60_01;6;667;19022;979758;23052;22.00;0.082122;0.552303;SAT
ENC3_RNDNNGR_38x70_01;62;15513;41789;15126889;1029066;42.00;0.91954;4.254348;SAT
ENC3_RNDNNGR_38x76_01;49;11559;273984;19282443;308196;35.00;0.897281;4.031977;SAT
ENC3_RNDNNGR_39x38_01;29;5565;62107;4679567;135505;19.00;0.200978;0.930410;SAT
ENC3_RNDNNGR_40x25_01;46;10793;38244;6832353;459248;16.00;0.519544;3.106674;SAT
ENC3_RNDNNGR_40x50_01;6;749;18083;938709;16096;20.00;0.057595;0.369108;SAT
ENC3_RNDNNGR_43x49_01;72;20606;238686;19794635;839413;29.00;1.26941;6.959855;SAT
ENC3_RNDNNGR_43x78_01;62;15989;252730;23245439;585614;40.00;1.21899;6.306345;SAT
ENC3_RNDNNGR_44x45_01;510;196990;730956;201273998;18199857;111.00;18.1757;80.399813;SAT
ENC3_RNDNNGR_46x45_01;22;4386;94849;6009200;85000;22.00;0.475909;3.126902;SAT
ENC3_RNDNNGR_47x69_01;255;93601;1008769;116144968;5813043;69.00;9.83066;53.386068;SAT
ENC3_RNDNNGR_47x79_01;15;3194;133288;8319166;92131;33.00;0.564199;3.594392;SAT
ENC3_RNDNNGR_48x63_01;507;182564;1091842;195766239;13804323;121.00;18.3041;95.351186;SAT
ENC3_RNDNNGR_48x67_01;60;13342;413317;30086588;281451;36.00;2.34688;13.409524;SAT
ENC3_RNDNNGR_48x76_01;127;40769;865389;73643195;1583468;48.00;5.33315;30.519167;SAT
ENC3_RNDNNGR_49x29_01;254;88346;292389;70241350;6389212;51.00;9.15034;49.294203;SAT
ENC3_RNDNNGR_49x37_01;1278;610712;1625739;567786473;83518164;175.00;71.1916;336.403301;SAT
