File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;29;5437;15343;5010277;289048;19.00;0.335355;1.891832;SAT
ENC3_RNDNNGR_17x77_01;30;5798;41378;4594163;203172;19.00;0.311661;1.778398;SAT
ENC3_RNDNNGR_19x54_01;31;6689;19567;4662092;377709;17.00;0.334524;1.580490;SAT
ENC3_RNDNNGR_19x72_01;765;317195;754681;315676322;40465812;173.00;55.2462;287.604418;SAT
ENC3_RNDNNGR_20x56_01;142;47862;166078;33977756;4585862;46.00;3.93526;20.575693;SAT
ENC3_RNDNNGR_22x57_01;15;3184;14059;2132294;136424;19.00;0.100246;0.513848;SAT
ENC3_RNDNNGR_22x63_01;318;121488;399404;99225985;14776379;102.00;9.49981;43.856302;SAT
ENC3_RNDNNGR_25x40_01;62;14775;59856;9415592;756702;17.00;0.541974;2.532860;SAT
ENC3_RNDNNGR_25x66_01;141;47109;261755;38513146;5035859;50.00;2.06694;7.547040;SAT
ENC3_RNDNNGR_25x72_01;125;34216;65136;31422761;1864320;32.00;2.71676;13.423642;SAT
ENC3_RNDNNGR_25x73_01;31;6644;87656;7206761;295801;23.00;0.306986;1.314963;SAT
ENC3_RNDNNGR_25x76_01;46;10824;25626;9345502;614852;28.00;0.472453;1.965626;SAT
ENC3_RNDNNGR_27x73_01;14;2331;36693;2905119;74313;24.00;0.118574;0.590556;SAT
ENC3_RNDNNGR_28x56_01;62;14910;114623;11189780;598973;21.00;0.400137;1.534561;SAT
ENC3_RNDNNGR_28x75_01;255;100578;304330;99581239;12419871;107.00;6.16817;24.363366;SAT
ENC3_RNDNNGR_28x79_01;127;40005;231395;38460696;2330665;37.00;2.02766;9.632765;SAT
ENC3_RNDNNGR_29x38_01;78;21877;87306;14361398;1442723;21.00;0.654739;2.599199;SAT
ENC3_RNDNNGR_29x62_01;508;185069;666962;171133895;26164437;159.00;15.471;61.608440;SAT
ENC3_RNDNNGR_29x68_01;126;37601;255027;33034213;2498809;41.00;2.30201;11.895294;SAT
ENC3_RNDNNGR_31x45_01;101;28326;57640;18518896;1206851;29.00;1.7835;9.745665;SAT
ENC3_RNDNNGR_31x48_02;62;15847;116812;11262492;568337;20.00;0.690195;3.478675;SAT
ENC3_RNDNNGR_33x64_01;126;36500;324307;35099342;1900154;36.00;2.12216;10.048303;SAT
ENC3_RNDNNGR_33x75_02;508;183851;929161;189156055;18670989;117.00;12.6793;52.299911;SAT
ENC3_RNDNNGR_33x75_03;62;15020;193670;17600977;505389;32.00;1.02969;5.468625;SAT
ENC3_RNDNNGR_34x54_01;253;82067;169477;85360864;7476308;84.00;11.6119;45.668975;SAT
ENC3_RNDNNGR_35x28_01;63;17199;66178;10745946;964517;20.00;0.501822;2.018226;SAT
ENC3_RNDNNGR_35x61_01;189;60120;375091;51683386;3447221;45.00;2.43417;10.465090;SAT
ENC3_RNDNNGR_36x76_01;94;26869;360940;34044656;940428;36.00;1.66469;8.248941;SAT
ENC3_RNDNNGR_37x36_01;28;5126;43409;3944588;160989;18.00;0.171726;0.744448;SAT
ENC3_RNDNNGR_37x57_01;62;15363;262817;19656976;378619;24.00;0.792878;3.360588;SAT
ENC3_RNDNNGR_38x60_01;6;649;15911;994917;11455;22.00;0.054407;0.374360;SAT
ENC3_RNDNNGR_38x70_01;63;18335;41198;17162819;837150;35.00;0.769104;3.394914;SAT
ENC3_RNDNNGR_38x76_01;31;7309;163960;11945771;218177;32.00;0.537192;2.562915;SAT
ENC3_RNDNNGR_39x38_01;21;3957;49272;3429959;82212;18.00;0.276655;1.653456;SAT
ENC3_RNDNNGR_40x25_01;52;11932;39140;8173185;586325;17.00;0.460423;2.204657;SAT
ENC3_RNDNNGR_40x50_01;7;1053;17461;1100065;47559;20.00;0.137728;1.097204;SAT
ENC3_RNDNNGR_43x49_01;14;2395;34940;2709942;56372;24.00;0.219218;1.594235;SAT
ENC3_RNDNNGR_43x78_01;127;43796;637336;60633554;2529744;54.00;2.79083;11.350160;SAT
ENC3_RNDNNGR_44x45_01;254;89076;351694;83752830;6419615;55.00;5.72289;26.464121;SAT
ENC3_RNDNNGR_46x45_01;15;2731;53668;3615828;70904;22.00;0.30222;2.029980;SAT
ENC3_RNDNNGR_47x69_01;63;18473;224104;23202054;777424;40.00;1.28777;6.969629;SAT
ENC3_RNDNNGR_47x79_01;11;1689;98395;5815529;34758;33.00;0.431132;2.965850;SAT
ENC3_RNDNNGR_48x63_01;638;271377;1525430;292511921;26740142;175.00;23.9525;104.329287;SAT
ENC3_RNDNNGR_48x67_01;63;16660;454240;32831404;568818;36.00;1.61277;7.660815;SAT
ENC3_RNDNNGR_48x76_01;63;18452;384727;33434354;546847;41.00;2.02269;11.138572;SAT
ENC3_RNDNNGR_49x29_01;255;91957;288248;72063239;8294636;69.00;4.84174;20.407194;SAT
ENC3_RNDNNGR_49x37_01;3836;1972911;4846746;1861590548;317160719;392.00;214.779;900.022768;IND
ENC3_RNDNNGR_49x54_01;31;7824;130168;10638172;192422;29.00;0.626297;3.715171;SAT
ENC3_RNDNNGR_51x38_01;510;201880;917388;189397514;18479156;111.00;16.3723;72.525566;SAT
ENC3_RNDNNGR_51x43_01;46;11032;183897;13718825;260716;25.00;0.786439;4.426804;SAT
ENC3_RNDNNGR_51x45_01;255;99342;667386;94191665;6064242;59.00;6.15148;28.827980;SAT
ENC3_RNDNNGR_52x34_01;15;3072;45447;3070032;104859;20.00;0.260097;1.556589;SAT
ENC3_RNDNNGR_52x48_01;22;4345;102395;6375155;108609;27.00;0.434077;2.386170;SAT
ENC3_RNDNNGR_52x56_01;126;36299;471954;43957593;1281046;44.00;2.43747;11.657957;SAT
ENC3_RNDNNGR_52x57_01;255;99190;191453;97156311;6212711;69.00;6.42165;26.130047;SAT
ENC3_RNDNNGR_52x61_01;157;51081;125734;54534424;10676417;85.00;15.0314;60.964223;SAT
ENC3_RNDNNGR_53x54_01;126;37819;626914;52228177;1387550;41.00;2.69689;12.685870;SAT
ENC3_RNDNNGR_53x74_01;382;146015;1441628;190074132;7998471;101.00;10.2154;46.530522;SAT
ENC3_RNDNNGR_53x78_01;255;100295;1270302;143887280;6409270;99.00;8.16667;37.275061;SAT
ENC3_RNDNNGR_54x46_01;31;7353;119905;9146965;200961;28.00;0.427539;2.009364;SAT
ENC3_RNDNNGR_54x77_01;125;34263;942951;77582368;910493;57.00;3.76229;18.563403;SAT
ENC3_RNDNNGR_55x26_01;381;139224;393744;120399228;15092145;109.00;11.445;55.351652;SAT
ENC3_RNDNNGR_55x69_01;14;2330;89867;5853663;47333;36.00;0.411085;2.961484;SAT
ENC3_RNDNNGR_56x22_01;31;7519;53941;4969002;309062;19.00;0.494077;3.297933;SAT
ENC3_RNDNNGR_58x33_01;30;6060;90577;6633105;183382;22.00;0.460161;2.732036;SAT
ENC3_RNDNNGR_58x50_01;31;7939;118522;10190257;356410;34.00;0.679464;3.713570;SAT
ENC3_RNDNNGR_58x66_01;127;39975;1161907;90251707;1524495;49.00;3.90576;16.604242;SAT
ENC3_RNDNNGR_59x43_01;30;5868;147375;10072770;134721;27.00;0.654043;3.640776;SAT
ENC3_RNDNNGR_59x63_01;1020;420766;2301558;508787814;44071369;276.00;39.0658;163.938455;SAT
ENC3_RNDNNGR_59x72_01;6;726;27183;1468733;38647;29.00;0.113241;0.869036;SAT
ENC3_RNDNNGR_60x28_01;85;23370;59206;21241305;3713472;37.00;3.1068;14.968760;SAT
ENC3_RNDNNGR_60x37_01;183;57738;134880;56972257;4727291;55.00;3.19551;13.382175;SAT
ENC3_RNDNNGR_60x67_01;61;14373;508961;37718799;339433;41.00;2.03112;10.419478;SAT
ENC3_RNDNNGR_61x54_01;127;42594;464518;49584441;2398946;53.00;1.95086;8.682010;SAT
ENC3_RNDNNGR_61x55_01;127;42328;852396;68181328;1568491;46.00;3.60859;17.108885;SAT
ENC3_RNDNNGR_61x63_01;7;807;35217;2542938;14071;33.00;0.237878;2.199083;SAT
ENC3_RNDNNGR_61x70_01;30;6076;278326;20058664;134963;44.00;1.10561;6.322743;SAT
ENC3_RNDNNGR_62x73_01;382;141815;2626466;256566704;6946357;105.00;12.8205;55.682334;SAT
