File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;29;5457;16857;4861920;263899;32.00;0.474567;2.900563;SAT
ENC3_RNDNNGR_17x77_01;31;7358;44138;5150514;351745;33.00;0.37543;1.988611;SAT
ENC3_RNDNNGR_19x54_01;31;7802;20820;5325740;363126;26.00;0.331058;1.515697;SAT
ENC3_RNDNNGR_19x72_01;255;92077;251217;85692561;9554387;84.00;5.14937;19.428882;SAT
ENC3_RNDNNGR_20x56_01;127;40406;148862;28407205;3414829;45.00;1.8236;7.868124;SAT
ENC3_RNDNNGR_22x57_01;31;7533;34976;4954946;457294;31.00;0.243378;1.193999;SAT
ENC3_RNDNNGR_22x63_01;255;91288;300777;70162101;10452411;84.00;4.16936;14.758177;SAT
ENC3_RNDNNGR_25x40_01;127;39507;134641;26524370;2842080;40.00;1.67176;7.811602;SAT
ENC3_RNDNNGR_25x66_01;63;17391;112198;13872108;1002539;41.00;0.860385;4.277766;SAT
ENC3_RNDNNGR_25x72_01;70;20250;45573;17043567;1318135;53.00;0.983916;4.058210;SAT
ENC3_RNDNNGR_25x73_01;7;876;14176;1159124;21926;39.00;0.060431;0.301211;SAT
ENC3_RNDNNGR_25x76_01;53;12231;28474;11658528;573526;50.00;0.47579;1.792511;SAT
ENC3_RNDNNGR_27x73_01;6;799;12587;934043;22067;44.00;0.052586;0.325246;SAT
ENC3_RNDNNGR_28x56_01;31;6635;53023;4920112;213991;35.00;0.185658;0.703105;SAT
ENC3_RNDNNGR_28x75_01;908;381087;1008933;397494066;53165027;283.00;38.5761;131.456836;SAT
ENC3_RNDNNGR_28x79_01;127;44513;224050;41726291;3612655;71.00;1.489;4.429060;SAT
ENC3_RNDNNGR_29x38_01;176;56398;207638;40593205;4547465;55.00;1.74361;5.039646;SAT
ENC3_RNDNNGR_29x62_01;511;212243;721553;205337620;31541923;196.00;14.0417;43.717152;SAT
ENC3_RNDNNGR_29x68_01;63;17500;127132;15417925;690479;47.00;0.934777;4.976468;SAT
ENC3_RNDNNGR_31x45_01;63;17412;38751;11172124;690756;35.00;0.842213;4.519061;SAT
ENC3_RNDNNGR_31x48_02;63;18063;133168;13254102;687337;33.00;0.876747;4.622690;SAT
ENC3_RNDNNGR_33x64_01;126;38315;317340;35623336;1882610;59.00;1.78754;8.306587;SAT
ENC3_RNDNNGR_33x75_02;255;97008;468738;92744422;8426531;112.00;4.32572;16.193882;SAT
ENC3_RNDNNGR_33x75_03;63;17379;225357;20391182;773465;59.00;0.772842;3.143596;SAT
ENC3_RNDNNGR_34x54_01;127;40112;86301;36865995;2584190;58.00;2.96236;14.057705;SAT
ENC3_RNDNNGR_35x28_01;85;23512;87398;14988231;1387432;27.00;1.00854;4.786518;SAT
ENC3_RNDNNGR_35x61_01;252;79830;517229;71506266;5026052;82.00;2.94717;9.489081;SAT
ENC3_RNDNNGR_36x76_01;126;36918;496754;46514146;1459063;73.00;1.43851;4.351026;SAT
ENC3_RNDNNGR_37x36_01;14;2271;18861;1738588;51469;29.00;0.065152;0.238439;SAT
ENC3_RNDNNGR_37x57_01;31;7347;125275;9159203;228612;42.00;0.244982;0.855883;SAT
ENC3_RNDNNGR_38x60_01;6;667;19022;979758;23052;40.00;0.037909;0.237754;SAT
ENC3_RNDNNGR_38x70_01;76;21241;48659;20553956;956494;71.00;0.647267;2.095725;SAT
ENC3_RNDNNGR_38x76_01;49;11559;273984;19282443;308196;68.00;0.601406;1.942732;SAT
ENC3_RNDNNGR_39x38_01;29;5565;62107;4679567;135505;29.00;0.111522;0.405036;SAT
ENC3_RNDNNGR_40x25_01;62;14658;50969;9886953;684527;25.00;0.290285;0.901187;SAT
ENC3_RNDNNGR_40x50_01;6;749;18083;938709;16096;34.00;0.035687;0.197372;SAT
ENC3_RNDNNGR_43x49_01;72;20606;238686;19794624;839413;49.00;0.587111;1.824558;SAT
ENC3_RNDNNGR_43x78_01;62;15989;252730;23245439;585614;80.00;0.702071;2.300354;SAT
ENC3_RNDNNGR_44x45_01;382;147317;564004;147055017;12116120;128.00;8.21571;29.796931;SAT
ENC3_RNDNNGR_46x45_01;22;4386;94849;6009200;85000;39.00;0.165593;0.599090;SAT
ENC3_RNDNNGR_47x69_01;255;93601;1008769;116144968;5813043;111.00;5.33812;20.542139;SAT
ENC3_RNDNNGR_47x79_01;15;3194;133288;8319166;92131;69.00;0.627441;3.719875;SAT
