File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;31;6682;18792;5663415;336245;32.00;0.361799;2.066462;SAT
ENC3_RNDNNGR_17x77_01;30;5935;46541;4959480;248291;32.00;0.343861;1.841082;SAT
ENC3_RNDNNGR_19x54_01;31;6569;19410;4579632;310597;26.00;0.290514;1.362793;SAT
ENC3_RNDNNGR_19x72_01;634;263602;645124;265297941;36157109;170.00;49.3761;258.462424;SAT
ENC3_RNDNNGR_20x56_01;70;20240;80711;13610259;1476066;32.00;1.16706;6.368498;SAT
ENC3_RNDNNGR_22x57_01;15;3184;14059;2132282;136424;31.00;0.231094;1.466079;SAT
ENC3_RNDNNGR_22x63_01;318;121488;399404;99225985;14776379;117.00;15.0508;78.879527;SAT
ENC3_RNDNNGR_25x40_01;62;14775;59856;9415592;756702;24.00;0.741538;3.713853;SAT
ENC3_RNDNNGR_25x66_01;141;47109;261755;38513146;5035859;66.00;4.4694;23.295943;SAT
ENC3_RNDNNGR_25x72_01;124;33322;61192;30638916;1733664;52.00;3.18493;16.798874;SAT
ENC3_RNDNNGR_25x73_01;29;5419;81787;6375157;203376;39.00;0.556181;3.504654;SAT
ENC3_RNDNNGR_25x76_01;62;15851;38557;14074918;914092;51.00;1.4559;8.385238;SAT
ENC3_RNDNNGR_27x73_01;14;2331;36693;2905119;74313;45.00;0.278124;1.900533;SAT
ENC3_RNDNNGR_28x56_01;62;14910;114623;11189780;598973;36.00;0.847468;4.504085;SAT
ENC3_RNDNNGR_28x75_01;255;100578;304330;99581239;12419871;132.00;8.67809;38.812360;SAT
ENC3_RNDNNGR_28x79_01;127;40857;225997;40340770;2369871;64.00;1.67566;7.389715;SAT
ENC3_RNDNNGR_29x38_01;188;59082;205124;42157634;4799003;55.00;3.50496;15.854895;SAT
ENC3_RNDNNGR_29x62_01;381;139770;518080;130465743;20194029;174.00;11.1907;47.240283;SAT
ENC3_RNDNNGR_29x68_01;126;37601;255027;33034213;2498809;63.00;2.11178;10.618232;SAT
ENC3_RNDNNGR_31x45_01;44;10009;23660;6245195;342874;31.00;0.578534;3.279416;SAT
ENC3_RNDNNGR_31x48_02;62;15847;116812;11262492;568337;33.00;0.674964;3.360776;SAT
ENC3_RNDNNGR_33x64_01;127;42760;357832;40371099;2713077;66.00;1.95747;8.001852;SAT
ENC3_RNDNNGR_33x75_02;508;183851;929161;189156055;18670989;149.00;12.5008;49.999814;SAT
ENC3_RNDNNGR_33x75_03;62;15020;193670;17600977;505389;59.00;0.897286;4.239228;SAT
ENC3_RNDNNGR_34x54_01;124;33675;78812;30575667;1960905;53.00;2.26463;9.957144;SAT
ENC3_RNDNNGR_35x28_01;46;11230;46237;6965339;505358;23.00;0.30071;1.150465;SAT
ENC3_RNDNNGR_35x61_01;189;60120;375091;51683386;3447221;69.00;1.90231;6.002068;SAT
ENC3_RNDNNGR_36x76_01;94;26869;360940;34044656;940428;68.00;1.02314;3.109434;SAT
ENC3_RNDNNGR_37x36_01;28;5126;43409;3944588;160989;29.00;0.120962;0.365279;SAT
ENC3_RNDNNGR_37x57_01;62;15363;262817;19656976;378619;43.00;0.537183;1.654631;SAT
ENC3_RNDNNGR_38x60_01;6;649;15911;994917;11455;40.00;0.048651;0.241637;SAT
ENC3_RNDNNGR_38x70_01;88;24071;53343;24852627;1359891;74.00;1.11346;5.186689;SAT
ENC3_RNDNNGR_38x76_01;31;7309;163960;11945771;218177;65.00;0.750709;4.542006;SAT
ENC3_RNDNNGR_39x38_01;21;3957;49272;3429959;82212;29.00;0.151056;0.643137;SAT
ENC3_RNDNNGR_40x25_01;63;16416;53914;11446810;815092;25.00;0.502591;1.925643;SAT
ENC3_RNDNNGR_40x50_01;7;1053;17461;1100065;47559;35.00;0.076628;0.329722;SAT
ENC3_RNDNNGR_43x49_01;14;2395;34940;2709942;56372;45.00;0.122072;0.593140;SAT
