File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;27;5016;14151;4256900;219530;32.00;0.441869;2.635744;SAT
ENC3_RNDNNGR_17x77_01;31;7144;43621;4974475;340404;32.00;0.462106;2.684335;SAT
ENC3_RNDNNGR_19x54_01;61;13935;37296;10018386;852165;26.00;0.868537;4.551628;SAT
ENC3_RNDNNGR_19x72_01;189;60735;177161;53475383;4616695;64.00;3.59721;16.088024;SAT
ENC3_RNDNNGR_20x56_01;62;14983;64604;10297021;1117779;32.00;0.445841;1.593351;SAT
ENC3_RNDNNGR_22x57_01;61;13976;64543;9700947;718222;31.00;0.34862;1.172853;SAT
ENC3_RNDNNGR_22x63_01;255;94440;322644;74994748;11106263;85.00;4.21866;13.036733;SAT
ENC3_RNDNNGR_25x40_01;149;49027;165251;34896635;3783002;41.00;2.18347;8.822760;SAT
ENC3_RNDNNGR_25x66_01;94;26603;162913;20872373;2041415;46.00;1.40693;6.542063;SAT
ENC3_RNDNNGR_25x72_01;124;33098;63737;29985149;1586498;52.00;1.22336;4.041706;SAT
ENC3_RNDNNGR_25x73_01;15;2644;34279;2861592;107484;39.00;0.100408;0.382286;SAT
ENC3_RNDNNGR_25x76_01;45;10132;22905;9347415;551739;48.00;0.341802;1.054951;SAT
ENC3_RNDNNGR_27x73_01;6;799;12587;934043;22067;44.00;0.047472;0.260816;SAT
ENC3_RNDNNGR_28x56_01;61;14116;112289;10876931;578124;36.00;0.50996;2.398900;SAT
ENC3_RNDNNGR_28x75_01;893;376283;1022024;389250166;59830316;283.00;38.1842;131.735046;SAT
ENC3_RNDNNGR_28x79_01;127;42570;214785;42607975;3877267;71.00;2.45439;10.675940;SAT
ENC3_RNDNNGR_29x38_01;127;38854;153287;27625293;2323671;35.00;1.30832;4.763975;SAT
ENC3_RNDNNGR_29x62_01;318;119937;442703;108902198;17644333;124.00;6.72761;21.376622;SAT
ENC3_RNDNNGR_29x68_01;63;18507;129043;15750172;976826;50.00;0.486694;1.526918;SAT
ENC3_RNDNNGR_31x45_01;62;15934;37180;10018518;710963;32.00;0.78352;3.753488;SAT
ENC3_RNDNNGR_31x48_02;63;18063;133168;13254102;687337;33.00;0.58877;2.319535;SAT
ENC3_RNDNNGR_33x64_01;126;37179;316725;36072014;1806967;59.00;1.37312;4.597082;SAT
ENC3_RNDNNGR_33x75_02;255;95767;476684;90347351;8756705;113.00;4.58263;16.741174;SAT
ENC3_RNDNNGR_33x75_03;123;32840;435773;40432745;1280253;65.00;1.65224;6.520170;SAT
ENC3_RNDNNGR_34x54_01;109;30324;80234;27988567;1904057;55.00;1.75364;7.298311;SAT
ENC3_RNDNNGR_35x28_01;63;16804;65003;10762622;936525;24.00;0.399218;1.309691;SAT
ENC3_RNDNNGR_35x61_01;127;40811;276948;34905202;2230172;61.00;1.13488;3.412574;SAT
ENC3_RNDNNGR_36x76_01;63;18809;252153;23664789;650186;67.00;0.678787;2.186983;SAT
ENC3_RNDNNGR_37x36_01;14;2309;18383;1707653;50438;29.00;0.060448;0.228444;SAT
ENC3_RNDNNGR_37x57_01;57;12898;199375;14893572;441666;42.00;0.415577;1.357416;SAT
ENC3_RNDNNGR_38x60_01;6;667;19022;979758;23052;40.00;0.04904;0.259988;SAT
