File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;30;5924;16008;4988630;320449;32.00;0.503209;3.144048;SAT
ENC3_RNDNNGR_17x77_01;45;10401;68957;8191924;839980;36.00;0.648846;3.399995;SAT
ENC3_RNDNNGR_19x54_01;53;12159;35307;9145365;780124;26.00;0.999479;5.791439;SAT
ENC3_RNDNNGR_19x72_01;254;86591;223057;82129220;7300456;65.00;5.24274;19.889255;SAT
ENC3_RNDNNGR_20x56_01;127;39441;139384;27205841;3117645;45.00;1.76167;7.652073;SAT
ENC3_RNDNNGR_22x57_01;15;3088;13806;2094002;120128;31.00;0.083068;0.355070;SAT
ENC3_RNDNNGR_22x63_01;254;88723;309546;69471280;11712611;84.00;5.19734;21.809275;SAT
ENC3_RNDNNGR_25x40_01;158;52068;171632;36269243;4321072;41.00;2.28123;9.743821;SAT
ENC3_RNDNNGR_25x66_01;109;30032;194400;23794456;1747653;47.00;1.43554;6.647907;SAT
ENC3_RNDNNGR_25x72_01;125;34483;63777;31395193;1850243;53.00;2.13488;9.222412;SAT
ENC3_RNDNNGR_25x73_01;30;5756;84322;6600526;222069;39.00;0.572134;3.382482;SAT
ENC3_RNDNNGR_25x76_01;52;12047;30406;10905594;995671;51.00;1.04438;5.697482;SAT
ENC3_RNDNNGR_27x73_01;14;2331;36693;2905119;74313;45.00;0.293243;1.987824;SAT
ENC3_RNDNNGR_28x56_01;30;6038;47582;4576340;223594;35.00;0.342551;1.942022;SAT
ENC3_RNDNNGR_28x75_01;445;166136;495510;165565253;20277915;186.00;17.1237;77.413476;SAT
ENC3_RNDNNGR_28x79_01;94;26783;163418;25050260;1432310;63.00;1.2119;5.348240;SAT
ENC3_RNDNNGR_29x38_01;126;36064;140841;24377388;2229266;35.00;1.04445;3.611783;SAT
ENC3_RNDNNGR_29x62_01;510;200212;718545;187404135;30579947;196.00;18.3943;75.278245;SAT
ENC3_RNDNNGR_29x68_01;31;7953;62784;7050513;386447;46.00;0.463185;2.394860;SAT
ENC3_RNDNNGR_31x45_01;62;14542;34110;9074700;589309;32.00;0.58212;2.686858;SAT
ENC3_RNDNNGR_31x48_02;63;18510;127884;12989135;830708;36.00;0.587196;2.408760;SAT
ENC3_RNDNNGR_33x64_01;125;35270;305041;33597206;1570660;58.00;1.32873;4.811591;SAT
ENC3_RNDNNGR_33x75_02;255;97530;513955;98376068;8339042;113.00;5.18348;22.143341;SAT
ENC3_RNDNNGR_33x75_03;93;25460;308325;30038020;1489335;65.00;1.52316;6.784310;SAT
ENC3_RNDNNGR_34x54_01;180;57300;115934;54839158;3652708;63.00;5.26105;24.307981;SAT
ENC3_RNDNNGR_35x28_01;63;19027;70837;12463832;1161884;27.00;0.953535;4.869749;SAT
ENC3_RNDNNGR_35x61_01;188;59134;381234;51859163;3550902;69.00;3.01252;13.278964;SAT
ENC3_RNDNNGR_36x76_01;63;17052;243929;22719063;578845;67.00;1.27054;6.176134;SAT
ENC3_RNDNNGR_37x36_01;15;2408;21659;1908580;88829;29.00;0.204592;1.511572;SAT
ENC3_RNDNNGR_37x57_01;62;14964;256765;19271476;348270;42.00;1.36383;7.423562;SAT
ENC3_RNDNNGR_38x60_01;6;649;15911;994917;11455;40.00;0.081547;0.493427;SAT
ENC3_RNDNNGR_38x70_01;141;47144;104402;49201064;3652613;102.00;3.43683;13.385063;SAT
ENC3_RNDNNGR_38x76_01;31;7309;163960;11945771;218177;65.00;0.451551;1.812094;SAT
ENC3_RNDNNGR_39x38_01;21;3957;49272;3429959;82212;29.00;0.109404;0.412443;SAT
ENC3_RNDNNGR_40x25_01;78;22143;70862;16162981;1131396;28.00;0.510329;1.606514;SAT
ENC3_RNDNNGR_40x50_01;7;1053;17461;1100065;47559;34.00;0.049399;0.222973;SAT
ENC3_RNDNNGR_43x49_01;14;2395;34940;2709942;56372;45.00;0.094079;0.410287;SAT
ENC3_RNDNNGR_43x78_01;63;16749;303757;27652383;520080;80.00;0.838492;2.765872;SAT
ENC3_RNDNNGR_44x45_01;509;191681;704796;193930913;21682219;181.00;15.2189;62.600241;SAT
ENC3_RNDNNGR_46x45_01;15;2731;53668;3615828;70904;39.00;0.255239;1.384979;SAT
ENC3_RNDNNGR_47x69_01;63;16705;186247;19900870;701573;82.00;1.1565;6.428828;SAT
ENC3_RNDNNGR_47x79_01;11;1689;98395;5815529;34758;69.00;0.462118;2.849111;SAT
ENC3_RNDNNGR_48x63_01;382;143108;853422;153367091;10147864;127.00;12.2094;59.863089;SAT
ENC3_RNDNNGR_48x67_01;62;14758;432110;30802837;377026;69.00;1.57434;7.582189;SAT
