File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;0.34419;28;164;164;0;0;242;0;0;0;0;0;0;0;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.76295;0;325;325;0;0;577;0;0;0;2;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.73282;20;217;217;0;0;340;0;0;0;2;0;0;2;0;10;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x72_01;6.37288;6;620;620;0;0;1612;0;0;0;2;0;0;2;0;7;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_20x56_01;3.25069;27;575;575;0;0;1275;1;0;1;2;0;0;3;0;4;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_22x57_01;0.22282;10;82;82;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x63_01;5.22655;12;732;732;0;0;1821;2;0;2;7;0;0;9;0;9;0;0;0.00000;0.00000;0;0;0;2;0;SAT
ENC3_RNDNNGR_25x40_01;0.23855;4;250;250;0;0;498;1;0;1;5;0;0;6;0;0;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_25x66_01;1.56382;6;673;673;0;0;1639;1;0;1;1;0;0;2;0;2;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_25x72_01;1.66288;26;271;271;0;0;594;0;0;0;0;0;0;0;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x73_01;0.21150;1;198;198;0;0;448;1;1;0;1;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x76_01;1.27507;65;291;290;0;1;490;2;1;1;5;0;0;7;0;6;1;0;0.00000;0.00000;0;1;0;1;0;SAT
