File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;30;5924;16008;4988630;320449;32.00;0.34419;1.781532;SAT
ENC3_RNDNNGR_17x77_01;45;10401;68957;8191924;839980;36.00;0.762948;4.155294;SAT
ENC3_RNDNNGR_19x54_01;53;12159;35307;9145365;780124;26.00;0.732824;3.347800;SAT
ENC3_RNDNNGR_19x72_01;254;86591;223057;82129220;7300456;65.00;6.37288;27.161812;SAT
ENC3_RNDNNGR_20x56_01;158;52876;174995;37507488;4996097;57.00;3.25069;14.515168;SAT
ENC3_RNDNNGR_22x57_01;15;3088;13806;2094002;120128;31.00;0.222818;1.641637;SAT
ENC3_RNDNNGR_22x63_01;254;85136;300707;67266284;9581110;84.00;5.22655;22.743134;SAT
ENC3_RNDNNGR_25x40_01;37;8806;37148;5130806;391283;24.00;0.23855;0.977157;SAT
ENC3_RNDNNGR_25x66_01;126;38427;231817;30387347;2586850;54.00;1.56382;6.177680;SAT
ENC3_RNDNNGR_25x72_01;125;34483;63777;31395193;1850243;53.00;1.66288;6.071044;SAT
ENC3_RNDNNGR_25x73_01;30;5756;84322;6600526;222069;39.00;0.211501;0.714083;SAT
ENC3_RNDNNGR_25x76_01;61;13939;31226;12810867;632823;48.00;1.27507;7.621236;SAT
ENC3_RNDNNGR_27x73_01;14;2331;36693;2905119;74313;45.00;0.305082;2.189904;SAT
ENC3_RNDNNGR_28x56_01;30;6038;47582;4576340;223594;35.00;0.313117;1.762903;SAT
ENC3_RNDNNGR_28x75_01;445;166136;495509;165565251;20277915;186.00;15.2007;62.253452;SAT
ENC3_RNDNNGR_28x79_01;94;26783;163418;25050260;1432310;63.00;1.02829;4.077691;SAT
ENC3_RNDNNGR_29x38_01;126;36064;140841;24377388;2229266;35.00;1.72528;8.973262;SAT
ENC3_RNDNNGR_29x62_01;382;142187;520163;130487527;18545319;126.00;11.9332;50.458185;SAT
ENC3_RNDNNGR_29x68_01;31;7953;62784;7050513;386447;46.00;0.53743;3.119055;SAT
ENC3_RNDNNGR_31x45_01;37;8779;21266;5975685;319467;31.00;0.604201;3.703804;SAT
ENC3_RNDNNGR_31x48_02;63;18510;127884;12989135;830708;36.00;0.764997;3.630407;SAT
ENC3_RNDNNGR_33x64_01;126;36044;317807;34926314;1615165;59.00;1.69861;7.157421;SAT
ENC3_RNDNNGR_33x75_02;511;206141;997697;209332084;24461256;199.00;16.2861;67.962699;SAT
ENC3_RNDNNGR_33x75_03;93;25460;308325;30038020;1489335;65.00;1.30004;4.841137;SAT
