File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;0.42180;70;209;209;0;0;246;1;0;1;0;0;0;1;0;11;0;0;0.00000;0.00000;0;0;0;0;1;SAT
ENC3_RNDNNGR_17x77_01;0.41141;0;251;251;0;0;424;0;0;0;2;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.62676;52;285;285;0;0;435;0;0;0;1;0;0;1;0;6;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x72_01;11.23488;13;973;973;0;0;2433;2;0;2;4;0;0;6;0;11;0;0;0.00000;0.00000;0;0;0;2;0;SAT
ENC3_RNDNNGR_20x56_01;0.33620;15;267;267;0;0;509;0;0;0;1;0;0;1;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x57_01;0.31650;27;307;307;0;0;598;0;0;0;1;0;0;1;0;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x63_01;5.08850;18;764;764;0;0;2025;1;1;0;2;0;0;3;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x40_01;2.21106;9;568;568;0;0;1280;0;0;0;5;0;0;5;0;4;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x66_01;0.40620;1;328;328;0;0;872;1;0;1;1;0;0;2;0;1;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_25x72_01;1.03804;35;337;337;0;0;645;0;0;0;4;0;0;4;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x73_01;0.13145;2;133;133;0;0;344;1;0;1;0;0;0;1;0;1;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_25x76_01;0.38191;70;301;300;0;1;487;2;0;2;1;0;0;3;0;9;0;0;0.00000;0.00000;0;0;1;1;0;SAT
ENC3_RNDNNGR_27x73_01;0.05210;0;23;23;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x56_01;0.24563;3;311;311;0;0;622;2;1;1;2;0;0;4;0;1;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_28x75_01;14.59946;18;1044;1044;0;0;2934;6;3;3;3;0;0;9;0;9;0;0;0.00000;0.00000;0;0;0;3;0;SAT
ENC3_RNDNNGR_28x79_01;1.80547;9;586;586;0;0;1496;3;1;2;2;0;0;5;0;5;0;0;0.00000;0.00000;0;0;0;1;1;SAT
ENC3_RNDNNGR_29x38_01;1.30658;7;442;442;0;0;1168;0;0;0;0;0;0;0;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x62_01;3.74493;6;818;818;0;0;1999;3;0;3;4;0;0;7;0;11;0;0;0.00000;0.00000;0;0;0;3;0;SAT
ENC3_RNDNNGR_29x68_01;0.45819;1;396;396;0;0;887;3;0;3;1;0;0;4;0;0;0;0;0.00000;0.00000;0;0;0;3;0;SAT
ENC3_RNDNNGR_31x45_01;0.67913;42;371;369;0;2;736;0;0;0;0;0;0;0;0;4;0;0;0.00000;0.00000;0;0;2;0;0;SAT
ENC3_RNDNNGR_31x48_02;0.37950;1;395;395;0;0;893;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x64_01;1.18150;5;667;667;0;0;1603;2;2;0;4;0;0;6;0;8;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_02;4.79959;4;1085;1085;0;0;2802;0;0;0;6;0;0;6;0;8;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_03;0.61852;2;426;426;0;0;892;1;0;1;1;0;0;2;0;4;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_34x54_01;0.77429;95;299;298;0;1;653;0;0;0;1;0;0;1;0;14;0;0;0.00000;0.00000;0;0;1;0;0;SAT
ENC3_RNDNNGR_35x28_01;0.26236;17;254;253;0;1;578;1;0;1;3;0;0;4;0;1;0;0;0.00000;0.00000;0;0;1;0;1;SAT
ENC3_RNDNNGR_35x61_01;2.91343;4;887;887;0;0;2493;3;1;2;5;0;0;8;0;7;0;0;0.00000;0.00000;0;0;0;1;1;SAT
ENC3_RNDNNGR_36x76_01;1.02939;0;384;384;0;0;930;1;1;0;1;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x36_01;0.16451;3;104;104;0;0;191;0;0;0;1;0;0;1;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x57_01;0.57571;0;144;144;0;0;405;1;0;1;0;0;0;1;0;0;0;0;0.00000;0.00000;0;0;0;1;0;SAT
ENC3_RNDNNGR_38x60_01;0.07385;1;21;21;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x70_01;0.67429;74;348;347;0;1;531;2;1;1;5;0;0;7;0;11;0;0;0.00000;0.00000;0;0;1;1;0;SAT
ENC3_RNDNNGR_38x76_01;0.65399;0;210;210;0;0;612;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
