File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;30;5921;16108;5087069;210215;32.00;0.421799;2.533124;SAT
ENC3_RNDNNGR_17x77_01;31;7144;43621;4974475;340404;32.00;0.411412;2.292241;SAT
ENC3_RNDNNGR_19x54_01;61;13935;37296;10018386;852165;26.00;0.626763;2.747886;SAT
ENC3_RNDNNGR_19x72_01;444;163397;431487;156112976;18008120;136.00;11.2349;39.662891;SAT
ENC3_RNDNNGR_20x56_01;62;14983;64604;10297021;1117779;32.00;0.336195;1.033103;SAT
ENC3_RNDNNGR_22x57_01;61;13976;64543;9700947;718222;31.00;0.316502;0.980701;SAT
ENC3_RNDNNGR_22x63_01;255;94440;322644;74994748;11106263;85.00;5.0885;20.061386;SAT
ENC3_RNDNNGR_25x40_01;149;49027;165251;34896635;3783002;41.00;2.21106;9.567288;SAT
ENC3_RNDNNGR_25x66_01;63;17001;108555;13043558;933165;41.00;0.406197;1.254711;SAT
ENC3_RNDNNGR_25x72_01;124;33098;63737;29985149;1586498;52.00;1.03804;3.151511;SAT
ENC3_RNDNNGR_25x73_01;22;4128;52655;4425914;181275;39.00;0.131451;0.510331;SAT
ENC3_RNDNNGR_25x76_01;59;13069;31048;12219390;589420;50.00;0.381913;1.258852;SAT
ENC3_RNDNNGR_27x73_01;6;799;12587;934043;22067;44.00;0.052098;0.270221;SAT
ENC3_RNDNNGR_28x56_01;46;11009;87318;8373953;385902;35.00;0.245627;0.808624;SAT
ENC3_RNDNNGR_28x75_01;509;189512;533463;198215218;21800429;188.00;14.5995;43.004531;SAT
ENC3_RNDNNGR_28x79_01;125;35118;184637;33879176;1927224;63.00;1.80547;8.140084;SAT
ENC3_RNDNNGR_29x38_01;127;38854;153287;27625293;2323671;35.00;1.30658;4.787687;SAT
ENC3_RNDNNGR_29x62_01;254;86831;344488;78606961;8905096;92.00;3.74493;10.889656;SAT
ENC3_RNDNNGR_29x68_01;63;17582;124347;14877190;891557;50.00;0.458185;1.456806;SAT
ENC3_RNDNNGR_31x45_01;94;26193;53091;17138441;1136581;39.00;0.679134;2.046951;SAT
ENC3_RNDNNGR_31x48_02;63;18063;133168;13254102;687337;33.00;0.3795;1.173054;SAT
