File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;0.31905;28;164;164;0;0;242;0;0;0;0;0;0;0;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.46723;0;325;325;0;0;577;0;0;0;2;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.51146;20;217;217;0;0;340;0;0;0;2;0;0;2;0;10;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x72_01;5.49901;6;620;620;0;0;1612;0;0;0;2;0;0;2;0;7;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_20x56_01;1.90740;27;525;525;0;0;1077;2;1;1;1;0;0;2;1;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x57_01;0.13694;10;82;82;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_22x63_01;5.86889;18;729;729;0;0;1821;1;0;1;6;0;0;6;1;8;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x40_01;2.09572;8;557;557;0;0;1309;1;0;1;3;0;0;3;1;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x66_01;0.97840;6;569;569;0;0;1419;1;0;1;1;0;0;1;1;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x72_01;2.10097;26;271;271;0;0;594;0;0;0;0;0;0;0;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x73_01;0.49523;1;198;198;0;0;448;1;1;0;1;0;0;2;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_25x76_01;1.19474;23;179;179;0;0;398;2;0;2;0;0;0;0;2;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_27x73_01;0.27063;0;68;68;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x56_01;0.38973;1;170;170;0;0;353;0;0;0;0;0;0;0;0;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x75_01;13.63184;11;947;947;0;0;2742;2;1;1;6;0;0;7;1;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_28x79_01;0.79489;6;483;483;0;0;1307;0;0;0;2;0;0;2;0;7;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x38_01;0.86382;8;441;441;0;0;1066;0;0;0;2;0;0;2;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x62_01;19.24152;21;1168;1168;0;0;3012;3;2;1;6;0;0;8;1;6;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_29x68_01;0.63587;1;239;239;0;0;449;0;0;0;0;0;0;0;0;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_31x45_01;0.60182;37;290;290;0;0;576;2;1;1;2;0;0;3;1;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_31x48_02;0.66699;3;349;349;0;0;807;0;0;0;0;0;0;0;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x64_01;2.38576;9;683;683;0;0;1592;2;0;2;0;0;0;0;2;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_02;6.67356;5;1060;1060;0;0;2749;5;3;2;9;0;0;12;2;6;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_03;1.57049;4;567;567;0;0;1271;0;0;0;1;0;0;1;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_34x54_01;4.25074;66;381;381;0;0;958;0;0;0;0;0;0;0;0;17;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_35x28_01;1.13406;15;275;275;0;0;731;1;0;1;1;0;0;1;1;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_35x61_01;2.44221;4;815;815;0;0;1992;2;0;2;8;0;0;8;2;7;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_36x76_01;1.28990;1;366;366;0;0;815;0;0;0;4;0;0;4;0;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x36_01;0.13876;4;85;85;0;0;150;0;0;0;1;0;0;1;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x57_01;1.57972;1;351;351;0;0;925;0;0;0;0;0;0;0;0;3;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x60_01;0.14561;0;16;16;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x70_01;4.23656;81;506;506;0;0;887;0;0;0;2;0;0;2;0;6;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x76_01;0.54729;0;138;138;0;0;455;0;0;0;1;0;0;1;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_39x38_01;0.14156;0;97;97;0;0;290;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_40x25_01;0.72621;10;402;402;0;0;734;1;1;0;4;0;0;5;0;5;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_40x50_01;0.06089;0;27;27;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_43x49_01;0.13054;0;66;66;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_43x78_01;1.12336;1;380;380;0;0;956;2;0;2;0;0;0;0;2;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_44x45_01;14.53071;13;1228;1228;0;0;3209;1;1;0;10;0;0;11;0;14;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_46x45_01;0.23316;0;69;69;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_47x69_01;1.24873;2;394;394;0;0;865;0;0;0;6;0;0;6;0;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_47x79_01;0.39295;0;34;34;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x63_01;9.38969;4;1172;1172;0;0;3582;5;1;4;11;0;0;12;4;4;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x67_01;1.62169;2;250;250;0;0;690;3;1;2;1;0;0;2;2;2;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_48x76_01;4.03988;1;675;675;0;0;1651;0;0;0;3;0;0;3;0;4;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x29_01;5.74768;4;898;898;0;0;2346;4;2;2;3;0;0;5;2;10;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x37_01;109.25381;47;1969;1969;0;0;7443;3;0;3;18;0;0;18;3;10;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_49x54_01;1.45517;1;620;620;0;0;1173;1;0;1;3;0;0;3;1;1;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x38_01;60.44386;8;2589;2589;0;0;9524;8;1;7;19;0;0;20;7;8;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x43_01;0.55612;0;174;174;0;0;451;1;0;1;1;0;0;1;1;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_RNDNNGR_51x45_01;5.02979;1;1113;1113;0;0;2770;6;0;6;4;0;0;4;6;0;0;0;0.00000;0.00000;0;0;0;0;0;SAT
