File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;0.39446;57;199;194;0;5;272;26;4;15;46;7;7;50;15;50;10;1;1.28043;1.28043;336;0;11;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.18423;1;229;229;0;0;390;33;1;32;45;0;0;46;32;1;0;1;1.99152;1.99152;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.45310;32;151;145;0;6;236;26;8;17;36;1;1;44;17;23;1;1;0.59043;0.59043;23;2;5;0;0;SAT
ENC3_RNDNNGR_19x72_01;2.00976;2;483;480;0;3;1135;92;4;83;161;5;5;165;83;2;0;1;1.43070;1.43070;0;0;8;0;0;SAT
ENC3_RNDNNGR_20x56_01;1.68261;20;384;379;0;5;858;103;3;91;136;9;9;139;91;21;3;1;0.79767;0.79767;341;2;12;0;0;SAT
ENC3_RNDNNGR_22x57_01;0.42609;21;236;229;0;7;434;40;6;32;59;2;2;65;32;9;0;1;0.68503;0.68503;19;0;9;0;0;SAT
ENC3_RNDNNGR_22x63_01;1.47589;7;479;475;0;4;1239;115;11;103;197;1;1;208;103;9;0;1;0.68641;0.68641;0;0;5;0;0;SAT
ENC3_RNDNNGR_25x40_01;1.70386;10;439;439;0;0;1139;115;12;103;173;0;0;185;103;6;0;1;0.14225;0.14225;12;0;0;0;0;SAT
ENC3_RNDNNGR_25x66_01;0.74672;1;477;476;0;1;1287;113;7;106;175;0;0;182;106;1;0;1;1.52486;1.52486;41;0;1;0;0;SAT
ENC3_RNDNNGR_25x72_01;1.54810;39;281;276;0;5;630;42;8;33;121;1;1;129;33;63;3;1;1.14442;1.14442;51;0;6;0;0;SAT
ENC3_RNDNNGR_25x73_01;0.12451;0;69;69;0;0;189;13;0;13;32;0;0;32;13;0;0;1;1.32786;1.32786;43;0;0;0;0;SAT
