File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;31;7616;18737;6214999;295930;234.00;1.6749;9.956482;SAT
ENC3_RNDNNGR_17x77_01;30;5929;40077;4460022;324044;441.00;2.17574;12.100041;SAT
ENC3_RNDNNGR_19x54_01;30;6321;17254;4161890;262030;119.00;1.04353;7.243339;SAT
ENC3_RNDNNGR_19x72_01;125;35123;124338;29754408;2187604;334.00;3.44046;18.911740;SAT
ENC3_RNDNNGR_20x56_01;101;28299;111442;20482191;2058569;179.00;2.48029;13.298862;SAT
ENC3_RNDNNGR_22x57_01;49;11554;51485;7700489;673055;191.00;1.11112;5.335878;SAT
ENC3_RNDNNGR_22x63_01;127;42946;159199;31206453;4603911;267.00;2.16231;7.453873;SAT
ENC3_RNDNNGR_25x40_01;124;33407;123579;22067960;2050828;91.00;1.84611;9.530072;SAT
ENC3_RNDNNGR_25x66_01;94;26720;172073;21228209;1433232;376.00;2.27158;11.736649;SAT
ENC3_RNDNNGR_25x72_01;114;31069;61043;28711932;1479105;308.00;2.69252;12.285545;SAT
ENC3_RNDNNGR_25x73_01;15;2838;39895;3281671;120139;541.00;1.45238;6.077812;SAT
ENC3_RNDNNGR_25x76_01;46;10476;25284;9179281;702566;343.00;1.73664;8.635123;SAT
ENC3_RNDNNGR_27x73_01;7;1105;13817;1155786;23121;641.00;2.40748;12.371023;SAT
ENC3_RNDNNGR_28x56_01;52;11967;96380;9326883;504032;270.00;1.25785;5.957878;SAT
ENC3_RNDNNGR_28x75_01;509;192308;557676;199675694;20022344;662.00;20.1155;89.052372;SAT
ENC3_RNDNNGR_28x79_01;127;40562;223546;38792113;2619520;743.00;4.26535;19.523726;SAT
ENC3_RNDNNGR_29x38_01;156;50258;190133;36658914;3604783;112.00;3.24894;15.768551;SAT
ENC3_RNDNNGR_29x62_01;187;58459;245345;50967679;6194117;358.00;4.34581;21.676346;SAT
ENC3_RNDNNGR_29x68_01;126;35721;251242;31785915;1923340;477.00;3.23592;14.578935;SAT
ENC3_RNDNNGR_31x45_01;107;29115;63167;21038763;1824867;135.00;1.90892;7.330844;SAT
ENC3_RNDNNGR_31x48_02;78;21938;159915;16007692;1119013;196.00;1.13865;4.388333;SAT
ENC3_RNDNNGR_33x64_01;190;61494;488082;59603711;3469073;497.00;3.56781;14.785008;SAT
ENC3_RNDNNGR_33x75_02;476;174462;871874;184795485;17913718;805.00;14.5346;64.046537;SAT
ENC3_RNDNNGR_33x75_03;125;35267;472570;44275230;1512865;845.00;4.41045;21.325584;SAT
