File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_RNDNNGR_15x77_01;0.21675;23;136;135;0;1;168;27;6;16;25;5;5;31;16;12;8;1;1.02603;1.02603;336;0;6;0;0;SAT
ENC3_RNDNNGR_17x77_01;0.09156;0;114;114;0;0;200;12;0;12;21;0;0;21;12;0;0;1;1.56439;1.56439;0;0;0;0;0;SAT
ENC3_RNDNNGR_19x54_01;0.42606;44;217;212;0;5;333;24;4;15;61;5;5;65;15;83;6;1;0.44904;0.44904;23;0;9;0;0;SAT
ENC3_RNDNNGR_19x72_01;4.38224;5;685;681;0;4;1728;148;12;131;255;5;5;267;131;9;0;1;1.42175;1.42175;0;0;9;0;0;SAT
ENC3_RNDNNGR_20x56_01;1.29955;29;456;451;0;5;1038;105;7;95;167;3;3;174;95;7;1;1;0.66645;0.66645;341;1;7;0;0;SAT
ENC3_RNDNNGR_22x57_01;0.60702;23;352;345;0;7;813;58;8;49;116;1;1;124;49;8;0;1;0.36512;0.36512;19;0;8;0;0;SAT
ENC3_RNDNNGR_22x63_01;3.20499;10;601;599;0;2;1589;144;12;124;233;8;8;245;124;12;0;1;0.48508;0.48508;0;0;10;0;0;SAT
ENC3_RNDNNGR_25x40_01;1.29451;5;481;478;0;3;1116;100;15;84;179;1;1;194;84;1;0;1;0.30568;0.30568;12;1;3;0;0;SAT
ENC3_RNDNNGR_25x66_01;1.10526;2;624;624;0;0;1443;139;11;127;218;1;1;229;127;4;0;1;1.29026;1.29026;41;0;1;0;0;SAT
ENC3_RNDNNGR_25x72_01;1.39640;55;340;335;0;5;761;56;20;32;142;4;4;162;32;51;2;1;1.21401;1.21401;51;3;6;0;0;SAT
ENC3_RNDNNGR_25x73_01;0.09611;0;103;103;0;0;225;19;4;15;46;0;0;50;15;0;0;1;1.25830;1.25830;43;0;0;0;0;SAT
ENC3_RNDNNGR_25x76_01;0.52650;18;184;178;0;6;380;19;2;15;64;2;2;66;15;11;2;1;1.25812;1.25812;497;1;7;0;0;SAT
ENC3_RNDNNGR_27x73_01;0.15695;0;107;107;0;0;249;26;1;25;37;0;0;38;25;0;0;1;1.30345;1.30345;30;0;0;0;0;SAT
ENC3_RNDNNGR_28x56_01;0.24528;0;308;308;0;0;671;77;5;69;127;3;3;132;69;3;0;1;0.50324;0.50324;0;0;3;0;0;SAT
ENC3_RNDNNGR_28x75_01;61.79448;32;1520;1515;0;5;5061;319;38;277;616;4;4;654;277;62;0;1;1.11694;1.11694;0;0;9;0;0;SAT
ENC3_RNDNNGR_28x79_01;1.07081;5;628;625;0;3;1597;128;11;116;220;1;1;231;116;6;0;1;2.19615;2.19615;52;0;3;0;0;SAT
ENC3_RNDNNGR_29x38_01;0.33390;2;244;242;0;2;612;57;2;55;96;0;0;98;55;3;0;1;0.17803;0.17803;14;1;1;0;0;SAT
ENC3_RNDNNGR_29x62_01;5.00943;12;795;793;0;2;2075;164;14;150;282;0;0;296;150;9;0;1;0.68202;0.68202;0;0;2;0;0;SAT
ENC3_RNDNNGR_29x68_01;0.21007;1;186;186;0;0;358;42;6;36;44;0;0;50;36;0;0;1;1.05792;1.05792;0;0;0;0;0;SAT
ENC3_RNDNNGR_31x45_01;1.27016;40;346;342;0;4;690;55;6;45;115;4;4;121;45;69;3;1;0.58744;0.58744;50;1;7;0;0;SAT
ENC3_RNDNNGR_31x48_02;0.43078;1;386;384;0;2;797;75;7;68;128;0;0;135;68;0;0;1;0.44914;0.44914;0;0;2;0;0;SAT
ENC3_RNDNNGR_33x64_01;1.24575;5;713;711;0;2;1756;154;10;144;252;0;0;262;144;9;0;1;1.77533;1.77533;12;1;1;0;0;SAT
ENC3_RNDNNGR_33x75_02;15.82388;3;1467;1467;0;0;4327;345;29;316;482;0;0;511;316;6;0;1;2.04314;2.04314;34;0;0;0;0;SAT
ENC3_RNDNNGR_33x75_03;1.11043;2;382;382;0;0;839;108;5;103;112;0;0;117;103;1;0;1;2.39918;2.39918;0;0;0;0;0;SAT
ENC3_RNDNNGR_34x54_01;2.92354;78;367;359;0;8;847;84;6;72;137;6;6;143;72;194;6;1;0.84519;0.84519;55;1;13;0;0;SAT
ENC3_RNDNNGR_35x28_01;0.40945;10;206;203;0;3;522;42;2;38;114;2;2;116;38;3;1;1;0.34093;0.34093;49;0;5;0;0;SAT
ENC3_RNDNNGR_35x61_01;1.03481;1;520;519;0;1;1475;164;13;151;230;0;0;243;151;2;0;1;1.23979;1.23979;32;0;1;0;0;SAT
ENC3_RNDNNGR_36x76_01;1.61846;1;637;637;0;0;1737;159;11;148;245;0;0;256;148;5;0;1;1.97328;1.97328;0;0;0;0;0;SAT
ENC3_RNDNNGR_37x36_01;0.33792;3;320;318;0;2;641;67;7;58;111;2;2;118;58;1;0;1;0.23841;0.23841;27;0;4;0;0;SAT
ENC3_RNDNNGR_37x57_01;0.55622;0;288;288;0;0;842;78;5;73;118;0;0;123;73;0;0;1;1.32236;1.32236;0;0;0;0;0;SAT
ENC3_RNDNNGR_38x60_01;0.11292;0;34;34;0;0;78;11;0;11;11;0;0;11;11;0;0;1;1.40389;1.40389;29;0;0;0;0;SAT
ENC3_RNDNNGR_38x70_01;1.55778;68;416;404;0;12;679;53;9;38;116;6;6;125;38;259;21;1;1.33709;1.33709;138;2;16;0;0;SAT
ENC3_RNDNNGR_38x76_01;0.66278;0;274;274;0;0;679;92;6;86;115;0;0;121;86;0;0;1;2.74023;2.74023;0;0;0;0;0;SAT
ENC3_RNDNNGR_39x38_01;0.10560;0;43;43;0;0;137;12;1;11;28;0;0;29;11;0;0;1;0.55167;0.55167;0;0;0;0;0;SAT
ENC3_RNDNNGR_40x25_01;1.60421;19;485;474;0;11;968;83;13;67;141;3;3;154;67;24;1;1;0.36183;0.36183;0;2;11;0;0;SAT
ENC3_RNDNNGR_40x50_01;0.10395;0;46;46;0;0;179;25;1;24;39;0;0;40;24;0;0;1;0.60743;0.60743;0;0;0;0;0;SAT
