File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_RNDNNGR_15x77_01;26;4872;12527;4096477;210728;234.00;1.24278;6.896682;SAT
ENC3_RNDNNGR_17x77_01;15;2974;20402;2384003;126528;441.00;1.65595;8.460511;SAT
ENC3_RNDNNGR_19x54_01;41;9515;26824;6892332;527615;119.00;0.875097;4.689481;SAT
ENC3_RNDNNGR_19x72_01;254;86106;248440;79234928;9094290;371.00;5.80399;24.990384;SAT
ENC3_RNDNNGR_20x56_01;126;35650;135343;24403715;2962820;186.00;1.966;8.746045;SAT
ENC3_RNDNNGR_22x57_01;85;23585;99426;16870407;1476499;191.00;0.97214;3.061153;SAT
ENC3_RNDNNGR_22x63_01;221;71898;251055;54339686;8633064;285.00;3.69007;12.737453;SAT
ENC3_RNDNNGR_25x40_01;125;34184;128170;23099116;2122022;91.00;1.60019;7.307648;SAT
ENC3_RNDNNGR_25x66_01;125;35029;212799;28531934;2418441;376.00;2.39552;11.478012;SAT
ENC3_RNDNNGR_25x72_01;126;37730;74003;30025212;1943746;312.00;2.61041;12.030681;SAT
ENC3_RNDNNGR_25x73_01;15;2887;35802;2980976;90983;541.00;1.35441;5.087312;SAT
ENC3_RNDNNGR_25x76_01;53;12370;29774;10893611;793017;343.00;1.78463;8.921371;SAT
ENC3_RNDNNGR_27x73_01;22;4216;58698;4535146;143895;641.00;1.4604;5.031131;SAT
ENC3_RNDNNGR_28x56_01;46;11147;92655;8531785;408576;270.00;0.748517;2.540230;SAT
ENC3_RNDNNGR_28x75_01;1150;555226;1438942;579924346;86818475;751.00;62.9114;207.946821;SAT
ENC3_RNDNNGR_28x79_01;126;36926;229780;35995571;2019591;743.00;3.26695;14.047055;SAT
ENC3_RNDNNGR_29x38_01;63;16249;68672;10617262;885353;98.00;0.511933;1.570700;SAT
ENC3_RNDNNGR_29x62_01;254;85585;341760;76333400;9881110;377.00;5.69145;22.415737;SAT
ENC3_RNDNNGR_29x68_01;30;5772;48502;4986167;279955;473.00;1.26799;4.873929;SAT
ENC3_RNDNNGR_31x45_01;95;27313;60047;19078007;1665989;135.00;1.85761;8.808278;SAT
ENC3_RNDNNGR_31x48_02;63;17260;123302;12542769;711410;196.00;0.879927;3.242089;SAT
ENC3_RNDNNGR_33x64_01;127;40877;340584;39716055;1957764;493.00;3.02108;13.130964;SAT
ENC3_RNDNNGR_33x75_02;541;237095;1080935;245350323;29753054;854.00;17.867;68.537692;SAT
ENC3_RNDNNGR_33x75_03;62;15054;211793;19485609;486762;845.00;3.50962;17.170110;SAT
ENC3_RNDNNGR_34x54_01;149;49264;102674;48281003;2839592;226.00;3.76873;16.388691;SAT
ENC3_RNDNNGR_35x28_01;45;10264;41503;6347362;460941;80.00;0.750377;4.026206;SAT
ENC3_RNDNNGR_35x61_01;126;36947;278602;32976744;1697398;440.00;2.2746;8.752061;SAT
ENC3_RNDNNGR_36x76_01;127;39331;548079;51425185;1633698;990.00;3.59174;11.573418;SAT
ENC3_RNDNNGR_37x36_01;46;10598;79777;7958826;398231;142.00;0.576329;2.414029;SAT
ENC3_RNDNNGR_37x57_01;61;14052;230773;17511630;392566;404.00;1.87858;8.610259;SAT
ENC3_RNDNNGR_38x60_01;10;1442;34029;2128510;38096;456.00;1.5168;7.199438;SAT
ENC3_RNDNNGR_38x70_01;108;29433;76147;31220346;2576884;455.00;2.89487;11.463749;SAT
ENC3_RNDNNGR_38x76_01;60;13474;309232;21854473;504317;1117.00;3.40301;13.485386;SAT
ENC3_RNDNNGR_39x38_01;14;2200;27316;1939676;51371;160.00;0.657266;3.763808;SAT
ENC3_RNDNNGR_40x25_01;126;37579;120226;28903195;2627654;91.00;1.96605;8.569499;SAT
ENC3_RNDNNGR_40x50_01;14;2267;49705;2833095;59948;297.00;0.711378;2.746215;SAT
