File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_100x75_01;525;233041;529462;300325498;4664907;171.00;15.2739;59.692658;SAT
ENC2_NNGR_10x10_01;1;9;13;4109;15;12.00;0.008944;0.069900;SAT
ENC2_NNGR_10x15_01;1;11;30;6126;17;12.00;0.009642;0.070940;SAT
ENC2_NNGR_10x15_02;1;45;107;12769;174;12.00;0.00906;0.068029;SAT
ENC2_NNGR_10x15_03;1;61;138;19972;216;12.00;0.030225;0.151068;SAT
ENC2_NNGR_10x20_01;2;124;317;76059;863;13.00;0.034731;0.276720;SAT
ENC2_NNGR_11x15_01;1;36;84;10752;124;12.00;0.024435;0.167939;SAT
ENC2_NNGR_11x15_02;1;1;6;4640;3;12.00;0.020315;0.137060;SAT
ENC2_NNGR_12x12_01;1;9;24;5393;33;12.00;0.017467;0.114365;SAT
ENC2_NNGR_12x21_01;1;22;53;14015;47;13.00;0.022406;0.140221;SAT
ENC2_NNGR_13x10_01;1;21;90;9944;82;12.00;0.015435;0.100505;SAT
ENC2_NNGR_13x15_01;1;16;38;8698;71;12.00;0.015202;0.105118;SAT
ENC2_NNGR_13x18_01;1;23;51;11798;45;13.00;0.020688;0.116020;SAT
ENC2_NNGR_14x15_01;1;71;199;23215;255;12.00;0.015879;0.090122;SAT
ENC2_NNGR_14x15_02;1;53;164;18968;236;12.00;0.017611;0.085305;SAT
ENC2_NNGR_14x16_01;1;5;10;7198;17;12.00;0.013638;0.081927;SAT
ENC2_NNGR_14x44_01;14;2155;6153;2197816;22738;16.00;0.102018;0.510466;SAT
ENC2_NNGR_15x10_01;2;128;317;38843;535;12.00;0.013048;0.071049;SAT
ENC2_NNGR_15x15_01;2;187;551;68613;883;12.00;0.014894;0.079387;SAT
ENC2_NNGR_15x15_02;3;210;466;53750;867;12.00;0.042056;0.232813;SAT
ENC2_NNGR_15x15_03;1;41;101;14498;152;12.00;0.030782;0.157842;SAT
ENC2_NNGR_15x15_04;1;11;36;7215;42;12.00;0.026556;0.159214;SAT
ENC2_NNGR_15x15_05;3;217;711;74950;978;12.00;0.021893;0.150149;SAT
ENC2_NNGR_15x15_06;1;34;105;12946;103;12.00;0.035611;0.208997;SAT
ENC2_NNGR_15x17_01;1;95;330;48730;553;13.00;0.035578;0.216056;SAT
ENC2_NNGR_15x18_01;1;5;26;13664;7;13.00;0.026498;0.225074;SAT
ENC2_NNGR_15x20_01;5;503;1271;305225;4887;13.00;0.0407;0.269500;SAT
ENC2_NNGR_16x19_01;1;42;124;19946;138;13.00;0.016365;0.131415;SAT
ENC2_NNGR_17x11_01;1;10;20;12465;24;12.00;0.018007;0.122103;SAT
ENC2_NNGR_17x18_01;1;86;197;44094;412;13.00;0.020387;0.144311;SAT
ENC2_NNGR_18x17_01;1;53;117;35862;180;14.00;0.020903;0.130335;SAT
ENC2_NNGR_18x25_01;1;26;88;27778;82;14.00;0.019436;0.135262;SAT
ENC2_NNGR_20x10_01;2;138;346;64297;974;12.00;0.013539;0.094354;SAT
ENC2_NNGR_20x10_02;2;161;565;58615;623;12.00;0.015344;0.093033;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;12.00;0.016111;0.091641;SAT
ENC2_NNGR_20x19_01;1;26;68;21745;72;13.00;0.018404;0.106044;SAT
ENC2_NNGR_21x14_01;3;355;706;183719;2439;13.00;0.019756;0.126148;SAT
ENC2_NNGR_21x23_01;2;168;582;111336;1081;14.00;0.017798;0.131022;SAT
ENC2_NNGR_21x33_01;3;298;831;216433;1405;17.00;0.031716;0.209254;SAT
ENC2_NNGR_24x13_01;1;18;28;12080;44;13.00;0.01302;0.083804;SAT
ENC2_NNGR_24x18_01;7;1151;3318;704235;11064;15.00;0.042677;0.202288;SAT
ENC2_NNGR_25x20_01;7;931;2547;416665;4676;15.00;0.029629;0.160849;SAT
ENC2_NNGR_25x24_01;1;59;108;69282;209;15.00;0.0225;0.108937;SAT
ENC2_NNGR_25x25_01;10;1561;4020;970863;12183;15.00;0.040006;0.216667;SAT
ENC2_NNGR_29x25_01;2;168;444;130544;654;16.00;0.017126;0.129534;SAT
ENC2_NNGR_30x20_01;1;87;186;131326;417;16.00;0.020173;0.113917;SAT
ENC2_NNGR_30x20_02;2;154;414;101063;760;15.00;0.019552;0.103206;SAT
ENC2_NNGR_30x20_03;1;0;1;23361;0;15.00;0.013154;0.093606;SAT
ENC2_NNGR_30x20_04;1;57;149;85627;285;15.00;0.018788;0.101940;SAT
ENC2_NNGR_30x25_01;15;2955;8325;2014308;26404;17.00;0.07073;0.302377;SAT
ENC2_NNGR_30x25_02;3;209;553;162829;1072;16.00;0.020332;0.110202;SAT
ENC2_NNGR_30x30_01;45;10216;26957;7048662;98863;17.00;0.201121;0.796150;SAT
