File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_8x38_01;1;22;52;20706;62;16.00;0.007437;0.034244;SAT
ENC2_NNGR_9x33_01;1;0;1;14108;0;16.00;0.010644;0.040430;SAT
ENC2_NNGR_13x10_01;1;22;95;9694;83;13.00;0.012222;0.052359;SAT
ENC2_NNGR_12x12_01;1;4;33;4387;19;13.00;0.015766;0.053765;SAT
ENC2_NNGR_11x15_02;1;6;16;7685;21;13.00;0.016076;0.053815;SAT
ENC2_NNGR_14x15_01;1;56;150;19212;208;13.00;0.01613;0.058196;SAT
ENC2_NNGR_13x15_01;1;13;42;7512;37;13.00;0.016487;0.064735;SAT
ENC2_NNGR_10x10_01;1;2;12;3536;2;12.00;0.017742;0.068248;SAT
ENC2_NNGR_11x15_01;1;39;94;13160;150;13.00;0.018439;0.065765;SAT
ENC2_NNGR_10x15_01;1;4;12;5988;5;13.00;0.019367;0.073693;SAT
ENC2_NNGR_10x15_02;1;93;165;33477;481;13.00;0.019426;0.083309;SAT
ENC2_NNGR_10x15_03;1;43;116;16006;139;13.00;0.019661;0.064710;SAT
ENC2_NNGR_12x21_01;1;8;24;9305;9;15.00;0.019883;0.078362;SAT
ENC2_NNGR_13x18_01;1;29;83;18233;71;15.00;0.020001;0.081079;SAT
ENC2_NNGR_14x15_02;1;49;78;18796;127;14.00;0.020583;0.110434;SAT
ENC2_NNGR_17x18_01;1;41;153;30390;165;16.00;0.022126;0.141859;SAT
ENC2_NNGR_17x11_01;1;7;29;8227;12;14.00;0.023115;0.118159;SAT
ENC2_NNGR_15x10_01;3;214;467;67164;1065;13.00;0.023628;0.130223;SAT
ENC2_NNGR_14x16_01;1;4;21;7237;8;13.00;0.023701;0.158472;SAT
ENC2_NNGR_18x17_01;1;82;185;65520;394;17.00;0.025832;0.223481;SAT
ENC2_NNGR_15x15_06;1;55;198;16476;185;14.00;0.025971;0.110202;SAT
ENC2_NNGR_15x15_02;2;123;434;41659;631;14.00;0.026252;0.114924;SAT
ENC2_NNGR_15x15_03;1;36;106;14746;84;14.00;0.026652;0.135885;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;15.00;0.026885;0.166000;SAT
ENC2_NNGR_45x19_01;2;120;334;136887;663;27.00;0.027661;0.098307;SAT
ENC2_NNGR_16x19_01;1;29;123;18114;82;15.00;0.02782;0.140421;SAT
ENC2_NNGR_24x13_01;1;1;7;9618;1;15.00;0.028009;0.180509;SAT
ENC2_NNGR_20x10_01;2;193;591;75905;1221;14.00;0.028033;0.148911;SAT
ENC2_NNGR_15x15_01;2;176;588;46679;775;14.00;0.028266;0.156043;SAT
ENC2_NNGR_10x20_01;3;234;685;99987;1694;14.00;0.028328;0.112763;SAT
ENC2_NNGR_25x24_01;1;59;201;62107;191;20.00;0.028895;0.256721;SAT
ENC2_NNGR_20x19_01;1;8;37;21197;23;16.00;0.030035;0.226393;SAT
ENC2_NNGR_20x10_02;2;151;393;80948;898;14.00;0.030153;0.185918;SAT
