File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC2_NNGR_100x75_01;23.66032;533;7157;7114;0;43;9080;271;105;162;870;4;4;975;162;2847;28;1;5.19854;5.19854;4167;11;36;0;0;SAT
ENC2_NNGR_10x10_01;0.00486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00792;0.00792;270;0;0;0;0;SAT
ENC2_NNGR_10x15_01;0.00614;1;3;3;0;0;1;0;0;0;0;0;0;0;0;2;2;1;0.01215;0.01215;157;0;0;0;0;SAT
ENC2_NNGR_10x15_02;0.01164;6;17;16;0;1;18;3;1;1;1;1;1;2;1;0;0;1;0.00965;0.00965;92;0;2;0;0;SAT
ENC2_NNGR_10x15_03;0.03499;4;13;11;0;2;13;0;0;0;2;0;0;2;0;1;0;1;0.02484;0.02484;170;0;2;0;0;SAT
ENC2_NNGR_10x20_01;0.03756;8;35;35;0;0;38;3;1;1;3;1;1;4;1;33;2;1;0.04273;0.04273;133;0;1;0;0;SAT
ENC2_NNGR_11x15_01;0.02139;2;10;9;0;1;9;1;1;0;2;0;0;3;0;36;4;1;0.02423;0.02423;150;0;1;0;0;SAT
ENC2_NNGR_11x15_02;0.01869;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0.02942;0.02942;170;0;0;0;0;SAT
ENC2_NNGR_12x12_01;0.03758;6;5;5;0;0;4;0;0;0;0;0;0;0;0;32;0;1;0.03215;0.03215;390;0;0;0;0;SAT
ENC2_NNGR_12x21_01;0.02674;2;4;3;0;1;0;0;0;0;0;0;0;0;0;15;0;1;0.04421;0.04421;178;1;0;0;0;SAT
ENC2_NNGR_13x10_01;0.03717;5;12;11;0;1;6;1;0;1;0;0;0;0;1;2;1;1;0.02325;0.02325;122;1;0;0;0;SAT
