File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_100x75_01;536;235530;536920;341117156;5191559;1626.00;28.8589;115.738145;SAT
ENC2_NNGR_10x10_01;1;0;1;2961;0;14.00;0.012774;0.028785;SAT
ENC2_NNGR_10x15_01;1;5;13;5153;10;17.00;0.018289;0.052126;SAT
ENC2_NNGR_10x15_02;2;100;245;30339;560;17.00;0.021286;0.154677;SAT
ENC2_NNGR_10x15_03;1;60;122;21764;240;16.00;0.059832;0.341321;SAT
ENC2_NNGR_10x20_01;3;217;409;95160;1282;21.00;0.080291;0.462061;SAT
ENC2_NNGR_11x15_01;1;28;90;7916;87;17.00;0.045624;0.232970;SAT
ENC2_NNGR_11x15_02;1;1;7;4505;3;18.00;0.048115;0.299055;SAT
ENC2_NNGR_12x12_01;1;15;23;8502;28;16.00;0.069737;0.348521;SAT
ENC2_NNGR_12x21_01;1;6;16;9295;10;21.00;0.070945;0.515476;SAT
ENC2_NNGR_13x10_01;1;29;65;8240;74;15.00;0.060416;0.345852;SAT
ENC2_NNGR_13x15_01;1;43;138;11834;127;19.00;0.079274;0.455250;SAT
ENC2_NNGR_13x18_01;1;18;36;12691;49;24.00;0.108024;0.831176;SAT
ENC2_NNGR_14x15_01;1;58;169;18465;187;21.00;0.080477;0.484230;SAT
ENC2_NNGR_14x15_02;1;59;88;20900;190;19.00;0.065978;0.321784;SAT
ENC2_NNGR_14x16_01;1;5;12;6356;7;22.00;0.065961;0.363171;SAT
ENC2_NNGR_14x44_01;14;2387;6363;2523625;31560;69.00;0.539858;3.241308;SAT
ENC2_NNGR_15x10_01;2;160;421;47964;879;16.00;0.028301;0.121062;SAT
ENC2_NNGR_15x15_01;2;130;426;45453;603;19.00;0.076288;0.433422;SAT
ENC2_NNGR_15x15_02;3;213;420;54317;1191;20.00;0.06446;0.360191;SAT
ENC2_NNGR_15x15_03;1;45;91;14417;110;19.00;0.056284;0.337215;SAT
ENC2_NNGR_15x15_04;1;0;1;5011;0;19.00;0.071922;0.510486;SAT
ENC2_NNGR_15x15_05;3;236;658;75034;1450;19.00;0.065633;0.374970;SAT
ENC2_NNGR_15x15_06;1;19;62;9476;40;19.00;0.047977;0.322880;SAT
ENC2_NNGR_15x17_01;1;84;273;38818;350;23.00;0.093071;0.556566;SAT
ENC2_NNGR_15x18_01;1;5;13;10839;9;25.00;0.076442;0.510405;SAT
ENC2_NNGR_15x20_01;5;585;1478;278451;4708;27.00;0.097432;0.528546;SAT
ENC2_NNGR_16x19_01;1;37;81;16421;106;36.00;0.122003;0.655990;SAT
ENC2_NNGR_17x11_01;1;10;17;11007;22;20.00;0.047626;0.206331;SAT
ENC2_NNGR_17x18_01;1;69;271;38894;280;33.00;0.088128;0.434680;SAT
ENC2_NNGR_18x17_01;2;170;372;79483;790;32.00;0.065794;0.352547;SAT
ENC2_NNGR_18x25_01;1;17;40;24828;42;58.00;0.179991;0.816482;SAT
ENC2_NNGR_20x10_01;2;104;285;54256;791;23.00;0.0469;0.172631;SAT
ENC2_NNGR_20x10_02;2;198;676;70318;999;21.00;0.040414;0.145086;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;16.00;0.012187;0.047177;SAT
ENC2_NNGR_20x19_01;1;4;10;16473;9;34.00;0.067163;0.296176;SAT
ENC2_NNGR_21x14_01;3;283;802;118900;1620;26.00;0.060313;0.202405;SAT
ENC2_NNGR_21x23_01;2;168;564;112546;920;35.00;0.066155;0.273325;SAT
ENC2_NNGR_21x33_01;3;347;917;201267;1573;59.00;0.128325;0.540366;SAT
ENC2_NNGR_24x13_01;1;17;33;13207;33;21.00;0.029227;0.101512;SAT
ENC2_NNGR_24x18_01;7;1169;3054;729241;9225;42.00;0.097119;0.381571;SAT
ENC2_NNGR_25x20_01;7;917;3344;459602;4992;40.00;0.087496;0.321104;SAT
ENC2_NNGR_25x24_01;1;43;114;50381;166;62.00;0.137818;0.515586;SAT
ENC2_NNGR_25x25_01;7;926;2579;498165;6995;63.00;0.138109;0.440855;SAT
ENC2_NNGR_29x25_01;2;138;571;110400;859;94.00;0.202227;0.679343;SAT
ENC2_NNGR_30x20_01;1;67;125;74521;315;62.00;0.116195;0.401010;SAT
ENC2_NNGR_30x20_02;1;86;236;71886;325;54.00;0.088446;0.324663;SAT
ENC2_NNGR_30x20_03;1;0;1;23361;0;23.00;0.021003;0.055387;SAT
ENC2_NNGR_30x20_04;1;63;112;67836;287;55.00;0.098828;0.335615;SAT
ENC2_NNGR_30x25_01;15;3132;8907;1895665;30611;67.00;0.177152;0.607235;SAT
ENC2_NNGR_30x25_02;3;237;690;167892;1428;63.00;0.330453;2.316021;SAT
ENC2_NNGR_30x30_01;48;11426;29049;6840615;109892;74.00;0.741355;3.953872;SAT
ENC2_NNGR_30x32_01;3;235;595;214044;1574;78.00;0.249724;1.218630;SAT
ENC2_NNGR_30x45_01;126;36491;88239;26856422;478609;145.00;1.86766;8.744919;SAT
ENC2_NNGR_30x45_02;255;101306;241154;82124396;2160056;154.00;3.84231;13.389112;SAT
ENC2_NNGR_32x32_01;5;591;1735;605476;5625;87.00;0.444418;2.664253;SAT
ENC2_NNGR_34x30_01;31;6642;16124;4493518;63607;97.00;0.533453;2.466177;SAT
ENC2_NNGR_35x18_01;3;216;687;208824;1254;62.00;0.164504;0.717970;SAT
ENC2_NNGR_35x25_01;14;2103;6083;1366123;16796;91.00;0.27537;1.114020;SAT
ENC2_NNGR_35x25_02;15;2419;5016;2001188;24169;104.00;0.598836;3.891163;SAT
ENC2_NNGR_35x25_03;25;4812;13102;3088994;45268;99.00;0.655185;3.802865;SAT
ENC2_NNGR_35x25_04;31;7744;18036;7451941;105721;86.00;0.770694;4.061818;SAT
ENC2_NNGR_35x35_01;41;9443;25237;7752252;142380;159.00;0.831883;3.496184;SAT
ENC2_NNGR_35x35_02;94;26296;68997;22369890;358195;148.00;1.12559;3.624814;SAT
ENC2_NNGR_35x35_03;53;12208;31421;8365313;129671;154.00;0.626505;2.037983;SAT
ENC2_NNGR_35x45_01;205;67324;167786;57359839;1131142;201.00;2.72851;8.112796;SAT
ENC2_NNGR_35x45_02;165;54048;140145;55820410;969076;206.00;3.76363;16.374854;SAT
ENC2_NNGR_35x45_03;382;142456;321373;208718769;3824325;187.00;13.1943;53.384922;SAT
ENC2_NNGR_35x45_04;205;66914;156047;77912824;1296666;208.00;3.90635;15.444736;SAT
ENC2_NNGR_35x45_05;359;131249;321367;119710309;2453518;206.00;7.74842;34.142374;SAT
ENC2_NNGR_35x45_06;362;131815;313287;165770366;3343930;200.00;10.0926;39.446401;SAT
ENC2_NNGR_39x39_01;15;2732;8024;2314110;27012;168.00;0.86035;5.164411;SAT
ENC2_NNGR_40x30_01;60;13343;36175;9243691;140109;135.00;1.05021;5.247161;SAT
ENC2_NNGR_40x35_01;7;880;2395;723839;7706;141.00;0.692311;4.365136;SAT
ENC2_NNGR_40x40_01;63;17976;43444;21097997;234975;189.00;1.32558;5.099062;SAT
ENC2_NNGR_40x40_02;255;92476;220848;86760279;1893356;216.00;4.46615;15.813752;SAT
ENC2_NNGR_40x45_01;501;179467;436813;218571519;4372534;230.00;12.7348;49.191832;SAT
ENC2_NNGR_40x45_02;511;226423;556802;223308279;6458361;253.00;14.8072;56.715729;SAT
ENC2_NNGR_40x45_03;190;61318;149386;63051278;1168441;226.00;3.55604;14.486937;SAT
ENC2_NNGR_40x45_04;349;129571;279792;149790139;2748652;237.00;8.77729;34.402702;SAT
ENC2_NNGR_40x45_05;106;29031;81502;31942925;426058;231.00;2.8118;13.945435;SAT
ENC2_NNGR_40x45_06;316;116725;300877;96887178;2090048;239.00;5.17956;18.819342;SAT
ENC2_NNGR_40x45_07;255;101941;244840;123205638;1958255;235.00;7.05249;26.401054;SAT
ENC2_NNGR_40x45_08;285;108597;261224;100245647;1920567;221.00;5.99386;25.977035;SAT
ENC2_NNGR_41x45_01;20;3761;11104;3037668;27245;263.00;1.2943;6.956653;SAT
ENC2_NNGR_42x24_01;31;6741;19525;4688632;69624;109.00;0.438411;1.688023;SAT
ENC2_NNGR_43x39_01;63;17920;42051;14173717;213013;218.00;1.00139;3.232242;SAT
