File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC2_NNGR_100x75_01;14.38237;475;7077;7035;0;42;9148;290;98;183;862;9;9;960;183;2900;33;1;8.84949;8.84949;4167;10;40;0;0;SAT
ENC2_NNGR_10x10_01;0.00865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01082;0.01082;270;0;0;0;0;SAT
ENC2_NNGR_10x15_01;0.01139;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0.03200;0.03200;157;0;0;0;0;SAT
ENC2_NNGR_10x15_02;0.03823;0;4;4;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0.03693;0.03693;92;0;0;0;0;SAT
ENC2_NNGR_10x15_03;0.02608;4;13;13;0;0;12;1;0;1;0;0;0;0;1;0;0;1;0.02790;0.02790;170;0;0;0;0;SAT
ENC2_NNGR_10x20_01;0.04698;10;28;27;0;1;24;0;0;0;2;0;0;2;0;32;2;1;0.05794;0.05794;133;1;0;0;0;SAT
ENC2_NNGR_11x15_01;0.02529;6;14;13;0;1;9;0;0;0;1;0;0;1;0;36;4;1;0.02224;0.02224;150;0;1;0;0;SAT
ENC2_NNGR_11x15_02;0.02103;5;1;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0.03660;0.03660;170;0;0;0;0;SAT
ENC2_NNGR_12x12_01;0.01727;0;2;2;0;0;0;0;0;0;0;0;0;0;0;32;0;1;0.02329;0.02329;390;0;0;0;0;SAT
ENC2_NNGR_12x21_01;0.02044;2;1;1;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0.03081;0.03081;178;0;0;0;0;SAT
ENC2_NNGR_13x10_01;0.01694;5;4;3;0;1;4;0;0;0;0;0;0;0;0;2;1;1;0.01251;0.01251;122;1;0;0;0;SAT
ENC2_NNGR_13x15_01;0.01993;1;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;1;0.02798;0.02798;184;0;0;0;0;SAT
ENC2_NNGR_13x18_01;0.01743;2;3;3;0;0;1;0;0;0;0;0;0;0;0;6;3;1;0.04396;0.04396;274;0;0;0;0;SAT
ENC2_NNGR_14x15_01;0.01087;2;8;8;0;0;14;1;0;1;2;0;0;2;1;12;0;1;0.03315;0.03315;137;0;0;0;0;SAT
ENC2_NNGR_14x15_02;0.01289;1;3;3;0;0;3;0;0;0;0;0;0;0;0;12;0;1;0.02735;0.02735;248;0;0;0;0;SAT
ENC2_NNGR_14x16_01;0.01521;4;4;4;0;0;1;0;0;0;0;0;0;0;0;6;0;1;0.03515;0.03515;253;0;0;0;0;SAT
ENC2_NNGR_14x44_01;0.08924;40;125;118;0;7;179;6;5;1;10;0;0;15;1;147;2;1;0.14025;0.14025;554;1;6;0;0;SAT
ENC2_NNGR_15x10_01;0.01015;1;21;18;0;3;26;3;1;1;2;1;1;3;1;2;0;1;0.00843;0.00843;47;1;0;0;0;SAT
ENC2_NNGR_15x15_01;0.01690;9;37;36;0;1;33;0;0;0;6;0;0;6;0;37;1;1;0.02072;0.02072;207;0;1;0;0;SAT
ENC2_NNGR_15x15_02;0.02058;9;22;21;0;1;36;1;0;1;6;0;0;6;1;3;0;1;0.04288;0.04288;159;0;1;0;0;SAT
ENC2_NNGR_15x15_03;0.02548;9;6;6;0;0;4;0;0;0;0;0;0;0;0;20;4;1;0.04343;0.04343;244;0;0;0;0;SAT
ENC2_NNGR_15x15_04;0.02295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0.03513;0.03513;243;0;0;0;0;SAT
ENC2_NNGR_15x15_05;0.02375;5;33;32;0;1;31;1;0;0;4;1;1;4;0;2;0;1;0.02227;0.02227;137;1;1;0;0;SAT
ENC2_NNGR_15x15_06;0.02009;6;16;16;0;0;9;0;0;0;0;0;0;0;0;6;0;1;0.02823;0.02823;213;0;0;0;0;SAT
ENC2_NNGR_15x17_01;0.02228;3;17;17;0;0;19;1;0;1;4;0;0;4;1;4;0;1;0.03445;0.03445;267;0;0;0;0;SAT
ENC2_NNGR_15x18_01;0.01931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;1;0.07646;0.07646;430;0;0;0;0;SAT
ENC2_NNGR_15x20_01;0.05235;5;58;56;0;2;49;4;1;2;4;1;1;5;2;57;2;1;0.07006;0.07006;285;0;1;0;0;SAT
ENC2_NNGR_16x19_01;0.02249;15;9;7;0;2;6;0;0;0;1;0;0;1;0;14;4;1;0.14852;0.14852;194;1;1;0;0;SAT
ENC2_NNGR_17x11_01;0.02683;1;0;0;0;0;2;0;0;0;1;0;0;1;0;32;14;1;0.04998;0.04998;273;0;0;0;0;SAT
ENC2_NNGR_17x18_01;0.03555;11;14;14;0;0;9;2;1;1;0;0;0;1;1;8;0;1;0.15002;0.15002;412;0;0;0;0;SAT
ENC2_NNGR_18x17_01;0.03137;0;13;13;0;0;11;0;0;0;1;0;0;1;0;2;0;1;0.08438;0.08438;303;0;0;0;0;SAT
ENC2_NNGR_18x25_01;0.02749;3;1;1;0;0;2;1;0;0;2;1;1;2;0;24;2;1;0.32358;0.32358;498;1;0;0;0;SAT
ENC2_NNGR_20x10_01;0.02283;12;31;28;0;3;27;3;1;2;0;0;0;1;2;35;0;1;0.04254;0.04254;172;1;2;0;0;SAT
ENC2_NNGR_20x10_02;0.02010;12;28;26;0;2;36;3;1;1;1;1;1;2;1;42;1;1;0.02990;0.02990;172;0;3;0;0;SAT
ENC2_NNGR_20x15_01;0.01702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00209;0.00209;0;0;0;0;0;SAT
ENC2_NNGR_20x19_01;0.01918;0;1;1;0;0;1;0;0;0;0;0;0;0;0;50;22;1;0.07186;0.07186;441;0;0;0;0;SAT
ENC2_NNGR_21x14_01;0.02474;5;33;28;0;5;34;3;0;2;7;1;1;7;2;35;0;1;0.03853;0.03853;256;0;5;0;0;SAT
ENC2_NNGR_21x23_01;0.02489;19;38;37;0;1;45;5;1;4;3;0;0;4;4;88;1;1;0.05928;0.05928;517;0;1;0;0;SAT
ENC2_NNGR_21x33_01;0.03537;14;46;44;0;2;40;5;1;4;4;0;0;5;4;116;4;1;0.11106;0.11106;696;1;1;0;0;SAT
ENC2_NNGR_24x13_01;0.01614;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24;5;1;0.02136;0.02136;184;0;0;0;0;SAT
ENC2_NNGR_24x18_01;0.05094;27;110;108;0;2;124;5;3;2;15;0;0;18;2;65;0;1;0.06853;0.06853;263;2;0;0;0;SAT
ENC2_NNGR_25x20_01;0.03547;42;129;121;0;8;144;9;1;6;12;2;2;13;6;90;0;1;0.06312;0.06312;365;0;10;0;0;SAT
ENC2_NNGR_25x24_01;0.02413;1;6;5;0;1;4;1;1;0;0;0;0;1;0;68;2;1;0.14386;0.14386;509;0;0;0;0;SAT
ENC2_NNGR_25x25_01;0.04631;14;61;59;0;2;116;3;3;0;10;0;0;13;0;10;0;1;0.12231;0.12231;451;0;2;0;0;SAT
ENC2_NNGR_29x25_01;0.01977;10;18;17;0;1;6;0;0;0;2;0;0;2;0;32;3;1;0.19455;0.19455;765;0;1;0;0;SAT
ENC2_NNGR_30x20_01;0.02460;4;11;11;0;0;10;0;0;0;1;0;0;1;0;88;8;1;0.17538;0.17538;558;0;0;0;0;SAT
ENC2_NNGR_30x20_02;0.03563;9;16;16;0;0;0;0;0;0;0;0;0;0;0;176;0;1;0.18261;0.18261;571;0;0;0;0;SAT
ENC2_NNGR_30x20_03;0.02773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00225;0.00225;0;0;0;0;0;SAT
ENC2_NNGR_30x20_04;0.03540;9;16;16;0;0;4;0;0;0;0;0;0;0;0;102;2;1;0.23185;0.23185;768;0;0;0;0;SAT
ENC2_NNGR_30x25_01;0.26644;51;277;271;0;6;343;16;5;10;32;1;1;37;10;154;6;1;0.28696;0.28696;523;1;6;0;0;SAT
ENC2_NNGR_30x25_02;0.05147;12;34;34;0;0;35;3;1;2;4;0;0;5;2;112;0;1;0.20014;0.20014;433;0;0;0;0;SAT
ENC2_NNGR_30x30_01;0.60854;36;477;468;0;9;852;32;12;19;74;1;1;86;19;106;1;1;0.30074;0.30074;759;5;5;0;0;SAT
ENC2_NNGR_30x32_01;0.05559;30;64;59;0;5;41;5;2;3;3;0;0;5;3;54;1;1;0.34724;0.34724;738;1;4;0;0;SAT
ENC2_NNGR_30x45_01;1.30316;52;986;966;0;20;1753;64;27;35;186;2;2;213;35;133;2;1;0.40483;0.40483;847;0;22;0;0;SAT
ENC2_NNGR_30x45_02;2.49005;63;1531;1522;0;9;2896;87;40;46;299;1;1;339;46;360;5;1;0.22388;0.22388;649;1;9;0;0;SAT
ENC2_NNGR_32x32_01;0.04380;13;72;71;0;1;74;4;1;3;14;0;0;15;3;10;0;1;0.12139;0.12139;402;0;1;0;0;SAT
ENC2_NNGR_34x30_01;0.14157;17;271;262;0;9;422;13;4;8;45;1;1;49;8;26;1;1;0.14642;0.14642;466;0;10;0;0;SAT
ENC2_NNGR_35x18_01;0.02646;30;74;70;0;4;37;1;0;1;6;0;0;6;1;138;1;1;0.09240;0.09240;586;1;2;0;0;SAT
ENC2_NNGR_35x25_01;0.08819;35;200;193;0;7;282;5;2;3;40;0;0;42;3;47;1;1;0.12512;0.12512;847;1;6;0;0;SAT
ENC2_NNGR_35x25_02;0.09668;26;138;137;0;1;220;9;1;8;18;0;0;19;8;62;1;1;0.18905;0.18905;717;0;1;0;0;SAT
ENC2_NNGR_35x25_03;0.11278;24;279;273;0;6;377;13;7;3;61;3;3;68;3;184;0;1;0.15833;0.15833;706;1;8;0;0;SAT
ENC2_NNGR_35x25_04;0.20628;37;388;381;0;7;684;28;9;16;68;3;3;77;16;173;0;1;0.11976;0.11976;546;1;9;0;0;SAT
ENC2_NNGR_35x35_01;0.27296;42;505;494;0;11;676;25;10;15;85;0;0;95;15;479;1;1;0.26088;0.26088;983;3;7;0;0;SAT
ENC2_NNGR_35x35_02;0.53785;52;658;646;0;12;1165;41;15;22;108;4;4;123;22;493;1;1;0.24549;0.24549;668;0;16;0;0;SAT
ENC2_NNGR_35x35_03;0.35332;83;605;592;0;13;836;41;17;24;92;0;0;109;24;486;2;1;0.26044;0.26044;819;1;12;0;0;SAT
ENC2_NNGR_35x45_01;1.65778;95;1573;1554;0;19;2985;99;44;48;293;7;7;337;48;789;14;1;0.34283;0.34283;756;2;23;0;0;SAT
ENC2_NNGR_35x45_02;3.41374;84;1450;1430;0;20;2278;57;20;34;279;3;3;299;34;663;8;1;0.36177;0.36177;989;0;22;0;0;SAT
ENC2_NNGR_35x45_03;15.61412;54;2048;2033;0;15;3998;126;58;68;361;0;0;419;68;388;2;1;0.28003;0.28003;883;4;11;0;0;SAT
ENC2_NNGR_35x45_04;5.00278;58;1541;1527;0;14;2452;96;41;54;338;1;1;379;54;409;1;1;0.80066;0.80066;895;0;15;0;0;SAT
ENC2_NNGR_35x45_05;5.93488;93;2251;2231;0;20;4266;137;69;64;423;4;4;492;64;773;12;1;0.70545;0.70545;818;0;24;0;0;SAT
ENC2_NNGR_35x45_06;5.55991;114;2150;2131;0;19;4415;125;58;64;443;3;3;501;64;523;1;1;0.54172;0.54172;823;6;16;0;0;SAT
ENC2_NNGR_39x39_01;0.22987;33;207;194;0;13;262;11;5;5;28;1;1;33;5;437;3;1;0.81658;0.81658;1547;0;14;0;0;SAT
ENC2_NNGR_40x30_01;0.57667;68;637;626;0;11;948;36;11;23;86;2;2;97;23;247;1;1;0.56199;0.56199;824;2;11;0;0;SAT
ENC2_NNGR_40x35_01;0.09760;7;64;59;0;5;72;4;2;1;17;1;1;19;1;527;2;1;0.55477;0.55477;1301;1;5;0;0;SAT
ENC2_NNGR_40x40_01;0.83285;40;678;674;0;4;1102;35;12;21;109;2;2;121;21;510;0;1;0.46065;0.46065;795;1;5;0;0;SAT
ENC2_NNGR_40x40_02;4.20090;185;1830;1810;0;20;3503;100;48;52;374;0;0;422;52;680;7;1;0.37410;0.37410;1188;5;15;0;0;SAT
ENC2_NNGR_40x45_01;26.62672;73;2479;2470;0;9;5754;153;71;79;526;4;3;596;79;678;3;1;0.33316;0.33316;863;0;11;0;0;SAT
ENC2_NNGR_40x45_02;10.60040;103;2972;2954;0;18;6227;170;69;101;636;0;0;705;101;1025;6;1;0.81181;0.81181;781;4;14;0;0;SAT
ENC2_NNGR_40x45_03;1.75279;132;1494;1483;0;11;2249;79;42;36;266;1;1;308;36;642;15;1;0.81284;0.81284;951;4;8;0;0;SAT
ENC2_NNGR_40x45_04;2.96604;105;1873;1856;0;17;3652;106;45;60;352;5;1;393;60;662;7;1;0.41338;0.41338;654;2;16;0;0;SAT
ENC2_NNGR_40x45_05;1.07407;143;1032;1015;0;17;1484;47;21;22;143;4;4;164;22;541;14;1;0.66200;0.66200;1271;7;14;0;0;SAT
ENC2_NNGR_40x45_06;3.85729;114;2425;2409;0;16;4460;136;54;79;444;3;3;498;79;705;15;1;0.88764;0.88764;956;2;17;0;0;SAT
ENC2_NNGR_40x45_07;9.41278;72;1800;1791;0;9;3470;96;41;53;362;2;2;403;53;491;3;1;0.86706;0.86706;1048;1;10;0;0;SAT
ENC2_NNGR_40x45_08;4.10062;98;1975;1961;0;14;3592;111;59;51;376;1;1;435;51;551;3;1;0.93803;0.93803;780;2;13;0;0;SAT
ENC2_NNGR_41x45_01;0.48656;82;433;418;0;15;476;22;3;17;54;2;2;57;17;418;6;1;1.44627;1.44627;1597;1;16;0;0;SAT
ENC2_NNGR_42x24_01;0.21661;67;360;357;0;3;523;26;10;13;58;4;3;67;13;280;8;1;0.28979;0.28979;787;1;5;0;0;SAT
ENC2_NNGR_43x39_01;1.02892;47;809;805;0;4;1140;39;12;25;125;2;2;137;25;532;1;1;0.48296;0.48296;776;1;5;0;0;SAT
ENC2_NNGR_45x19_01;0.04323;6;17;16;0;1;7;1;0;1;0;0;0;0;1;170;21;1;0.53449;0.53449;1253;0;1;0;0;SAT
ENC2_NNGR_45x25_01;0.14574;72;216;209;0;7;236;8;2;5;18;1;1;20;5;112;5;1;0.48029;0.48029;836;0;8;0;0;SAT
ENC2_NNGR_45x27_01;0.22457;53;251;246;0;5;360;18;7;10;32;1;1;39;10;246;4;1;0.61723;0.61723;990;0;6;0;0;SAT
ENC2_NNGR_45x28_01;1.07429;88;1082;1074;0;8;1791;60;25;31;192;4;4;217;31;413;4;1;0.51474;0.51474;658;1;11;0;0;SAT
ENC2_NNGR_45x28_02;0.38604;76;627;614;0;13;950;32;13;19;75;0;0;88;19;258;4;1;0.66041;0.66041;1242;0;13;0;0;SAT
ENC2_NNGR_45x28_03;0.30815;106;521;515;0;6;643;22;15;7;57;0;0;72;7;294;3;1;0.33367;0.33367;931;0;6;0;0;SAT
ENC2_NNGR_45x28_04;1.07319;69;752;742;0;10;1451;47;20;24;136;3;3;156;24;229;1;1;0.27249;0.27249;1016;1;12;0;0;SAT
ENC2_NNGR_45x29_01;1.07832;24;694;689;0;5;1130;38;16;21;135;1;1;151;21;214;4;1;0.21951;0.21951;678;2;4;0;0;SAT
ENC2_NNGR_45x30_01;0.14637;82;341;328;0;13;479;23;6;16;44;1;1;50;16;270;3;1;0.24345;0.24345;1009;3;11;0;0;SAT
ENC2_NNGR_45x30_02;1.64367;67;1349;1328;0;21;2229;82;40;40;235;2;2;275;40;226;5;1;0.23919;0.23919;710;5;18;0;0;SAT
ENC2_NNGR_45x30_03;0.90482;18;617;613;0;4;1010;44;19;23;122;2;2;141;23;122;0;1;0.75448;0.75448;849;0;5;0;0;SAT
ENC2_NNGR_45x30_04;0.28050;21;415;414;0;1;632;31;10;20;65;1;1;75;20;147;0;1;0.37934;0.37934;839;0;1;0;0;SAT
ENC2_NNGR_45x30_05;0.30628;43;330;328;0;2;476;19;7;12;49;0;0;56;12;220;3;1;0.50407;0.50407;976;0;2;0;0;SAT
ENC2_NNGR_45x30_06;3.63604;54;1413;1402;0;11;2476;89;41;44;249;4;4;290;44;365;4;1;0.55468;0.55468;599;0;15;0;0;SAT
ENC2_NNGR_45x30_07;0.05469;12;32;31;0;1;37;2;0;2;3;0;0;3;2;260;0;1;0.46200;0.46200;1395;1;0;0;0;SAT
ENC2_NNGR_45x30_08;0.98241;34;766;757;0;9;1398;44;15;29;142;0;0;157;29;203;4;1;0.21695;0.21695;713;0;9;0;0;SAT
ENC2_NNGR_45x30_09;1.37617;57;856;840;0;16;1400;55;16;34;154;5;5;170;34;183;6;1;0.26135;0.26135;868;3;18;0;0;SAT
ENC2_NNGR_45x32_01;0.40519;52;307;302;0;5;451;13;7;6;59;0;0;66;6;155;3;1;0.47193;0.47193;775;0;5;0;0;SAT
ENC2_NNGR_45x32_02;0.78971;95;646;640;0;6;1092;39;16;23;98;0;0;114;23;219;2;1;0.70291;0.70291;991;1;5;0;0;SAT
