File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_9x33_01;1;0;1;14108;0;17.00;0.007726;0.049495;SAT
ENC2_NNGR_15x10_01;2;166;411;57959;1051;16.00;0.018582;0.093418;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;16.00;0.019109;0.094112;SAT
ENC2_NNGR_10x10_01;1;0;1;2961;0;14.00;0.019474;0.064878;SAT
ENC2_NNGR_13x10_01;1;18;68;7732;58;15.00;0.029444;0.156479;SAT
ENC2_NNGR_30x20_03;1;0;1;23361;0;23.00;0.029973;0.180199;SAT
ENC2_NNGR_8x38_01;1;4;20;12395;7;27.00;0.030208;0.142973;SAT
ENC2_NNGR_24x13_01;1;1;6;9614;1;21.00;0.037507;0.152484;SAT
ENC2_NNGR_15x15_01;2;185;612;53197;889;19.00;0.037623;0.128108;SAT
ENC2_NNGR_14x15_02;1;8;36;7552;21;19.00;0.040239;0.182968;SAT
ENC2_NNGR_12x12_01;1;6;25;5433;37;16.00;0.040566;0.208790;SAT
ENC2_NNGR_10x15_01;1;1;6;4651;1;17.00;0.043397;0.307526;SAT
ENC2_NNGR_14x15_01;1;49;128;15815;204;21.00;0.044026;0.227574;SAT
ENC2_NNGR_15x15_05;3;211;601;63855;1097;19.00;0.046024;0.284753;SAT
ENC2_NNGR_11x15_01;1;51;97;22638;266;17.00;0.047524;0.299664;SAT
ENC2_NNGR_13x15_01;1;12;31;6554;85;19.00;0.047913;0.258829;SAT
ENC2_NNGR_15x15_06;1;37;134;12735;97;19.00;0.048319;0.279189;SAT
ENC2_NNGR_20x10_02;2;185;513;65119;852;21.00;0.049997;0.261240;SAT
ENC2_NNGR_14x16_01;1;9;30;8020;15;22.00;0.05036;0.221613;SAT
ENC2_NNGR_12x21_01;1;3;18;9160;4;21.00;0.051252;0.322313;SAT
ENC2_NNGR_10x15_03;1;61;137;20302;424;16.00;0.053984;0.331697;SAT
ENC2_NNGR_15x17_01;1;78;277;32616;339;23.00;0.056735;0.332845;SAT
ENC2_NNGR_11x15_02;1;9;23;8881;17;18.00;0.057628;0.312134;SAT
ENC2_NNGR_15x15_04;1;0;1;5011;0;19.00;0.058076;0.353837;SAT
ENC2_NNGR_13x18_01;1;10;36;10085;30;24.00;0.061387;0.334642;SAT
ENC2_NNGR_21x14_01;3;304;707;173843;2263;26.00;0.063276;0.343952;SAT
ENC2_NNGR_15x15_02;3;223;613;71128;1323;20.00;0.063464;0.574592;SAT
ENC2_NNGR_20x10_01;2;129;320;49451;600;23.00;0.065374;0.348080;SAT
ENC2_NNGR_15x15_03;1;19;53;10555;33;19.00;0.068907;0.451765;SAT
ENC2_NNGR_10x15_02;1;54;149;13339;268;17.00;0.075155;0.415545;SAT
ENC2_NNGR_17x11_01;1;3;16;7255;7;20.00;0.076815;0.547177;SAT
ENC2_NNGR_21x23_01;2;180;519;107538;724;35.00;0.084173;0.420356;SAT
ENC2_NNGR_20x19_01;1;2;9;16301;5;34.00;0.091046;0.486305;SAT
ENC2_NNGR_15x18_01;1;0;4;10297;0;25.00;0.095774;0.953769;SAT
ENC2_NNGR_25x20_01;7;1071;3106;567906;7406;40.00;0.098588;0.421592;SAT
ENC2_NNGR_10x20_01;3;201;486;84082;1390;21.00;0.104917;0.678770;SAT
ENC2_NNGR_18x17_01;1;42;164;34757;188;32.00;0.115752;0.793947;SAT
ENC2_NNGR_35x18_01;3;260;791;230858;1428;62.00;0.118863;0.418803;SAT
ENC2_NNGR_24x18_01;7;1104;2910;656544;8797;42.00;0.119469;0.495826;SAT
ENC2_NNGR_15x20_01;5;545;1446;243535;4912;27.00;0.122408;0.726380;SAT
ENC2_NNGR_21x33_01;3;229;828;168441;1090;59.00;0.146427;0.730126;SAT
ENC2_NNGR_32x32_01;6;698;1759;352452;4594;87.00;0.165189;0.623562;SAT
ENC2_NNGR_25x24_01;1;21;68;33619;79;62.00;0.167995;0.644244;SAT
ENC2_NNGR_25x25_01;7;1104;2529;774402;8557;63.00;0.168617;0.650030;SAT
ENC2_NNGR_16x19_01;1;36;143;23425;78;36.00;0.171014;1.160983;SAT
ENC2_NNGR_17x18_01;1;66;172;32791;245;32.00;0.18557;1.403987;SAT
ENC2_NNGR_30x20_01;1;50;140;68749;241;62.00;0.199983;1.602952;SAT
ENC2_NNGR_35x25_01;15;2824;7283;1628961;23811;91.00;0.213306;0.758171;SAT
ENC2_NNGR_29x25_01;1;84;343;78061;396;94.00;0.214315;0.869168;SAT
ENC2_NNGR_30x20_02;1;65;176;62445;330;54.00;0.218231;1.399955;SAT
ENC2_NNGR_14x44_01;8;1244;4166;1276623;10129;69.00;0.229488;1.136720;SAT
ENC2_NNGR_30x25_02;3;228;792;169765;1897;63.00;0.251609;1.547509;SAT
ENC2_NNGR_30x20_04;1;44;115;42024;189;55.00;0.267248;1.801445;SAT
ENC2_NNGR_35x25_03;25;4808;13211;2692160;50006;99.00;0.271112;0.909607;SAT
ENC2_NNGR_35x25_02;15;2427;6245;2109086;23336;104.00;0.285729;0.938846;SAT
ENC2_NNGR_34x30_01;30;5725;14411;3422409;54737;97.00;0.287983;0.983719;SAT
ENC2_NNGR_35x25_04;41;9612;23137;6192720;102770;86.00;0.326042;1.096086;SAT
ENC2_NNGR_18x25_01;1;11;26;24161;77;58.00;0.351071;2.423128;SAT
ENC2_NNGR_45x30_01;22;4320;12282;2813608;32635;139.00;0.38982;1.324230;SAT
ENC2_NNGR_30x32_01;3;309;882;142273;1500;78.00;0.402828;2.540269;SAT
ENC2_NNGR_42x24_01;30;5894;16450;3571605;57536;109.00;0.506404;2.227729;SAT
ENC2_NNGR_45x30_07;3;299;1089;509549;2535;208.00;0.516688;1.750770;SAT
ENC2_NNGR_35x35_01;38;9182;24732;7074270;109998;159.00;0.533831;1.897198;SAT
ENC2_NNGR_30x25_01;20;3741;9604;2420904;31883;67.00;0.5534;3.683535;SAT
ENC2_NNGR_45x19_01;1;52;215;77605;193;99.00;0.57772;3.795423;SAT
ENC2_NNGR_35x35_03;46;10550;29924;8401742;117047;154.00;0.613763;1.958347;SAT
ENC2_NNGR_57x57_01;2;114;399;325519;515;306.00;0.615418;2.328595;SAT
ENC2_NNGR_45x25_01;14;2058;5973;1576994;15315;115.00;0.62603;3.774984;SAT
ENC2_NNGR_45x33_05;39;9232;22000;6866525;98355;190.00;0.630656;2.182314;SAT
ENC2_NNGR_45x28_03;31;7599;22579;6143931;86153;145.00;0.641824;2.670215;SAT
ENC2_NNGR_40x35_01;6;771;2593;910551;7537;141.00;0.652367;3.894323;SAT
ENC2_NNGR_45x30_04;34;8350;20371;5886763;97675;153.00;0.659839;3.023063;SAT
