File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC1_NNGR_15x15_01;0.04182;7;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0.02812;0.02812;45;0;0;0;0;SAT
ENC2_NNGR_100x75_01;18.78750;584;7594;7561;0;33;9677;300;111;179;897;10;10;1187;0;2689;26;1;13.13635;13.13635;4167;9;33;150;26;SAT
ENC2_NNGR_10x10_01;0.00481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00798;0.00798;270;0;0;0;0;SAT
ENC2_NNGR_10x15_01;0.00755;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0.02292;0.02292;157;0;0;0;0;SAT
ENC2_NNGR_10x15_02;0.00846;0;4;4;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0.04985;0.04985;92;0;0;0;0;SAT
ENC2_NNGR_10x15_03;0.02527;4;13;13;0;0;12;1;0;1;0;0;0;1;0;0;0;1;0.03258;0.03258;170;0;0;1;0;SAT
ENC2_NNGR_10x20_01;0.02951;10;28;27;0;1;24;0;0;0;2;0;0;2;0;32;2;1;0.05570;0.05570;133;1;0;0;0;SAT
ENC2_NNGR_11x15_01;0.02720;6;14;13;0;1;9;0;0;0;1;0;0;1;0;36;4;1;0.03788;0.03788;150;0;1;0;0;SAT
ENC2_NNGR_11x15_02;0.02330;5;1;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0.05078;0.05078;170;0;0;0;0;SAT
ENC2_NNGR_12x12_01;0.01547;0;2;2;0;0;0;0;0;0;0;0;0;0;0;32;0;1;0.03213;0.03213;390;0;0;0;0;SAT
ENC2_NNGR_12x21_01;0.01788;2;1;1;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0.05703;0.05703;178;0;0;0;0;SAT
ENC2_NNGR_13x10_01;0.02505;5;4;3;0;1;4;0;0;0;0;0;0;0;0;2;1;1;0.02086;0.02086;122;1;0;0;0;SAT
ENC2_NNGR_13x15_01;0.02161;1;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;1;0.05941;0.05941;184;0;0;0;0;SAT
ENC2_NNGR_13x18_01;0.01932;2;3;3;0;0;1;0;0;0;0;0;0;0;0;6;3;1;0.09429;0.09429;274;0;0;0;0;SAT
ENC2_NNGR_14x15_01;0.01772;2;9;9;0;0;13;1;0;1;1;0;0;2;0;12;0;1;0.05194;0.05194;137;0;0;0;0;SAT
ENC2_NNGR_14x15_02;0.02274;1;3;3;0;0;3;0;0;0;0;0;0;0;0;12;0;1;0.05219;0.05219;248;0;0;0;0;SAT
ENC2_NNGR_14x16_01;0.02740;4;4;4;0;0;1;0;0;0;0;0;0;0;0;6;0;1;0.09839;0.09839;253;0;0;0;0;SAT
ENC2_NNGR_14x44_01;0.12560;40;125;118;0;7;179;6;5;1;10;0;0;16;0;148;2;1;0.34506;0.34506;554;1;6;1;0;SAT
ENC2_NNGR_15x10_01;0.01165;0;18;16;0;2;39;2;1;1;6;0;0;8;0;3;0;1;0.00717;0.00717;47;0;1;1;0;SAT
ENC2_NNGR_15x15_01;0.01870;9;37;36;0;1;33;0;0;0;6;0;0;6;0;37;1;1;0.04884;0.04884;207;0;1;0;0;SAT
ENC2_NNGR_15x15_02;0.02573;4;23;22;0;1;34;1;0;1;7;0;0;8;0;2;0;1;0.05767;0.05767;159;1;0;1;0;SAT
ENC2_NNGR_15x15_03;0.02937;9;6;6;0;0;4;0;0;0;0;0;0;0;0;20;4;1;0.04342;0.04342;244;0;0;0;0;SAT
