File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_9x33_01;1;0;1;14108;0;17.00;0.011904;0.038662;SAT
ENC2_NNGR_10x10_01;1;0;1;2961;0;14.00;0.012793;0.054352;SAT
ENC2_NNGR_15x10_01;2;187;431;57292;1262;16.00;0.018821;0.107318;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;15.00;0.018873;0.109392;SAT
ENC2_NNGR_30x20_03;1;0;1;23361;0;23.00;0.027338;0.145109;SAT
ENC2_NNGR_10x15_01;1;1;6;4651;1;18.00;0.030474;0.098784;SAT
ENC2_NNGR_13x10_01;1;18;68;7732;58;16.00;0.04591;0.294191;SAT
ENC2_NNGR_12x12_01;1;6;25;5433;37;17.00;0.047604;0.253872;SAT
ENC2_NNGR_15x15_06;1;37;134;12735;97;20.00;0.049144;0.328340;SAT
ENC2_NNGR_10x15_03;1;61;136;20183;424;17.00;0.057858;0.335441;SAT
ENC2_NNGR_10x15_02;1;54;149;13339;268;19.00;0.058305;0.572591;SAT
ENC2_NNGR_8x38_01;1;4;20;12395;7;31.00;0.062398;0.191114;SAT
ENC2_NNGR_15x15_05;3;211;601;63855;1097;20.00;0.064537;0.366527;SAT
ENC2_NNGR_11x15_01;1;51;97;22638;266;18.00;0.065072;0.424828;SAT
ENC2_NNGR_15x15_01;2;185;612;53197;889;20.00;0.067538;0.484907;SAT
ENC2_NNGR_14x15_01;1;50;123;15611;217;23.00;0.069663;0.382433;SAT
ENC2_NNGR_15x15_03;1;19;53;10555;33;20.00;0.07279;0.609371;SAT
ENC2_NNGR_11x15_02;1;9;23;8881;17;20.00;0.074074;0.407971;SAT
ENC2_NNGR_12x21_01;1;3;18;9160;4;22.00;0.074918;0.674092;SAT
ENC2_NNGR_14x15_02;1;8;36;7552;21;21.00;0.074933;0.476858;SAT
ENC2_NNGR_13x15_01;1;12;31;6554;85;21.00;0.081025;0.505266;SAT
ENC2_NNGR_20x10_02;2;185;512;64306;852;23.00;0.081572;0.485176;SAT
ENC2_NNGR_15x17_01;1;78;276;31984;339;25.00;0.081983;0.711322;SAT
ENC2_NNGR_24x13_01;1;1;6;9614;1;22.00;0.08226;0.718608;SAT
ENC2_NNGR_15x15_02;3;201;509;59320;1090;21.00;0.083395;0.530312;SAT
ENC2_NNGR_10x20_01;3;201;486;84082;1390;22.00;0.085206;0.534957;SAT
ENC2_NNGR_17x11_01;1;3;16;7255;7;22.00;0.094803;0.826168;SAT
