File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC2_NNGR_9x33_01;1;0;1;14108;0;17.00;0.012666;0.040378;SAT
ENC2_NNGR_10x10_01;1;0;1;2961;0;14.00;0.021434;0.092916;SAT
ENC2_NNGR_20x15_01;1;0;1;9846;0;15.00;0.022232;0.095466;SAT
ENC2_NNGR_30x20_03;1;0;1;23361;0;23.00;0.023251;0.180931;SAT
ENC2_NNGR_10x15_03;1;61;137;20302;424;17.00;0.026371;0.116335;SAT
ENC2_NNGR_10x15_02;1;54;149;13339;268;19.00;0.038022;0.166550;SAT
ENC2_NNGR_13x10_01;1;18;68;7732;58;16.00;0.039313;0.182739;SAT
ENC2_NNGR_10x15_01;1;1;6;4651;1;18.00;0.039725;0.182631;SAT
ENC2_NNGR_11x15_01;1;51;97;22638;266;18.00;0.04172;0.291819;SAT
ENC2_NNGR_15x10_01;2;166;411;57959;1051;16.00;0.042806;0.240332;SAT
ENC2_NNGR_24x13_01;1;1;6;9614;1;22.00;0.044463;0.161294;SAT
ENC2_NNGR_10x20_01;3;201;486;84082;1390;22.00;0.054422;0.215509;SAT
ENC2_NNGR_12x12_01;1;6;25;5433;37;17.00;0.057836;0.318414;SAT
ENC2_NNGR_15x15_05;3;211;601;63855;1097;20.00;0.060624;0.361148;SAT
ENC2_NNGR_14x15_02;1;8;36;7552;21;21.00;0.063688;0.352016;SAT
ENC2_NNGR_15x17_01;1;78;277;32616;339;25.00;0.068115;0.461471;SAT
ENC2_NNGR_20x10_02;2;185;513;65119;852;23.00;0.069273;0.403816;SAT
ENC2_NNGR_8x38_01;1;4;20;12395;7;31.00;0.07271;0.281447;SAT
ENC2_NNGR_21x14_01;3;304;707;173843;2263;29.00;0.075065;0.341922;SAT
ENC2_NNGR_15x15_01;2;185;612;53197;889;20.00;0.075342;0.477344;SAT
ENC2_NNGR_15x15_06;1;37;134;12735;97;20.00;0.077446;0.431790;SAT
ENC2_NNGR_11x15_02;1;9;23;8881;17;20.00;0.079568;0.557459;SAT
ENC2_NNGR_15x15_04;1;0;1;5011;0;20.00;0.080547;0.489872;SAT
ENC2_NNGR_12x21_01;1;3;18;9160;4;22.00;0.080944;0.481441;SAT
ENC2_NNGR_15x15_03;1;19;53;10555;33;20.00;0.082944;0.530838;SAT
ENC2_NNGR_15x15_02;3;223;613;71128;1323;21.00;0.08374;0.656036;SAT
ENC2_NNGR_14x15_01;1;49;128;15815;204;23.00;0.094794;0.551452;SAT
ENC2_NNGR_17x11_01;1;3;16;7255;7;22.00;0.095626;0.551766;SAT
ENC2_NNGR_15x20_01;5;545;1446;243535;4912;30.00;0.097389;0.498428;SAT
ENC2_NNGR_13x15_01;1;12;31;6554;85;21.00;0.104863;0.662139;SAT
ENC2_NNGR_21x23_01;2;180;519;107538;724;40.00;0.116803;0.527985;SAT
ENC2_NNGR_15x18_01;1;0;4;10297;0;29.00;0.120208;0.654260;SAT
ENC2_NNGR_20x10_01;2;129;320;49451;600;26.00;0.122512;0.771026;SAT
ENC2_NNGR_14x16_01;1;9;30;8020;15;25.00;0.134071;0.864829;SAT
ENC2_NNGR_18x17_01;1;42;164;34757;188;36.00;0.165094;1.018883;SAT
ENC2_NNGR_13x18_01;1;10;36;10085;30;28.00;0.166014;1.254447;SAT
