File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;16;34;689081;43;120.00;0.241741;6.227113;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.010996;0.052908;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;12.00;0.013998;0.050553;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;12.00;0.015026;0.052339;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;12.00;0.008625;0.048581;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;13.00;0.014143;0.056473;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;12.00;0.009689;0.043716;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;12.00;0.010713;0.043774;SAT
ENC3_NNGR_12x12_01;1;1;3;4388;3;12.00;0.008911;0.044423;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;13.00;0.035777;0.198514;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;12.00;0.030904;0.117014;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;12.00;0.023836;0.116233;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;13.00;0.024782;0.142809;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;12.00;0.01998;0.095333;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;12.00;0.016968;0.093326;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;12.00;0.016277;0.077839;SAT
ENC3_NNGR_14x44_01;1;3;6;35939;4;17.00;0.03424;0.218695;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;12.00;0.01383;0.068761;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;12.00;0.016152;0.067080;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;12.00;0.014861;0.065441;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;12.00;0.01561;0.067308;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;12.00;0.010602;0.058983;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;12.00;0.01288;0.056893;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;12.00;0.014122;0.065314;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;13.00;0.020628;0.130043;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;13.00;0.01408;0.133156;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;13.00;0.037201;0.265936;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;13.00;0.027587;0.164082;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;12.00;0.033063;0.184062;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;13.00;0.043303;0.260336;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;14.00;0.02922;0.245072;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;14.00;0.027929;0.266819;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;12.00;0.024149;0.136719;SAT
ENC3_NNGR_20x10_02;1;2;11;9066;4;12.00;0.022732;0.106333;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;13.00;0.034062;0.207184;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;14.00;0.026618;0.245950;SAT
ENC3_NNGR_21x14_01;1;1;2;12728;1;13.00;0.038752;0.245088;SAT
ENC3_NNGR_21x23_01;1;0;1;25456;0;15.00;0.032409;0.333924;SAT
ENC3_NNGR_21x33_01;1;0;1;46378;0;17.00;0.047913;0.505407;SAT
ENC3_NNGR_24x13_01;1;0;1;11221;0;13.00;0.037913;0.236804;SAT
ENC3_NNGR_24x18_01;1;11;22;32858;23;15.00;0.038598;0.282463;SAT
ENC3_NNGR_25x20_01;1;0;1;23631;0;14.00;0.047961;0.356072;SAT
ENC3_NNGR_25x24_01;1;0;1;24897;0;15.00;0.034831;0.304039;SAT
ENC3_NNGR_25x25_01;1;1;19;25513;1;16.00;0.037243;0.378487;SAT
ENC3_NNGR_29x25_01;1;0;1;35348;0;16.00;0.043697;0.532728;SAT
ENC3_NNGR_30x20_01;1;2;16;31966;3;16.00;0.032217;0.334570;SAT
ENC3_NNGR_30x20_02;1;0;1;28781;0;16.00;0.02732;0.247842;SAT
ENC3_NNGR_30x20_03;1;0;1;27801;0;15.00;0.026802;0.211730;SAT
ENC3_NNGR_30x20_04;1;0;1;28821;0;15.00;0.026647;0.228379;SAT
ENC3_NNGR_30x25_01;1;0;1;34601;0;16.00;0.02926;0.241028;SAT
ENC3_NNGR_30x25_02;1;0;1;31721;0;16.00;0.024784;0.184359;SAT
ENC3_NNGR_30x30_01;1;0;1;36961;0;17.00;0.03083;0.210007;SAT
ENC3_NNGR_30x32_01;1;0;1;43561;0;18.00;0.02784;0.219242;SAT
ENC3_NNGR_30x45_01;1;79;217;174738;406;24.00;0.047351;0.439353;SAT
ENC3_NNGR_30x45_02;1;84;304;310112;1731;24.00;0.037208;0.360805;SAT
ENC3_NNGR_32x32_01;1;0;2;45707;0;19.00;0.023673;0.167459;SAT
ENC3_NNGR_34x30_01;1;12;48;67986;31;21.00;0.027926;0.195834;SAT
ENC3_NNGR_35x18_01;1;0;1;40367;0;16.00;0.016394;0.126987;SAT
ENC3_NNGR_35x25_01;1;0;1;52286;0;18.00;0.021909;0.177007;SAT
ENC3_NNGR_35x25_02;1;0;1;55166;0;19.00;0.028826;0.188180;SAT
ENC3_NNGR_35x25_03;1;32;107;75908;124;19.00;0.031967;0.176398;SAT
ENC3_NNGR_35x25_04;1;0;1;52306;0;19.00;0.028065;0.194875;SAT
ENC3_NNGR_35x35_01;1;14;31;111809;52;27.00;0.03476;0.320238;SAT
ENC3_NNGR_35x35_02;1;7;26;110023;26;25.00;0.032649;0.256665;SAT
ENC3_NNGR_35x35_03;1;0;1;97896;0;25.00;0.0277;0.272774;SAT
ENC3_NNGR_35x45_01;1;5;12;121935;7;29.00;0.092269;1.411451;SAT
ENC3_NNGR_35x45_02;1;58;147;178174;308;30.00;0.067128;0.826006;SAT
ENC3_NNGR_35x45_03;2;195;536;518586;2806;29.00;0.056989;0.684963;SAT
ENC3_NNGR_35x45_04;1;37;132;142702;184;30.00;0.068067;1.051780;SAT
ENC3_NNGR_35x45_05;1;8;30;159450;23;30.00;0.07358;1.241673;SAT
ENC3_NNGR_35x45_06;1;76;356;299706;1188;32.00;0.082549;1.345433;SAT
ENC3_NNGR_39x39_01;1;0;1;110176;0;25.00;0.078939;1.197591;SAT
ENC3_NNGR_40x30_01;1;5;11;82077;5;23.00;0.066607;0.953177;SAT
ENC3_NNGR_40x35_01;1;0;1;98471;0;24.00;0.066317;0.817891;SAT
ENC3_NNGR_40x40_01;1;0;1;102459;0;27.00;0.072693;1.334007;SAT
