File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;16;34;689066;43;262.00;0.319512;11.734392;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.019062;0.082295;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;13.00;0.03672;0.153264;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.033304;0.156945;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;13.00;0.033011;0.163116;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;15.00;0.039422;0.231208;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;13.00;0.026443;0.124632;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;13.00;0.026677;0.114516;SAT
ENC3_NNGR_12x12_01;1;1;3;4388;3;13.00;0.02606;0.098073;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;15.00;0.02196;0.123865;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.025748;0.112033;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;13.00;0.024733;0.138895;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;15.00;0.032951;0.139645;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;13.00;0.024339;0.103279;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.039619;0.181227;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;13.00;0.028123;0.143114;SAT
ENC3_NNGR_14x44_01;1;3;6;35937;4;25.00;0.044622;0.374823;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.019589;0.087047;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;14.00;0.026886;0.152925;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.034469;0.182055;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.026877;0.139905;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.028926;0.131137;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.027025;0.141114;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.027755;0.140513;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;15.00;0.023416;0.146165;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;16.00;0.024643;0.211423;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;16.00;0.036522;0.224724;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;15.00;0.029726;0.178457;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;14.00;0.027371;0.156367;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;16.00;0.032229;0.208932;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;17.00;0.027635;0.180666;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;18.00;0.021353;0.163172;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;14.00;0.01697;0.101039;SAT
ENC3_NNGR_20x10_02;1;2;11;9066;4;14.00;0.038047;0.217832;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;15.00;0.034118;0.182287;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;17.00;0.03181;0.222889;SAT
ENC3_NNGR_21x14_01;1;1;2;12728;1;16.00;0.025772;0.150410;SAT
ENC3_NNGR_21x23_01;1;0;1;25456;0;20.00;0.035727;0.332897;SAT
ENC3_NNGR_21x33_01;1;0;1;46378;0;27.00;0.059788;0.587166;SAT
ENC3_NNGR_24x13_01;1;0;1;11221;0;16.00;0.03988;0.245261;SAT
ENC3_NNGR_24x18_01;1;11;22;32861;23;20.00;0.043244;0.326014;SAT
ENC3_NNGR_25x20_01;1;0;1;23631;0;20.00;0.037542;0.316151;SAT
ENC3_NNGR_25x24_01;1;0;1;24897;0;21.00;0.03144;0.264453;SAT
ENC3_NNGR_25x25_01;1;1;19;25513;1;22.00;0.04051;0.288697;SAT
ENC3_NNGR_29x25_01;1;0;1;35348;0;24.00;0.044882;0.424071;SAT
ENC3_NNGR_30x20_01;1;2;16;31965;3;24.00;0.05573;0.511758;SAT
ENC3_NNGR_30x20_02;1;0;1;28781;0;22.00;0.036466;0.325261;SAT
ENC3_NNGR_30x20_03;1;0;1;27801;0;21.00;0.039298;0.402163;SAT
ENC3_NNGR_30x20_04;1;0;1;28821;0;22.00;0.036618;0.366772;SAT
ENC3_NNGR_30x25_01;1;0;1;34601;0;25.00;0.063928;0.604527;SAT
ENC3_NNGR_30x25_02;1;0;1;31721;0;23.00;0.048236;0.395970;SAT
