File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;11;24;764385;18;262.00;0.34442;5.691741;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.01555;0.064551;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;13.00;0.014145;0.063660;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.013262;0.054892;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;13.00;0.013637;0.053657;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;15.00;0.016606;0.073334;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;13.00;0.014297;0.052847;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;13.00;0.025136;0.120382;SAT
ENC3_NNGR_12x12_01;1;2;4;4578;6;13.00;0.022334;0.115288;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;15.00;0.023908;0.124193;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.029989;0.153458;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;13.00;0.03111;0.160138;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;15.00;0.026366;0.158520;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;13.00;0.029793;0.173938;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.0272;0.136042;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;13.00;0.036466;0.172076;SAT
ENC3_NNGR_14x44_01;1;1;6;34147;1;25.00;0.058883;0.504574;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.032143;0.161153;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;14.00;0.030649;0.134689;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.0387;0.189020;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.024561;0.137887;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.030067;0.123069;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.034207;0.165993;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.028331;0.136453;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;15.00;0.025307;0.161276;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;16.00;0.036015;0.243159;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;16.00;0.033473;0.188196;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;15.00;0.026338;0.168199;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;14.00;0.024791;0.126938;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;16.00;0.023938;0.154288;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;17.00;0.024474;0.170061;SAT
