File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;16;34;689066;43;262.00;0.242142;4.446583;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.020271;0.093205;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;13.00;0.027692;0.125308;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.022639;0.137172;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;13.00;0.034963;0.165736;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;15.00;0.02638;0.159209;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;13.00;0.032085;0.156171;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;13.00;0.033647;0.155792;SAT
ENC3_NNGR_12x12_01;1;1;3;4388;3;13.00;0.033418;0.158966;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;15.00;0.033786;0.177313;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.027818;0.120399;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;13.00;0.025055;0.122975;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;15.00;0.035344;0.218343;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;13.00;0.038633;0.155208;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.029482;0.133447;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;13.00;0.022461;0.135336;SAT
ENC3_NNGR_14x44_01;1;3;6;35937;4;25.00;0.037691;0.348241;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.019066;0.089751;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;14.00;0.024322;0.092367;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.017847;0.088792;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.020348;0.084998;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.019025;0.082871;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.015621;0.083188;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.018025;0.088886;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;15.00;0.016873;0.113270;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;16.00;0.016899;0.108023;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;16.00;0.01676;0.103214;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;15.00;0.023743;0.095239;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;14.00;0.014674;0.076547;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;16.00;0.024115;0.099972;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;17.00;0.020194;0.105588;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;18.00;0.018683;0.116275;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;14.00;0.017336;0.070671;SAT
ENC3_NNGR_20x10_02;1;2;11;9066;4;14.00;0.014842;0.070917;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;15.00;0.014541;0.077325;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;17.00;0.032272;0.248130;SAT
ENC3_NNGR_21x14_01;1;1;2;12728;1;16.00;0.045343;0.276683;SAT
ENC3_NNGR_21x23_01;1;0;1;25456;0;20.00;0.036556;0.295292;SAT
ENC3_NNGR_21x33_01;1;0;1;46378;0;27.00;0.037143;0.459646;SAT
ENC3_NNGR_24x13_01;1;0;1;11221;0;16.00;0.037964;0.238948;SAT
ENC3_NNGR_24x18_01;1;11;22;32861;23;20.00;0.035476;0.316041;SAT
ENC3_NNGR_25x20_01;1;0;1;23631;0;20.00;0.034734;0.235076;SAT
ENC3_NNGR_25x24_01;1;0;1;24897;0;21.00;0.028192;0.255874;SAT
ENC3_NNGR_25x25_01;1;1;19;25513;1;22.00;0.047475;0.332161;SAT
ENC3_NNGR_29x25_01;1;0;1;35348;0;24.00;0.032552;0.327078;SAT
ENC3_NNGR_30x20_01;1;2;16;31965;3;24.00;0.034552;0.254971;SAT
ENC3_NNGR_30x20_02;1;0;1;28781;0;22.00;0.02741;0.221712;SAT
ENC3_NNGR_30x20_03;1;0;1;27801;0;21.00;0.027628;0.203047;SAT
ENC3_NNGR_30x20_04;1;0;1;28821;0;22.00;0.026031;0.265717;SAT
ENC3_NNGR_30x25_01;1;0;1;34601;0;25.00;0.045035;0.561113;SAT
