File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;11;24;764385;18;262.00;0.161077;1.569174;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.00512;0.019783;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;13.00;0.007251;0.021844;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.006872;0.022327;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;13.00;0.006225;0.021009;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;15.00;0.009904;0.028705;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;13.00;0.0069;0.021099;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;13.00;0.006639;0.024167;SAT
ENC3_NNGR_12x12_01;1;2;4;4578;6;13.00;0.006094;0.021018;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;15.00;0.008325;0.029048;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.006815;0.020388;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;13.00;0.006908;0.022533;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;15.00;0.007588;0.032297;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;13.00;0.00806;0.024024;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.006959;0.028743;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;13.00;0.00814;0.024538;SAT
ENC3_NNGR_14x44_01;1;1;6;34147;1;25.00;0.021108;0.089798;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.005353;0.020696;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;14.00;0.005718;0.025354;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.006922;0.022492;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.007297;0.023976;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.006894;0.018881;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.005729;0.021314;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.003987;0.020417;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;15.00;0.009881;0.034489;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;16.00;0.01111;0.035140;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;16.00;0.009151;0.037158;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;15.00;0.0094;0.033773;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;14.00;0.008309;0.028629;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;16.00;0.007934;0.040798;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;17.00;0.014765;0.075151;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;18.00;0.035189;0.257220;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;14.00;0.029221;0.127335;SAT
