File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;16;34;689066;43;262.00;0.160462;1.628830;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;12.00;0.005094;0.024940;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;13.00;0.005919;0.030987;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.006373;0.028008;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;13.00;0.006611;0.038945;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;15.00;0.009738;0.045843;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;13.00;0.007404;0.033851;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;13.00;0.007884;0.033543;SAT
ENC3_NNGR_12x12_01;1;1;3;4388;3;13.00;0.007187;0.030201;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;15.00;0.010084;0.044970;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.006315;0.031381;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;13.00;0.007246;0.033654;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;15.00;0.010241;0.068978;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;13.00;0.006049;0.032924;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.007812;0.037375;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;13.00;0.008205;0.041488;SAT
ENC3_NNGR_14x44_01;1;3;6;35937;4;25.00;0.018271;0.110195;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.006199;0.030633;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;14.00;0.008223;0.038802;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.008156;0.035808;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.007743;0.037365;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.006616;0.061331;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.006596;0.035100;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.008523;0.036570;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;15.00;0.010647;0.053299;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;16.00;0.011084;0.044975;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;16.00;0.012702;0.046206;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;15.00;0.01104;0.053362;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;14.00;0.006934;0.069220;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;16.00;0.012974;0.047669;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;17.00;0.014077;0.052775;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;18.00;0.015823;0.061292;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;14.00;0.038609;0.277129;SAT
ENC3_NNGR_20x10_02;1;2;11;9066;4;14.00;0.028874;0.220855;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;15.00;0.022906;0.172976;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;17.00;0.026113;0.200460;SAT
ENC3_NNGR_21x14_01;1;1;2;12728;1;16.00;0.026378;0.149120;SAT
ENC3_NNGR_21x23_01;1;0;1;25456;0;20.00;0.019683;0.217755;SAT
ENC3_NNGR_21x33_01;1;0;1;46378;0;27.00;0.055828;0.581031;SAT
ENC3_NNGR_24x13_01;1;0;1;11221;0;16.00;0.027866;0.235746;SAT
ENC3_NNGR_24x18_01;1;11;22;32861;23;20.00;0.0397;0.319620;SAT
ENC3_NNGR_25x20_01;1;0;1;23631;0;20.00;0.031435;0.270267;SAT
ENC3_NNGR_25x24_01;1;0;1;24897;0;21.00;0.028376;0.222144;SAT
ENC3_NNGR_25x25_01;1;1;19;25513;1;22.00;0.031258;0.214760;SAT
ENC3_NNGR_29x25_01;1;0;1;35348;0;24.00;0.03073;0.313146;SAT
ENC3_NNGR_30x20_01;1;2;16;31965;3;24.00;0.053797;0.530669;SAT
ENC3_NNGR_30x20_02;1;0;1;28781;0;22.00;0.053687;0.466510;SAT
ENC3_NNGR_30x20_03;1;0;1;27801;0;21.00;0.03623;0.386005;SAT
ENC3_NNGR_30x20_04;1;0;1;28821;0;22.00;0.042883;0.406603;SAT
ENC3_NNGR_30x25_01;1;0;1;34601;0;25.00;0.054299;0.505950;SAT
ENC3_NNGR_30x25_02;1;0;1;31721;0;23.00;0.047189;0.525719;SAT
ENC3_NNGR_30x30_01;1;0;1;36961;0;26.00;0.039632;0.516139;SAT
ENC3_NNGR_30x32_01;1;0;1;43561;0;28.00;0.039597;0.438192;SAT
ENC3_NNGR_30x45_01;1;79;217;174744;406;44.00;0.074036;0.644212;SAT
ENC3_NNGR_30x45_02;1;84;304;310118;1731;44.00;0.105903;1.252299;SAT
ENC3_NNGR_32x32_01;1;0;2;45707;0;30.00;0.060966;0.752347;SAT
ENC3_NNGR_34x30_01;1;12;48;67987;31;37.00;0.070257;0.752827;SAT
ENC3_NNGR_35x18_01;1;0;1;40367;0;24.00;0.056322;0.544724;SAT
ENC3_NNGR_35x25_01;1;0;1;52286;0;29.00;0.045759;0.651213;SAT
ENC3_NNGR_35x25_02;1;0;1;55166;0;31.00;0.063806;0.626257;SAT
ENC3_NNGR_35x25_03;1;32;107;75908;124;31.00;0.052;0.592095;SAT
ENC3_NNGR_35x25_04;1;0;1;52306;0;30.00;0.065299;0.747205;SAT
ENC3_NNGR_35x35_01;1;14;31;111819;52;47.00;0.102447;1.156002;SAT
ENC3_NNGR_35x35_02;1;7;26;110023;26;46.00;0.060155;0.826569;SAT
ENC3_NNGR_35x35_03;1;0;1;97896;0;45.00;0.081771;1.198177;SAT
ENC3_NNGR_35x45_01;1;5;12;121935;7;55.00;0.088748;1.551602;SAT
ENC3_NNGR_35x45_02;1;58;147;178165;308;58.00;0.110803;1.656442;SAT
ENC3_NNGR_35x45_03;2;195;536;518591;2806;54.00;0.114313;1.441509;SAT
ENC3_NNGR_35x45_04;1;37;132;142702;184;57.00;0.115849;1.536051;SAT
ENC3_NNGR_35x45_05;1;8;30;159450;23;57.00;0.109025;1.597316;SAT
ENC3_NNGR_35x45_06;1;76;356;299717;1188;61.00;0.104484;1.208827;SAT
ENC3_NNGR_39x39_01;1;0;1;110176;0;46.00;0.055275;1.014329;SAT
ENC3_NNGR_40x30_01;1;5;11;82081;5;41.00;0.066792;0.953192;SAT
ENC3_NNGR_40x35_01;1;0;1;98471;0;42.00;0.055804;1.089394;SAT
ENC3_NNGR_40x40_01;1;0;1;102459;0;50.00;0.066355;1.036752;SAT
ENC3_NNGR_40x40_02;1;0;1;132481;0;58.00;0.075507;0.990067;SAT
ENC3_NNGR_40x45_01;1;40;129;242999;269;60.00;0.088655;1.551233;SAT
ENC3_NNGR_40x45_02;2;172;395;498472;1956;66.00;0.159625;1.961477;SAT
ENC3_NNGR_40x45_03;1;11;47;135891;34;61.00;0.080045;1.147797;SAT
ENC3_NNGR_40x45_04;1;69;282;282167;556;65.00;0.101245;1.818947;SAT
ENC3_NNGR_40x45_05;2;168;388;435116;989;56.00;0.148985;1.845050;SAT
ENC3_NNGR_40x45_06;1;64;217;292985;461;62.00;0.121873;1.470545;SAT
ENC3_NNGR_40x45_07;3;380;1036;705030;4985;62.00;0.138528;1.727399;SAT
ENC3_NNGR_40x45_08;1;29;115;191277;161;63.00;0.124388;1.576920;SAT
ENC3_NNGR_41x45_01;1;4;13;137235;16;57.00;0.090432;1.141263;SAT
ENC3_NNGR_42x24_01;1;0;1;70237;0;36.00;0.068652;1.021680;SAT
ENC3_NNGR_43x39_01;1;28;94;216366;262;58.00;0.124829;1.647933;SAT
ENC3_NNGR_45x19_01;1;0;1;46077;0;27.00;0.045668;0.548251;SAT
ENC3_NNGR_45x25_01;1;0;1;69856;0;36.00;0.054292;0.607676;SAT
ENC3_NNGR_45x27_01;1;0;1;73684;0;37.00;0.047717;0.538145;SAT
ENC3_NNGR_45x28_01;1;0;1;72147;0;39.00;0.042507;0.465029;SAT
ENC3_NNGR_45x28_02;1;1;2;77560;1;39.00;0.076686;0.904070;SAT
ENC3_NNGR_45x28_03;1;12;59;89104;21;39.00;0.054247;0.765743;SAT
ENC3_NNGR_45x28_04;1;2;3;78915;2;40.00;0.070426;0.946822;SAT
ENC3_NNGR_45x29_01;1;10;44;90031;31;40.00;0.064146;0.831402;SAT
ENC3_NNGR_45x30_01;1;0;1;80011;0;40.00;0.06856;0.926515;SAT
ENC3_NNGR_45x30_02;1;10;32;100039;30;44.00;0.071863;0.932099;SAT
ENC3_NNGR_45x30_03;1;0;1;74251;0;40.00;0.065497;0.862469;SAT
ENC3_NNGR_45x30_04;1;0;1;70531;0;37.00;0.064185;0.831878;SAT
ENC3_NNGR_45x30_05;1;0;1;68711;0;37.00;0.048335;0.597577;SAT
ENC3_NNGR_45x30_06;1;36;70;132107;120;43.00;0.100859;1.082333;SAT
ENC3_NNGR_45x30_07;1;0;1;66211;0;36.00;0.061017;0.794177;SAT
ENC3_NNGR_45x30_08;1;35;87;107575;104;42.00;0.068436;0.955343;SAT
ENC3_NNGR_45x30_09;1;11;51;95658;31;42.00;0.084661;1.169917;SAT
ENC3_NNGR_45x32_01;1;0;1;74757;0;39.00;0.068122;1.075126;SAT
ENC3_NNGR_45x32_02;1;4;21;88347;4;45.00;0.076174;0.975139;SAT
ENC3_NNGR_45x33_01;1;0;1;112744;0;50.00;0.10874;1.529828;SAT
ENC3_NNGR_45x33_02;1;6;23;114723;10;53.00;0.094477;1.139535;SAT
ENC3_NNGR_45x33_03;1;0;1;104272;0;48.00;0.063846;0.707359;SAT
ENC3_NNGR_45x33_04;1;53;250;200448;418;57.00;0.082925;0.720490;SAT
