File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_NNGR_100x75_01;0.33266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;72.51711;72.51711;7004;0;0;0;0;SAT
ENC3_NNGR_10x10_01;0.03180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00104;0.00104;0;0;0;0;0;SAT
ENC3_NNGR_10x15_01;0.02575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00079;0.00079;0;0;0;0;0;SAT
ENC3_NNGR_10x15_02;0.02430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00056;0.00056;0;0;0;0;0;SAT
ENC3_NNGR_10x15_03;0.02643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00112;0.00112;0;0;0;0;0;SAT
ENC3_NNGR_10x20_01;0.03710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00093;0.00093;0;0;0;0;0;SAT
ENC3_NNGR_11x15_01;0.02765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00085;0.00085;0;0;0;0;0;SAT
ENC3_NNGR_11x15_02;0.02602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00068;0.00068;0;0;0;0;0;SAT
ENC3_NNGR_12x12_01;0.02344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.37587;0.37587;462;0;0;0;0;SAT
ENC3_NNGR_12x21_01;0.02647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00094;0.00094;0;0;0;0;0;SAT
ENC3_NNGR_13x10_01;0.01743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00056;0.00056;0;0;0;0;0;SAT
ENC3_NNGR_13x15_01;0.03739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00067;0.00067;0;0;0;0;0;SAT
ENC3_NNGR_13x18_01;0.03676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00098;0.00098;0;0;0;0;0;SAT
ENC3_NNGR_14x15_01;0.04093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00107;0.00107;0;0;0;0;0;SAT
ENC3_NNGR_14x15_02;0.04123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00099;0.00099;0;0;0;0;0;SAT
ENC3_NNGR_14x16_01;0.02719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00088;0.00088;0;0;0;0;0;SAT
ENC3_NNGR_14x44_01;0.05779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.43422;6.43422;3426;0;0;0;0;SAT
ENC3_NNGR_15x10_01;0.03596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00073;0.00073;0;0;0;0;0;SAT
ENC3_NNGR_15x15_01;0.02801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00096;0.00096;0;0;0;0;0;SAT
