File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_NNGR_100x75_01;0.20701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;39.33774;39.33774;7004;0;0;0;0;SAT
ENC3_NNGR_10x10_01;0.00630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00023;0.00023;0;0;0;0;0;SAT
ENC3_NNGR_10x15_01;0.00714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00039;0.00039;0;0;0;0;0;SAT
ENC3_NNGR_10x15_02;0.00735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00039;0.00039;0;0;0;0;0;SAT
ENC3_NNGR_10x15_03;0.00625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00030;0.00030;0;0;0;0;0;SAT
ENC3_NNGR_10x20_01;0.01002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00050;0.00050;0;0;0;0;0;SAT
ENC3_NNGR_11x15_01;0.00811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00035;0.00035;0;0;0;0;0;SAT
ENC3_NNGR_11x15_02;0.00767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00028;0.00028;0;0;0;0;0;SAT
ENC3_NNGR_12x12_01;0.00774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.13334;0.13334;462;0;0;0;0;SAT
ENC3_NNGR_12x21_01;0.01155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00079;0.00079;0;0;0;0;0;SAT
ENC3_NNGR_13x10_01;0.00800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00043;0.00043;0;0;0;0;0;SAT
ENC3_NNGR_13x15_01;0.00938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00059;0.00059;0;0;0;0;0;SAT
ENC3_NNGR_13x18_01;0.01268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_NNGR_14x15_01;0.00807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00039;0.00039;0;0;0;0;0;SAT
ENC3_NNGR_14x15_02;0.00658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00036;0.00036;0;0;0;0;0;SAT
ENC3_NNGR_14x16_01;0.00716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00039;0.00039;0;0;0;0;0;SAT
ENC3_NNGR_14x44_01;0.01900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.59005;3.59005;3426;0;0;0;0;SAT
ENC3_NNGR_15x10_01;0.00551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00027;0.00027;0;0;0;0;0;SAT
ENC3_NNGR_15x15_01;0.00902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00056;0.00056;0;0;0;0;0;SAT
ENC3_NNGR_15x15_02;0.00819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00043;0.00043;0;0;0;0;0;SAT
ENC3_NNGR_15x15_03;0.00761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00059;0.00059;0;0;0;0;0;SAT
ENC3_NNGR_15x15_04;0.00905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00000;0.00000;0;0;0;0;0;SAT
ENC3_NNGR_15x15_05;0.00915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00057;0.00057;0;0;0;0;0;SAT
ENC3_NNGR_15x15_06;0.01062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00068;0.00068;0;0;0;0;0;SAT
ENC3_NNGR_15x17_01;0.01129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00079;0.00079;0;0;0;0;0;SAT
ENC3_NNGR_15x18_01;0.01126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00073;0.00073;0;0;0;0;0;SAT
ENC3_NNGR_15x20_01;0.01661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00119;0.00119;0;0;0;0;0;SAT
ENC3_NNGR_16x19_01;0.01454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00109;0.00109;0;0;0;0;0;SAT
ENC3_NNGR_17x11_01;0.00893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00053;0.00053;0;0;0;0;0;SAT
ENC3_NNGR_17x18_01;0.01538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00121;0.00121;0;0;0;0;0;SAT
ENC3_NNGR_18x17_01;0.00585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00040;0.00040;0;0;0;0;0;SAT
ENC3_NNGR_18x25_01;0.01133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00080;0.00080;0;0;0;0;0;SAT
ENC3_NNGR_20x10_01;0.00975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00048;0.00048;0;0;0;0;0;SAT
ENC3_NNGR_20x10_02;0.00822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.26680;0.26680;885;0;0;0;0;SAT
ENC3_NNGR_20x15_01;0.03245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00121;0.00121;0;0;0;0;0;SAT
ENC3_NNGR_20x19_01;0.03022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00123;0.00123;0;0;0;0;0;SAT
ENC3_NNGR_21x14_01;0.02481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.27291;1.27291;1702;0;0;0;0;SAT
ENC3_NNGR_21x23_01;0.02079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00111;0.00111;0;0;0;0;0;SAT
ENC3_NNGR_21x33_01;0.03112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00205;0.00205;0;0;0;0;0;SAT
ENC3_NNGR_24x13_01;0.01656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00091;0.00091;0;0;0;0;0;SAT
ENC3_NNGR_24x18_01;0.01713;2;0;0;0;0;0;0;0;0;0;0;0;0;0;162;0;1;0.87791;0.87791;949;0;0;0;0;SAT
ENC3_NNGR_25x20_01;0.02467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00159;0.00159;0;0;0;0;0;SAT
ENC3_NNGR_25x24_01;0.02560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00163;0.00163;0;0;0;0;0;SAT
ENC3_NNGR_25x25_01;0.03103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11.46644;11.46644;2679;0;0;0;0;SAT
ENC3_NNGR_29x25_01;0.03806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00161;0.00161;0;0;0;0;0;SAT
ENC3_NNGR_30x20_01;0.03596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.85155;1.85155;2634;0;0;0;0;SAT
ENC3_NNGR_30x20_02;0.01950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00159;0.00159;0;0;0;0;0;SAT
ENC3_NNGR_30x20_03;0.01938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00233;0.00233;0;0;0;0;0;SAT
ENC3_NNGR_30x20_04;0.01251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00124;0.00124;0;0;0;0;0;SAT
ENC3_NNGR_30x25_01;0.02154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00187;0.00187;0;0;0;0;0;SAT
ENC3_NNGR_30x25_02;0.02155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00126;0.00126;0;0;0;0;0;SAT
ENC3_NNGR_30x30_01;0.01632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00136;0.00136;0;0;0;0;0;SAT
ENC3_NNGR_30x32_01;0.02214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00348;0.00348;0;0;0;0;0;SAT
ENC3_NNGR_30x45_01;0.03845;3;1;1;0;0;1;0;0;0;1;0;0;1;0;446;1;1;1.51791;1.51791;2855;0;0;0;0;SAT
ENC3_NNGR_30x45_02;0.05231;13;17;17;0;0;12;1;0;0;5;1;1;4;0;450;1;1;1.53379;1.53379;2745;0;0;0;0;SAT
ENC3_NNGR_32x32_01;0.02907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00293;0.00293;0;0;0;0;0;SAT
ENC3_NNGR_34x30_01;0.08271;2;9;9;0;0;4;0;0;0;0;0;0;0;0;380;0;1;8.94375;8.94375;2788;0;0;0;0;SAT
ENC3_NNGR_35x18_01;0.01547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00136;0.00136;0;0;0;0;0;SAT
ENC3_NNGR_35x25_01;0.01951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00154;0.00154;0;0;0;0;0;SAT
ENC3_NNGR_35x25_02;0.02601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00236;0.00236;0;0;0;0;0;SAT
ENC3_NNGR_35x25_03;0.02883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.52328;2.52328;3515;0;0;0;0;SAT
ENC3_NNGR_35x25_04;0.03239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00311;0.00311;0;0;0;0;0;SAT
ENC3_NNGR_35x35_01;0.06535;1;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;1;7.00788;7.00788;4342;0;0;0;0;SAT
ENC3_NNGR_35x35_02;0.05475;9;9;9;0;0;4;0;0;0;0;0;0;0;0;446;0;1;3.25110;3.25110;3306;0;0;0;0;SAT
ENC3_NNGR_35x35_03;0.03230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00328;0.00328;0;0;0;0;0;SAT
ENC3_NNGR_35x45_01;0.03591;1;1;1;0;0;0;0;0;0;0;0;0;0;0;34;0;1;3.20728;3.20728;4396;0;0;0;0;SAT
ENC3_NNGR_35x45_02;0.05650;3;1;0;0;1;0;0;0;0;0;0;0;0;0;494;0;1;6.21907;6.21907;3470;0;0;0;0;SAT
ENC3_NNGR_35x45_03;0.05717;5;4;4;0;0;3;0;0;0;1;0;0;1;0;614;1;1;3.50931;3.50931;2330;0;0;0;0;SAT
ENC3_NNGR_35x45_04;0.06313;2;0;0;0;0;0;0;0;0;0;0;0;0;0;686;0;1;4.32620;4.32620;3788;0;0;0;0;SAT
ENC3_NNGR_35x45_05;0.04845;5;2;2;0;0;1;0;0;0;0;0;0;0;0;656;3;1;2.70785;2.70785;3973;0;0;0;0;SAT
ENC3_NNGR_35x45_06;0.05344;10;12;12;0;0;7;1;1;0;1;0;0;2;0;334;0;1;1.72509;1.72509;3449;0;0;0;0;SAT
ENC3_NNGR_39x39_01;0.03061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00284;0.00284;0;0;0;0;0;SAT
ENC3_NNGR_40x30_01;0.02388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.49734;0.49734;2439;0;0;0;0;SAT
ENC3_NNGR_40x35_01;0.03587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00174;0.00174;0;0;0;0;0;SAT
ENC3_NNGR_40x40_01;0.04460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00328;0.00328;0;0;0;0;0;SAT
ENC3_NNGR_40x40_02;0.04436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00206;0.00206;0;0;0;0;0;SAT
ENC3_NNGR_40x45_01;0.06651;3;5;5;0;0;4;0;0;0;1;0;0;1;0;416;2;1;1.75976;1.75976;3681;0;0;0;0;SAT
ENC3_NNGR_40x45_02;0.07066;5;13;13;0;0;5;1;0;1;2;0;0;3;0;604;0;1;4.58141;4.58141;4001;0;0;1;0;SAT
ENC3_NNGR_40x45_03;0.06701;4;3;3;0;0;0;0;0;0;0;0;0;0;0;774;1;1;8.24206;8.24206;3516;0;0;0;0;SAT
ENC3_NNGR_40x45_04;0.08057;8;5;5;0;0;1;0;0;0;0;0;0;0;0;532;0;1;10.23269;10.23269;4119;0;0;0;0;SAT
ENC3_NNGR_40x45_05;0.07225;11;22;22;0;0;16;1;0;1;4;0;0;5;0;640;1;1;10.70462;10.70462;4182;0;0;0;0;SAT
ENC3_NNGR_40x45_06;0.07896;6;26;24;0;2;25;2;1;1;1;0;0;3;0;780;0;1;10.46291;10.46291;4820;0;0;0;1;SAT
ENC3_NNGR_40x45_07;0.11151;12;39;37;0;2;32;6;0;5;1;1;1;5;0;824;0;1;7.50576;7.50576;3043;0;0;5;0;SAT
ENC3_NNGR_40x45_08;0.06443;3;1;1;0;0;0;0;0;0;0;0;0;0;0;740;0;1;6.14175;6.14175;3843;0;0;0;0;SAT
ENC3_NNGR_41x45_01;0.03927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.67855;0.67855;1032;0;0;0;0;SAT
ENC3_NNGR_42x24_01;0.01671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00168;0.00168;0;0;0;0;0;SAT
ENC3_NNGR_43x39_01;0.05951;3;6;6;0;0;1;0;0;0;0;0;0;0;0;742;0;1;23.20513;23.20513;4750;0;0;0;0;SAT
ENC3_NNGR_45x19_01;0.03627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00211;0.00211;0;0;0;0;0;SAT
ENC3_NNGR_45x25_01;0.07323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00475;0.00475;0;0;0;0;0;SAT
ENC3_NNGR_45x27_01;0.06812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00391;0.00391;0;0;0;0;0;SAT
ENC3_NNGR_45x28_01;0.06459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00404;0.00404;0;0;0;0;0;SAT
ENC3_NNGR_45x28_02;0.05226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.28920;1.28920;1024;0;0;0;0;SAT
ENC3_NNGR_45x28_03;0.03663;3;2;2;0;0;0;0;0;0;0;0;0;0;0;220;2;1;0.99879;0.99879;2311;0;0;0;0;SAT
ENC3_NNGR_45x28_04;0.02861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.19039;1.19039;3839;0;0;0;0;SAT
ENC3_NNGR_45x29_01;0.04700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27.77828;27.77828;5058;0;0;0;0;SAT
ENC3_NNGR_45x30_01;0.04976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00366;0.00366;0;0;0;0;0;SAT
ENC3_NNGR_45x30_02;0.05303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.36741;5.36741;2768;0;0;0;0;SAT
ENC3_NNGR_45x30_03;0.02607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00394;0.00394;0;0;0;0;0;SAT
ENC3_NNGR_45x30_04;0.02544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00278;0.00278;0;0;0;0;0;SAT
ENC3_NNGR_45x30_05;0.05252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00891;0.00891;0;0;0;0;0;SAT
ENC3_NNGR_45x30_06;0.08373;3;1;1;0;0;0;0;0;0;0;0;0;0;0;186;0;1;6.47814;6.47814;3272;0;0;0;0;SAT
ENC3_NNGR_45x30_07;0.02605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00339;0.00339;0;0;0;0;0;SAT
ENC3_NNGR_45x30_08;0.08168;3;6;5;0;1;5;1;1;0;0;0;0;1;0;306;8;1;1.95496;1.95496;2794;0;0;0;0;SAT
ENC3_NNGR_45x30_09;0.04374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.00468;1.00468;2166;0;0;0;0;SAT
ENC3_NNGR_45x32_01;0.03360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00326;0.00326;0;0;0;0;0;SAT
ENC3_NNGR_45x32_02;0.03888;1;0;0;0;0;0;0;0;0;0;0;0;0;0;238;1;1;0.90820;0.90820;2611;0;0;0;0;SAT
