File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;0;1;672856;0;996.00;39.5448;179.985501;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;13.00;0.006534;0.022919;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;14.00;0.007533;0.023067;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.007744;0.024246;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;14.00;0.006546;0.027247;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;16.00;0.010523;0.034599;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;14.00;0.008458;0.024022;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;14.00;0.007946;0.024118;SAT
ENC3_NNGR_12x12_01;1;0;1;4321;0;25.00;0.141079;0.431589;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;16.00;0.012339;0.040870;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.00843;0.025645;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;14.00;0.009972;0.027979;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;16.00;0.012678;0.040143;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;14.00;0.008459;0.029017;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.006932;0.031302;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;14.00;0.00755;0.030359;SAT
ENC3_NNGR_14x44_01;1;0;1;31837;0;128.00;3.60905;13.601668;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.005779;0.024720;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;15.00;0.009572;0.034854;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.008613;0.030337;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.008199;0.032259;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.009052;0.030026;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.009718;0.028537;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.011307;0.030544;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;16.00;0.012082;0.041535;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;17.00;0.011988;0.045201;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;17.00;0.017803;0.048012;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;17.00;0.015632;0.041307;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;15.00;0.009466;0.034891;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;18.00;0.016596;0.048007;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;19.00;0.006249;0.043280;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;20.00;0.012132;0.054729;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;15.00;0.010235;0.028235;SAT
ENC3_NNGR_20x10_02;1;0;1;8661;0;37.00;0.275021;1.749910;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;16.00;0.033652;0.154819;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;19.00;0.031445;0.198240;SAT
