File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_NNGR_100x75_01;0.42162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61.16362;61.16362;7004;0;0;0;0;SAT
ENC3_NNGR_10x10_01;0.01904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00016;0.00016;0;0;0;0;0;SAT
ENC3_NNGR_10x15_01;0.02230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00062;0.00062;0;0;0;0;0;SAT
ENC3_NNGR_10x15_02;0.01766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00126;0.00126;0;0;0;0;0;SAT
ENC3_NNGR_10x15_03;0.01937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00070;0.00070;0;0;0;0;0;SAT
ENC3_NNGR_10x20_01;0.03862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00172;0.00172;0;0;0;0;0;SAT
ENC3_NNGR_11x15_01;0.03058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00059;0.00059;0;0;0;0;0;SAT
ENC3_NNGR_11x15_02;0.02964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00067;0.00067;0;0;0;0;0;SAT
ENC3_NNGR_12x12_01;0.03367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.33059;0.33059;462;0;0;0;0;SAT
ENC3_NNGR_12x21_01;0.01867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00067;0.00067;0;0;0;0;0;SAT
ENC3_NNGR_13x10_01;0.01817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00054;0.00054;0;0;0;0;0;SAT
ENC3_NNGR_13x15_01;0.03445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00091;0.00091;0;0;0;0;0;SAT
ENC3_NNGR_13x18_01;0.02331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00069;0.00069;0;0;0;0;0;SAT
ENC3_NNGR_14x15_01;0.02773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00074;0.00074;0;0;0;0;0;SAT
