File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;0;1;672856;0;996.00;61.5852;344.320112;SAT
ENC3_NNGR_10x10_01;1;0;1;3421;0;13.00;0.019208;0.092746;SAT
ENC3_NNGR_10x15_01;1;0;1;4831;0;14.00;0.022921;0.097578;SAT
ENC3_NNGR_10x15_02;1;0;1;4751;0;13.00;0.018926;0.080278;SAT
ENC3_NNGR_10x15_03;1;0;1;4921;0;14.00;0.020076;0.078891;SAT
ENC3_NNGR_10x20_01;1;0;1;8521;0;16.00;0.040344;0.223074;SAT
ENC3_NNGR_11x15_01;1;0;1;5210;0;14.00;0.031169;0.179309;SAT
ENC3_NNGR_11x15_02;1;0;1;5222;0;14.00;0.030315;0.161448;SAT
ENC3_NNGR_12x12_01;1;0;1;4321;0;25.00;0.364259;1.937989;SAT
ENC3_NNGR_12x21_01;1;0;1;9649;0;16.00;0.019342;0.096735;SAT
ENC3_NNGR_13x10_01;1;0;1;4181;0;13.00;0.018706;0.061559;SAT
ENC3_NNGR_13x15_01;1;0;1;5648;0;14.00;0.035358;0.179964;SAT
ENC3_NNGR_13x18_01;1;0;1;9393;0;16.00;0.023998;0.176833;SAT
ENC3_NNGR_14x15_01;1;0;1;5893;0;14.00;0.028465;0.142077;SAT
ENC3_NNGR_14x15_02;1;0;1;6223;0;14.00;0.026041;0.111202;SAT
ENC3_NNGR_14x16_01;1;0;1;6037;0;14.00;0.020755;0.109859;SAT
ENC3_NNGR_14x44_01;1;0;1;31837;0;128.00;3.21316;13.378918;SAT
ENC3_NNGR_15x10_01;1;0;1;4481;0;13.00;0.015825;0.059571;SAT
ENC3_NNGR_15x15_01;1;0;1;6826;0;15.00;0.020527;0.068893;SAT
ENC3_NNGR_15x15_02;1;0;1;6586;0;14.00;0.019201;0.065203;SAT
ENC3_NNGR_15x15_03;1;0;1;6856;0;14.00;0.014693;0.056277;SAT
ENC3_NNGR_15x15_04;1;0;1;6046;0;14.00;0.01891;0.055006;SAT
ENC3_NNGR_15x15_05;1;0;1;6106;0;14.00;0.013631;0.054802;SAT
ENC3_NNGR_15x15_06;1;0;1;6466;0;14.00;0.013322;0.057020;SAT
ENC3_NNGR_15x17_01;1;0;1;10948;0;16.00;0.020422;0.078321;SAT
ENC3_NNGR_15x18_01;1;0;1;12553;0;17.00;0.025943;0.076289;SAT
ENC3_NNGR_15x20_01;1;0;1;11981;0;17.00;0.018002;0.072160;SAT
ENC3_NNGR_16x19_01;1;0;1;10934;0;17.00;0.016584;0.071406;SAT
ENC3_NNGR_17x11_01;1;0;1;7901;0;15.00;0.013797;0.052249;SAT
ENC3_NNGR_17x18_01;1;0;1;15233;0;18.00;0.018042;0.084961;SAT
ENC3_NNGR_18x17_01;1;0;1;16961;0;19.00;0.014213;0.084967;SAT
ENC3_NNGR_18x25_01;1;0;1;19679;0;20.00;0.016874;0.092938;SAT
ENC3_NNGR_20x10_01;1;0;1;8141;0;15.00;0.010427;0.049578;SAT
ENC3_NNGR_20x10_02;1;0;1;8661;0;37.00;0.229456;0.908382;SAT
ENC3_NNGR_20x15_01;1;0;1;11466;0;16.00;0.01533;0.053724;SAT
ENC3_NNGR_20x19_01;1;0;1;17125;0;19.00;0.018818;0.067786;SAT
ENC3_NNGR_21x14_01;1;0;1;12419;0;75.00;0.587128;2.145206;SAT
ENC3_NNGR_21x23_01;1;0;1;25456;0;22.00;0.012804;0.084664;SAT
ENC3_NNGR_21x33_01;1;0;1;46378;0;30.00;0.025245;0.137710;SAT
ENC3_NNGR_24x13_01;1;0;1;11221;0;17.00;0.014448;0.039292;SAT
ENC3_NNGR_24x18_01;1;2;6;24350;2;67.00;0.273206;0.851961;SAT
ENC3_NNGR_25x20_01;1;0;1;23631;0;22.00;0.020583;0.065735;SAT
ENC3_NNGR_25x24_01;1;0;1;24897;0;23.00;0.008673;0.067252;SAT
ENC3_NNGR_25x25_01;1;0;1;24576;0;318.00;10.7785;50.842018;SAT
ENC3_NNGR_29x25_01;1;0;1;35348;0;27.00;0.029166;0.118787;SAT
ENC3_NNGR_30x20_01;1;0;1;30381;0;193.00;2.01827;9.318479;SAT
ENC3_NNGR_30x20_02;1;0;1;28781;0;25.00;0.020045;0.076610;SAT
ENC3_NNGR_30x20_03;1;0;1;27801;0;24.00;0.019325;0.069748;SAT
ENC3_NNGR_30x20_04;1;0;1;28821;0;24.00;0.01268;0.069122;SAT
ENC3_NNGR_30x25_01;1;0;1;34601;0;29.00;0.020848;0.093111;SAT
ENC3_NNGR_30x25_02;1;0;1;31721;0;26.00;0.009819;0.081584;SAT
ENC3_NNGR_30x30_01;1;0;1;36961;0;30.00;0.018952;0.105160;SAT
ENC3_NNGR_30x32_01;1;0;1;43561;0;32.00;0.022072;0.101373;SAT
ENC3_NNGR_30x45_01;1;8;22;91112;24;363.00;1.48792;4.880234;SAT
ENC3_NNGR_30x45_02;1;77;275;181950;708;281.00;0.95038;3.191357;SAT
ENC3_NNGR_32x32_01;1;0;2;45707;0;36.00;0.023881;0.129078;SAT
ENC3_NNGR_34x30_01;1;23;58;66207;79;530.00;8.18184;27.785758;SAT
ENC3_NNGR_35x18_01;1;0;1;40367;0;27.00;0.015331;0.091717;SAT
ENC3_NNGR_35x25_01;1;0;1;52286;0;33.00;0.023233;0.144684;SAT
ENC3_NNGR_35x25_02;1;0;1;55166;0;36.00;0.02865;0.158729;SAT
ENC3_NNGR_35x25_03;1;0;1;53786;0;256.00;3.04014;14.478333;SAT
ENC3_NNGR_35x25_04;1;0;1;52306;0;35.00;0.028087;0.141402;SAT
ENC3_NNGR_35x35_01;1;1;3;99533;1;459.00;5.35156;20.659817;SAT
ENC3_NNGR_35x35_02;1;36;165;189111;192;417.00;2.645;8.380452;SAT
ENC3_NNGR_35x35_03;1;0;1;97896;0;53.00;0.040744;0.250243;SAT
ENC3_NNGR_35x45_01;1;2;9;117718;3;408.00;3.24678;9.856574;SAT
ENC3_NNGR_35x45_02;1;4;25;130971;5;642.00;7.3169;30.638403;SAT
ENC3_NNGR_35x45_03;1;47;224;230270;488;503.00;2.99386;9.431417;SAT
ENC3_NNGR_35x45_04;1;3;17;125765;7;664.00;3.82328;11.971157;SAT
ENC3_NNGR_35x45_05;1;10;62;159196;22;508.00;3.67294;15.957753;SAT
ENC3_NNGR_35x45_06;1;56;259;271993;280;438.00;1.86612;6.650837;SAT
