File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;1;6;180140;7;35.00;0.096565;2.012562;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;11.00;0.019513;0.116568;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;11.00;0.032185;0.166647;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;11.00;0.029449;0.148991;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;11.00;0.023089;0.142862;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.019287;0.149032;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;11.00;0.021043;0.128824;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;11.00;0.015548;0.093883;SAT
ENC3_NNGR_12x12_01;1;0;5;1393;0;11.00;0.018557;0.120298;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.024194;0.123710;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;11.00;0.020267;0.121238;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;11.00;0.017074;0.106861;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;11.00;0.014585;0.104742;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;11.00;0.015937;0.107821;SAT
ENC3_NNGR_14x15_02;1;2;9;2973;2;12.00;0.015317;0.093900;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.014109;0.083707;SAT
ENC3_NNGR_14x44_01;1;0;4;11457;0;13.00;0.035157;0.270149;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;11.00;0.027875;0.152419;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.023485;0.142142;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.016413;0.111307;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.017806;0.107697;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;11.00;0.016206;0.102992;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;11.00;0.016404;0.104486;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.018167;0.104999;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.017473;0.108622;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;12.00;0.018657;0.113112;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;12.00;0.018191;0.120975;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.016392;0.113292;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;11.00;0.017521;0.103783;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.015851;0.111100;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;12.00;0.018169;0.119842;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;12.00;0.01885;0.110227;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;11.00;0.018096;0.110149;SAT
ENC3_NNGR_20x10_02;1;0;3;2561;0;12.00;0.014631;0.109304;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.021686;0.137681;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.015105;0.114833;SAT
ENC3_NNGR_21x14_01;1;2;5;4807;2;12.00;0.018216;0.128186;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;12.00;0.022819;0.163504;SAT
