File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;4;9;184609;7;35.00;0.069217;1.234437;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;11.00;0.018084;0.101027;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;11.00;0.020458;0.117553;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;11.00;0.015466;0.085974;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;11.00;0.014411;0.096024;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.014335;0.086421;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;11.00;0.012941;0.072946;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;11.00;0.012286;0.076520;SAT
ENC3_NNGR_12x12_01;1;2;6;1512;2;11.00;0.008575;0.059884;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.030207;0.138565;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;11.00;0.026589;0.149570;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;11.00;0.019481;0.117113;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;11.00;0.020593;0.116482;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;11.00;0.026174;0.161035;SAT
ENC3_NNGR_14x15_02;1;4;10;2984;8;12.00;0.019444;0.125860;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.018757;0.121966;SAT
ENC3_NNGR_14x44_01;1;1;5;11585;1;13.00;0.023425;0.146918;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;11.00;0.015288;0.090991;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.012449;0.081504;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.014734;0.084949;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.011887;0.082009;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;11.00;0.011877;0.066717;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;11.00;0.010963;0.075706;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.01455;0.076573;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.028565;0.171836;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;12.00;0.027085;0.141610;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;12.00;0.022315;0.150548;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.028467;0.165146;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;11.00;0.024284;0.130610;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.018878;0.136207;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;12.00;0.017341;0.124800;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;12.00;0.017164;0.109147;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;11.00;0.014637;0.086291;SAT
ENC3_NNGR_20x10_02;1;1;4;2612;1;12.00;0.021075;0.124739;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.021499;0.141429;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.019035;0.114193;SAT
ENC3_NNGR_21x14_01;1;0;3;4621;0;12.00;0.016908;0.134885;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;12.00;0.016139;0.131679;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;13.00;0.017393;0.161217;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;12.00;0.029538;0.269960;SAT
ENC3_NNGR_24x18_01;1;9;17;10234;15;12.00;0.023615;0.156018;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;12.00;0.023933;0.163281;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;12.00;0.028434;0.186069;SAT
ENC3_NNGR_25x25_01;1;2;5;6520;2;12.00;0.032241;0.303737;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;13.00;0.027621;0.200355;SAT
ENC3_NNGR_30x20_01;1;2;5;11945;2;13.00;0.021538;0.244185;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;13.00;0.038906;0.257361;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;12.00;0.027153;0.166272;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;12.00;0.026994;0.176929;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;13.00;0.024441;0.160005;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;13.00;0.020506;0.171076;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;13.00;0.03473;0.264047;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;14.00;0.037385;0.275882;SAT
ENC3_NNGR_30x45_01;1;16;81;49354;218;16.00;0.045528;0.337645;SAT
ENC3_NNGR_30x45_02;1;65;157;76341;507;16.00;0.028038;0.277888;SAT
ENC3_NNGR_32x32_01;1;1;8;23633;1;15.00;0.036123;0.293616;SAT
ENC3_NNGR_34x30_01;1;5;14;19714;13;14.00;0.030117;0.196263;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;12.00;0.019327;0.159009;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;13.00;0.03243;0.262915;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;13.00;0.026573;0.216220;SAT
ENC3_NNGR_35x25_03;1;2;6;14562;2;13.00;0.029864;0.202356;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;13.00;0.018051;0.158349;SAT
ENC3_NNGR_35x35_01;1;6;13;27608;30;15.00;0.028322;0.237810;SAT
ENC3_NNGR_35x35_02;1;35;66;47538;494;14.00;0.032286;0.361441;SAT
ENC3_NNGR_35x35_03;1;0;2;23906;0;14.00;0.040406;0.327663;SAT
ENC3_NNGR_35x45_01;1;8;18;36585;61;16.00;0.037927;0.434675;SAT
ENC3_NNGR_35x45_02;1;39;80;72841;316;17.00;0.039197;0.482509;SAT
ENC3_NNGR_35x45_03;3;281;608;257639;3972;16.00;0.050291;0.492910;SAT
ENC3_NNGR_35x45_04;1;6;18;40337;66;16.00;0.049025;0.431468;SAT
ENC3_NNGR_35x45_05;1;14;23;39223;225;17.00;0.034038;0.344643;SAT
ENC3_NNGR_35x45_06;1;40;90;60257;273;18.00;0.053109;0.563238;SAT
ENC3_NNGR_39x39_01;1;0;2;27418;0;15.00;0.036849;0.289095;SAT
ENC3_NNGR_40x30_01;1;0;5;32361;0;16.00;0.040585;0.469342;SAT
ENC3_NNGR_40x35_01;1;0;2;19021;0;14.00;0.028827;0.217712;SAT
ENC3_NNGR_40x40_01;1;0;2;18561;0;14.00;0.041717;0.318109;SAT
ENC3_NNGR_40x40_02;1;0;2;47521;0;18.00;0.045593;0.475508;SAT
ENC3_NNGR_40x45_01;1;16;56;48859;165;17.00;0.034952;0.299671;SAT
ENC3_NNGR_40x45_02;1;44;174;100076;399;19.00;0.036458;0.424673;SAT
ENC3_NNGR_40x45_03;1;9;28;47265;15;17.00;0.05085;0.495817;SAT
ENC3_NNGR_40x45_04;3;282;780;232241;6528;18.00;0.057303;0.637787;SAT
ENC3_NNGR_40x45_05;2;119;306;163477;3652;16.00;0.044046;0.416694;SAT
ENC3_NNGR_40x45_06;1;68;141;81725;469;18.00;0.03799;0.459366;SAT
ENC3_NNGR_40x45_07;2;172;607;222889;1628;18.00;0.064747;0.556538;SAT
ENC3_NNGR_40x45_08;1;30;62;55027;149;17.00;0.033188;0.344137;SAT
ENC3_NNGR_41x45_01;1;8;22;46065;14;17.00;0.030949;0.281700;SAT
ENC3_NNGR_42x24_01;1;0;2;28993;0;16.00;0.024628;0.193895;SAT
ENC3_NNGR_43x39_01;1;15;68;45498;27;16.00;0.027331;0.192036;SAT
ENC3_NNGR_45x19_01;1;0;2;9568;0;12.00;0.012925;0.112108;SAT
ENC3_NNGR_45x25_01;1;0;2;26306;0;15.00;0.020821;0.131362;SAT
ENC3_NNGR_45x27_01;1;0;2;27910;0;15.00;0.018578;0.137250;SAT
ENC3_NNGR_45x28_01;1;0;2;25261;0;15.00;0.020559;0.132253;SAT
ENC3_NNGR_45x28_02;1;0;3;30475;0;15.00;0.019043;0.146200;SAT
ENC3_NNGR_45x28_03;1;31;70;35185;295;14.00;0.016224;0.128034;SAT
ENC3_NNGR_45x28_04;1;11;16;32559;13;16.00;0.019235;0.130076;SAT
ENC3_NNGR_45x29_01;1;0;3;18668;0;15.00;0.012051;0.092493;SAT
ENC3_NNGR_45x30_01;1;0;2;30901;0;16.00;0.020356;0.121100;SAT
ENC3_NNGR_45x30_02;1;4;12;36827;5;16.00;0.050612;0.438684;SAT
ENC3_NNGR_45x30_03;1;0;2;25141;0;15.00;0.030567;0.284283;SAT
ENC3_NNGR_45x30_04;1;0;2;21421;0;14.00;0.026561;0.197048;SAT
ENC3_NNGR_45x30_05;1;0;2;19981;0;14.00;0.038316;0.321077;SAT
ENC3_NNGR_45x30_06;1;2;8;28531;18;16.00;0.04023;0.299833;SAT
ENC3_NNGR_45x30_07;1;0;2;17101;0;14.00;0.022398;0.184534;SAT
ENC3_NNGR_45x30_08;1;10;61;33119;23;15.00;0.026375;0.214130;SAT
ENC3_NNGR_45x30_09;1;8;19;33235;58;16.00;0.031314;0.318196;SAT
ENC3_NNGR_45x32_01;1;0;2;23423;0;14.00;0.025693;0.200622;SAT
ENC3_NNGR_45x32_02;1;1;6;35846;1;16.00;0.028902;0.284220;SAT
ENC3_NNGR_45x33_01;1;0;2;30058;0;16.00;0.031768;0.318127;SAT
ENC3_NNGR_45x33_02;1;4;18;37598;10;16.00;0.038129;0.285600;SAT
ENC3_NNGR_45x33_03;1;0;2;21586;0;14.00;0.038129;0.320689;SAT
ENC3_NNGR_45x33_04;1;23;59;55825;444;17.00;0.03807;0.402093;SAT
ENC3_NNGR_45x33_05;1;0;2;26296;0;15.00;0.02669;0.218826;SAT
ENC3_NNGR_45x35_01;1;1;7;37377;1;17.00;0.02954;0.309362;SAT
ENC3_NNGR_45x35_02;1;19;45;53226;389;17.00;0.03389;0.487758;SAT
ENC3_NNGR_45x35_03;1;0;2;37026;0;17.00;0.033227;0.398867;SAT
ENC3_NNGR_45x38_01;1;0;2;30257;0;16.00;0.038815;0.281585;SAT
ENC3_NNGR_45x39_01;1;5;12;46867;6;18.00;0.030385;0.518458;SAT
ENC3_NNGR_45x40_01;1;74;308;146357;1304;18.00;0.048088;0.456442;SAT
ENC3_NNGR_45x40_02;1;6;15;44137;17;17.00;0.04404;0.304779;SAT
ENC3_NNGR_45x40_03;1;39;165;78442;494;16.00;0.02662;0.313265;SAT
ENC3_NNGR_45x40_04;1;1;4;36788;1;17.00;0.033932;0.365877;SAT
ENC3_NNGR_45x40_05;1;51;111;77519;163;18.00;0.033838;0.330286;SAT
ENC3_NNGR_45x40_06;1;7;46;57134;54;19.00;0.055101;0.573603;SAT
ENC3_NNGR_45x40_07;1;19;36;57997;147;17.00;0.04286;0.430921;SAT
ENC3_NNGR_45x45_01;1;34;79;77573;260;20.00;0.045545;0.502249;SAT
ENC3_NNGR_45x45_02;1;68;183;96345;632;19.00;0.040258;0.425348;SAT
ENC3_NNGR_45x45_03;4;466;1469;406568;11778;19.00;0.082636;0.763766;SAT
ENC3_NNGR_45x45_04;1;8;34;62003;61;18.00;0.040202;0.415244;SAT
ENC3_NNGR_45x45_05;1;4;24;69672;90;21.00;0.036224;0.371126;SAT
ENC3_NNGR_45x45_06;2;129;338;178497;2360;21.00;0.036899;0.322511;SAT
ENC3_NNGR_45x45_07;1;65;114;137430;1283;19.00;0.039137;0.659065;SAT
ENC3_NNGR_45x45_08;2;148;302;140203;1356;19.00;0.051816;0.565337;SAT
ENC3_NNGR_45x45_09;1;61;106;92809;715;19.00;0.054774;0.571771;SAT
ENC3_NNGR_45x45_10;1;24;60;87893;203;21.00;0.055784;0.638349;SAT
ENC3_NNGR_45x45_11;1;69;155;114847;1434;20.00;0.041667;0.551954;SAT
ENC3_NNGR_45x45_12;1;25;87;92470;826;19.00;0.058591;0.676001;SAT
ENC3_NNGR_45x45_13;1;0;2;42436;0;18.00;0.043191;0.529512;SAT
ENC3_NNGR_45x45_14;1;18;75;72118;111;20.00;0.049545;0.537168;SAT
ENC3_NNGR_45x45_15;1;62;145;93693;1947;19.00;0.044423;0.407144;SAT
ENC3_NNGR_45x45_16;1;9;44;79344;77;19.00;0.028022;0.323374;SAT
ENC3_NNGR_45x45_17;1;5;14;63325;8;19.00;0.036864;0.408521;SAT
ENC3_NNGR_45x45_18;1;13;32;66963;64;20.00;0.043927;0.357716;SAT
ENC3_NNGR_45x45_19;2;135;436;193844;2382;20.00;0.060343;0.836655;SAT
ENC3_NNGR_45x45_20;1;7;23;57106;92;19.00;0.05148;0.469007;SAT
ENC3_NNGR_45x45_21;1;60;118;87460;334;19.00;0.04703;0.409954;SAT
ENC3_NNGR_45x45_22;2;122;533;151525;3526;19.00;0.053439;0.743834;SAT
ENC3_NNGR_45x45_23;1;7;26;53552;8;18.00;0.036605;0.430645;SAT
ENC3_NNGR_45x45_24;1;27;49;87173;508;18.00;0.037591;0.369237;SAT
ENC3_NNGR_45x45_25;1;2;10;57384;3;19.00;0.030858;0.314673;SAT
ENC3_NNGR_45x45_26;1;52;132;84979;624;17.00;0.035464;0.240882;SAT
ENC3_NNGR_45x45_27;1;54;201;99964;1046;19.00;0.032097;0.261260;SAT
ENC3_NNGR_45x45_28;2;106;359;172663;2618;20.00;0.029956;0.304524;SAT
ENC3_NNGR_45x45_29;1;99;224;140966;907;20.00;0.042406;0.566909;SAT
ENC3_NNGR_45x45_30;1;0;3;56746;0;19.00;0.049939;0.574080;SAT
ENC3_NNGR_45x45_31;1;6;21;49061;89;19.00;0.05612;0.502288;SAT
ENC3_NNGR_45x80_02;1;98;404;247603;2281;28.00;0.083412;1.144152;SAT
ENC3_NNGR_50x40_01;1;0;2;63421;0;20.00;0.051285;0.697537;SAT
ENC3_NNGR_50x40_02;1;70;187;115574;1039;18.00;0.047476;0.499486;SAT
ENC3_NNGR_50x50_01;1;1;6;53189;1;19.00;0.03957;0.435329;SAT
ENC3_NNGR_50x70_01;1;0;2;91441;0;23.00;0.043621;0.653939;SAT
ENC3_NNGR_50x75_01;1;0;2;29401;0;16.00;0.037383;0.325882;SAT
ENC3_NNGR_50x75_02;1;75;128;178546;3143;28.00;0.084972;1.014372;SAT
ENC3_NNGR_53x45_01;1;0;2;27702;0;16.00;0.02986;0.229604;SAT
ENC3_NNGR_55x65_01;10;1560;4609;1667924;47880;29.00;0.189605;1.863395;SAT
ENC3_NNGR_55x65_02;1;84;370;255770;3398;33.00;0.081164;1.209067;SAT
ENC3_NNGR_55x70_01;1;18;95;162890;181;31.00;0.064736;1.121476;SAT
ENC3_NNGR_55x75_01;5;516;2501;868360;27089;35.00;0.144339;1.964387;SAT
ENC3_NNGR_56x55_01;1;0;2;90395;0;23.00;0.050892;0.746075;SAT
ENC3_NNGR_57x57_01;1;2;18;147770;10;33.00;0.076505;1.578124;SAT
