File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;1;6;180148;7;76.00;0.067194;0.644422;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.008621;0.028017;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.007592;0.030843;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.007634;0.028917;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.005885;0.030002;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.008929;0.033267;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.006994;0.031711;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.007076;0.027803;SAT
ENC3_NNGR_12x12_01;1;0;5;1393;0;12.00;0.007092;0.025585;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.01013;0.039539;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.00857;0.031321;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.0105;0.036795;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.010902;0.035687;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.011171;0.039041;SAT
ENC3_NNGR_14x15_02;1;2;9;2973;2;12.00;0.00997;0.037123;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.008828;0.037806;SAT
ENC3_NNGR_14x44_01;1;0;4;11457;0;16.00;0.020941;0.083900;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.009678;0.032757;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.009239;0.035453;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.008333;0.033172;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.006839;0.034583;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.008754;0.030526;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.007153;0.032197;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.008557;0.032777;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.008833;0.035740;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.010109;0.038683;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.0112;0.038001;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.006521;0.036743;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.007936;0.033009;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.008396;0.031832;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.00842;0.039869;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.008081;0.040316;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.010165;0.031717;SAT
ENC3_NNGR_20x10_02;1;0;3;2561;0;12.00;0.009078;0.030747;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.007549;0.031824;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.007877;0.029821;SAT
ENC3_NNGR_21x14_01;1;2;5;4807;2;13.00;0.011006;0.035447;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.012124;0.049193;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.013935;0.054207;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.008235;0.033616;SAT
ENC3_NNGR_24x18_01;1;3;19;8453;6;14.00;0.009831;0.046615;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.01112;0.045159;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.010206;0.041980;SAT
ENC3_NNGR_25x25_01;1;2;9;6135;2;14.00;0.011912;0.039945;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.016418;0.060809;SAT
ENC3_NNGR_30x20_01;1;1;5;11824;1;16.00;0.012123;0.059133;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.014787;0.053134;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.012967;0.048890;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.012992;0.050892;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;16.00;0.019049;0.061811;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;15.00;0.015156;0.053811;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;17.00;0.014671;0.070497;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;18.00;0.014837;0.076309;SAT
ENC3_NNGR_30x45_01;1;80;228;82727;1118;23.00;0.022955;0.118472;SAT
ENC3_NNGR_30x45_02;1;28;95;53071;285;23.00;0.019497;0.121994;SAT
ENC3_NNGR_32x32_01;1;7;39;27012;8;20.00;0.015783;0.090909;SAT
ENC3_NNGR_34x30_01;1;1;7;19086;1;18.00;0.014126;0.072272;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;14.00;0.011469;0.046986;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;16.00;0.015223;0.059678;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;17.00;0.014727;0.065529;SAT
ENC3_NNGR_35x25_03;1;26;64;24093;100;17.00;0.016601;0.063976;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;16.00;0.012092;0.060238;SAT
ENC3_NNGR_35x35_01;1;1;9;26274;8;21.00;0.013943;0.095211;SAT
