File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;4;9;184611;7;76.00;0.032445;0.376758;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.00407;0.014081;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.004951;0.015848;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.003182;0.014784;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.030693;0.118177;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.022425;0.104045;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.019714;0.081806;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.022416;0.079870;SAT
ENC3_NNGR_12x12_01;1;2;6;1512;2;12.00;0.015475;0.059822;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.017463;0.070997;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.012254;0.049990;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.029352;0.122542;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.028951;0.116946;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.023483;0.095110;SAT
ENC3_NNGR_14x15_02;1;4;10;2984;8;12.00;0.021894;0.088863;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.021151;0.086483;SAT
ENC3_NNGR_14x44_01;1;1;5;11585;1;16.00;0.032022;0.145898;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.015095;0.064346;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.030361;0.133254;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.029963;0.110753;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.021928;0.093030;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.019425;0.075884;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.017776;0.070181;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.017216;0.073432;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.023165;0.101117;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.027154;0.110350;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.019769;0.087161;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.018498;0.073474;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.014841;0.064874;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.010887;0.056763;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.014549;0.065286;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.015295;0.054627;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.013633;0.046056;SAT
ENC3_NNGR_20x10_02;1;1;4;2612;1;12.00;0.014838;0.051738;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.014352;0.052781;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.013812;0.049409;SAT
ENC3_NNGR_21x14_01;1;0;3;4621;0;13.00;0.023364;0.105424;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.025857;0.142188;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.030618;0.141305;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.018994;0.081275;SAT
ENC3_NNGR_24x18_01;1;9;17;10234;15;14.00;0.02057;0.110050;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.027964;0.133645;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.023222;0.133787;SAT
ENC3_NNGR_25x25_01;1;2;5;6520;2;14.00;0.021536;0.092860;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.024424;0.149001;SAT
ENC3_NNGR_30x20_01;1;2;5;11945;2;16.00;0.022586;0.100581;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.015492;0.097746;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.032784;0.198142;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.035626;0.152356;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;16.00;0.029808;0.182309;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;15.00;0.020572;0.120252;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;17.00;0.024411;0.147958;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;18.00;0.020465;0.147187;SAT
ENC3_NNGR_30x45_01;1;16;81;49356;218;23.00;0.030145;0.223854;SAT
ENC3_NNGR_30x45_02;1;65;157;76340;507;23.00;0.049886;0.480493;SAT
ENC3_NNGR_32x32_01;1;1;8;23633;1;20.00;0.041305;0.291750;SAT
ENC3_NNGR_34x30_01;1;5;14;19713;13;18.00;0.026059;0.177122;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;14.00;0.021556;0.108236;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;16.00;0.018845;0.108304;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;17.00;0.021133;0.128038;SAT
ENC3_NNGR_35x25_03;1;2;6;14562;2;17.00;0.022505;0.121203;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;16.00;0.024157;0.112865;SAT
ENC3_NNGR_35x35_01;1;6;13;27610;30;21.00;0.032324;0.257974;SAT
ENC3_NNGR_35x35_02;1;35;66;47538;494;20.00;0.03557;0.261249;SAT
ENC3_NNGR_35x35_03;1;0;2;23906;0;20.00;0.025858;0.206767;SAT
ENC3_NNGR_35x45_01;1;8;18;36585;61;24.00;0.042538;0.366224;SAT
ENC3_NNGR_35x45_02;1;39;80;72841;316;25.00;0.056413;0.504346;SAT
ENC3_NNGR_35x45_03;3;281;608;257636;3972;23.00;0.071127;0.524632;SAT
ENC3_NNGR_35x45_04;1;6;18;40306;66;25.00;0.039609;0.351690;SAT
ENC3_NNGR_35x45_05;1;14;23;39223;225;25.00;0.040287;0.322846;SAT
ENC3_NNGR_35x45_06;1;40;90;60246;273;28.00;0.049528;0.440698;SAT
ENC3_NNGR_39x39_01;1;0;2;27418;0;21.00;0.030911;0.240791;SAT
ENC3_NNGR_40x30_01;1;0;5;32361;0;23.00;0.048413;0.444165;SAT
ENC3_NNGR_40x35_01;1;0;2;19021;0;18.00;0.034402;0.248532;SAT
ENC3_NNGR_40x40_01;1;0;2;18561;0;19.00;0.045272;0.271105;SAT
ENC3_NNGR_40x40_02;1;0;2;47521;0;28.00;0.047719;0.636569;SAT
ENC3_NNGR_40x45_01;1;16;56;48857;165;25.00;0.041217;0.415439;SAT
ENC3_NNGR_40x45_02;1;44;174;100076;399;30.00;0.050643;0.426900;SAT
ENC3_NNGR_40x45_03;1;9;28;47260;15;26.00;0.032125;0.267954;SAT
ENC3_NNGR_40x45_04;3;245;552;195335;5261;29.00;0.04467;0.344383;SAT
ENC3_NNGR_40x45_05;2;119;306;163475;3652;24.00;0.050561;0.411075;SAT
ENC3_NNGR_40x45_06;1;68;141;81725;469;29.00;0.05068;0.432106;SAT
ENC3_NNGR_40x45_07;2;172;607;222886;1628;29.00;0.048624;0.403971;SAT
ENC3_NNGR_40x45_08;1;30;62;55027;149;27.00;0.040705;0.276072;SAT
ENC3_NNGR_41x45_01;1;8;22;46066;14;27.00;0.057903;0.575999;SAT
ENC3_NNGR_42x24_01;1;0;2;28993;0;22.00;0.042078;0.309118;SAT
ENC3_NNGR_43x39_01;1;15;68;45500;27;25.00;0.036001;0.301553;SAT
ENC3_NNGR_45x19_01;1;0;2;9568;0;15.00;0.016857;0.099763;SAT
ENC3_NNGR_45x25_01;1;0;2;26306;0;20.00;0.026595;0.178355;SAT
ENC3_NNGR_45x27_01;1;0;2;27910;0;22.00;0.028524;0.178415;SAT
ENC3_NNGR_45x28_01;1;0;2;25261;0;21.00;0.022884;0.152430;SAT
ENC3_NNGR_45x28_02;1;0;3;30475;0;22.00;0.028257;0.169275;SAT
ENC3_NNGR_45x28_03;1;31;70;35161;295;20.00;0.02136;0.122111;SAT
ENC3_NNGR_45x28_04;1;11;16;32562;13;23.00;0.024823;0.153032;SAT
ENC3_NNGR_45x29_01;1;0;3;18668;0;19.00;0.020231;0.101253;SAT
ENC3_NNGR_45x30_01;1;0;2;30901;0;23.00;0.016852;0.133158;SAT
ENC3_NNGR_45x30_02;1;4;12;36827;5;24.00;0.024058;0.149485;SAT
ENC3_NNGR_45x30_03;1;0;2;25141;0;21.00;0.019609;0.117237;SAT
ENC3_NNGR_45x30_04;1;0;2;21421;0;19.00;0.015069;0.087413;SAT
ENC3_NNGR_45x30_05;1;0;2;19981;0;19.00;0.022508;0.080293;SAT
ENC3_NNGR_45x30_06;1;2;8;28531;18;22.00;0.024975;0.108065;SAT
ENC3_NNGR_45x30_07;1;0;2;17101;0;18.00;0.016097;0.074699;SAT
ENC3_NNGR_45x30_08;1;10;61;33119;23;21.00;0.017213;0.097906;SAT
ENC3_NNGR_45x30_09;1;8;19;33235;58;23.00;0.024331;0.103425;SAT
ENC3_NNGR_45x32_01;1;0;2;23423;0;20.00;0.018103;0.086167;SAT
ENC3_NNGR_45x32_02;1;1;6;35846;1;24.00;0.025233;0.120882;SAT
ENC3_NNGR_45x33_01;1;0;2;30058;0;23.00;0.018286;0.095576;SAT
ENC3_NNGR_45x33_02;1;4;18;37598;10;23.00;0.024103;0.104153;SAT
ENC3_NNGR_45x33_03;1;0;2;21586;0;19.00;0.01655;0.076841;SAT
ENC3_NNGR_45x33_04;1;23;59;55825;444;27.00;0.022487;0.123746;SAT
ENC3_NNGR_45x33_05;1;0;2;26296;0;21.00;0.015862;0.081337;SAT
ENC3_NNGR_45x35_01;1;1;7;37377;1;26.00;0.022623;0.110341;SAT
ENC3_NNGR_45x35_02;1;19;45;53226;389;26.00;0.015869;0.119482;SAT
ENC3_NNGR_45x35_03;1;0;2;37026;0;25.00;0.022676;0.107046;SAT
ENC3_NNGR_45x38_01;1;0;2;30257;0;23.00;0.019263;0.084491;SAT
ENC3_NNGR_45x39_01;1;5;12;46867;6;28.00;0.021012;0.120643;SAT
ENC3_NNGR_45x40_01;1;74;308;146354;1304;28.00;0.021722;0.124872;SAT
ENC3_NNGR_45x40_02;1;6;15;44137;17;26.00;0.02464;0.102853;SAT
ENC3_NNGR_45x40_03;1;39;165;78442;494;25.00;0.020286;0.100783;SAT
ENC3_NNGR_45x40_04;1;1;4;36788;1;26.00;0.018599;0.101434;SAT
ENC3_NNGR_45x40_05;1;51;111;77519;163;28.00;0.014512;0.104641;SAT
ENC3_NNGR_45x40_06;1;7;46;57134;54;31.00;0.020544;0.126401;SAT
ENC3_NNGR_45x40_07;1;19;36;57997;147;25.00;0.026665;0.090161;SAT
ENC3_NNGR_45x45_01;1;34;79;77573;260;33.00;0.030817;0.137837;SAT
ENC3_NNGR_45x45_02;1;68;183;96345;632;31.00;0.029527;0.134351;SAT
ENC3_NNGR_45x45_03;2;172;1377;285412;5538;32.00;0.035384;0.156836;SAT
ENC3_NNGR_45x45_04;1;8;34;62016;61;30.00;0.026356;0.129039;SAT
ENC3_NNGR_45x45_05;1;4;24;69672;90;36.00;0.027585;0.153304;SAT
ENC3_NNGR_45x45_06;2;129;338;178497;2360;35.00;0.020608;0.157817;SAT
ENC3_NNGR_45x45_07;1;65;114;137430;1283;31.00;0.025223;0.124373;SAT
ENC3_NNGR_45x45_08;2;148;302;140213;1356;30.00;0.019203;0.127402;SAT
ENC3_NNGR_45x45_09;1;61;106;92832;715;32.00;0.0314;0.129569;SAT
ENC3_NNGR_45x45_10;1;24;60;87893;203;36.00;0.019849;0.144776;SAT
ENC3_NNGR_45x45_11;1;69;155;114846;1434;33.00;0.023166;0.111748;SAT
ENC3_NNGR_45x45_12;1;25;87;92470;826;32.00;0.016865;0.112822;SAT
ENC3_NNGR_45x45_13;1;0;2;42436;0;28.00;0.013508;0.084425;SAT
ENC3_NNGR_45x45_14;1;18;75;72118;111;33.00;0.013982;0.114262;SAT
ENC3_NNGR_45x45_15;1;62;145;93693;1947;32.00;0.020773;0.104889;SAT
ENC3_NNGR_45x45_16;1;9;44;79344;77;31.00;0.015576;0.116904;SAT
ENC3_NNGR_45x45_17;1;5;14;63325;8;32.00;0.017857;0.110901;SAT
ENC3_NNGR_45x45_18;1;13;32;66963;64;33.00;0.016067;0.118101;SAT
ENC3_NNGR_45x45_19;2;148;466;207902;2559;34.00;0.02295;0.131200;SAT
ENC3_NNGR_45x45_20;1;7;23;57106;92;32.00;0.018994;0.115406;SAT
ENC3_NNGR_45x45_21;1;60;118;87460;334;32.00;0.019089;0.123950;SAT
ENC3_NNGR_45x45_22;1;97;319;128055;4084;31.00;0.023815;0.126160;SAT
ENC3_NNGR_45x45_23;1;7;26;53552;8;29.00;0.01939;0.104921;SAT
ENC3_NNGR_45x45_24;1;27;49;87173;508;29.00;0.020412;0.109840;SAT
ENC3_NNGR_45x45_25;1;2;10;57384;3;31.00;0.01979;0.110840;SAT
ENC3_NNGR_45x45_26;1;52;132;84979;624;27.00;0.014485;0.096615;SAT
ENC3_NNGR_45x45_27;1;54;201;99963;1047;31.00;0.018575;0.103212;SAT
ENC3_NNGR_45x45_28;2;106;359;172663;2618;33.00;0.018115;0.116993;SAT
ENC3_NNGR_45x45_29;1;99;224;140968;907;34.00;0.015624;0.122826;SAT
ENC3_NNGR_45x45_30;1;0;3;56746;0;32.00;0.022161;0.130557;SAT
ENC3_NNGR_45x45_31;1;6;21;49061;89;30.00;0.018031;0.108099;SAT
ENC3_NNGR_45x80_02;1;98;404;247603;2281;54.00;0.033484;0.265168;SAT
ENC3_NNGR_50x40_01;1;0;2;63421;0;34.00;0.01809;0.125557;SAT
ENC3_NNGR_50x40_02;1;70;187;115573;1039;30.00;0.015993;0.105295;SAT
ENC3_NNGR_50x50_01;1;1;6;53189;1;31.00;0.020907;0.104419;SAT
ENC3_NNGR_50x70_01;1;0;2;91441;0;43.00;0.033407;0.171931;SAT
ENC3_NNGR_50x75_01;1;0;2;29401;0;23.00;0.008572;0.057440;SAT
ENC3_NNGR_50x75_02;1;75;128;178542;3143;51.00;0.028766;0.190197;SAT
ENC3_NNGR_53x45_01;1;0;2;27702;0;22.00;0.008236;0.055971;SAT
ENC3_NNGR_55x65_01;10;1560;4609;1667896;47880;56.00;0.070392;0.374672;SAT
ENC3_NNGR_55x65_02;3;216;808;383668;6854;67.00;0.050465;0.318486;SAT
ENC3_NNGR_55x70_01;1;18;95;162889;181;62.00;0.030016;0.279800;SAT
ENC3_NNGR_55x75_01;4;463;2559;803970;23156;71.00;0.067444;0.369317;SAT
ENC3_NNGR_56x55_01;1;0;2;90395;0;43.00;0.015986;0.191043;SAT
ENC3_NNGR_57x57_01;1;2;18;147770;10;67.00;0.032291;0.301610;SAT
ENC3_NNGR_58x58_01;1;3;7;53936;5;31.00;0.020882;0.097494;SAT
ENC3_NNGR_58x68_01;1;68;241;318956;1150;74.00;0.040363;0.393106;SAT
ENC3_NNGR_60x60_01;1;5;25;109289;15;52.00;0.022447;0.216198;SAT
ENC3_NNGR_61x66_01;1;0;3;118617;0;52.00;0.023992;0.222121;SAT
ENC3_NNGR_65x45_01;1;0;2;36906;0;25.00;0.01471;0.070212;SAT
ENC3_NNGR_65x45_02;1;0;2;43446;0;28.00;0.019703;0.083109;SAT
ENC3_NNGR_65x45_03;1;0;2;38736;0;26.00;0.019025;0.089097;SAT
ENC3_NNGR_65x55_01;1;47;129;175819;1101;47.00;0.024494;0.201800;SAT
ENC3_NNGR_65x60_01;1;16;25;149784;59;62.00;0.03276;0.278966;SAT
ENC3_NNGR_65x65_01;1;36;93;129603;605;41.00;0.025563;0.175116;SAT
ENC3_NNGR_65x80_01;1;1;6;141732;1;66.00;0.031023;0.306184;SAT
ENC3_NNGR_66x50_01;1;0;2;35677;0;25.00;0.019782;0.080364;SAT
ENC3_NNGR_66x56_01;2;167;785;311726;2502;43.00;0.034613;0.171033;SAT
ENC3_NNGR_68x49_01;1;7;30;94832;93;43.00;0.017417;0.158941;SAT
ENC3_NNGR_68x68_01;1;1;5;141587;1;64.00;0.032921;0.289588;SAT
ENC3_NNGR_70x45_01;1;39;109;125663;343;39.00;0.020211;0.157490;SAT
ENC3_NNGR_70x60_01;3;309;2021;649548;27049;55.00;0.042608;0.270403;SAT
ENC3_NNGR_70x70_01;1;47;170;237972;2322;71.00;0.032836;0.327219;SAT
ENC3_NNGR_70x80_01;2;138;786;566411;4353;82.00;0.05453;0.401716;SAT
ENC3_NNGR_74x74_01;1;1;5;158295;2;70.00;0.045913;0.335510;SAT
ENC3_NNGR_75x50_01;3;362;2102;542386;7402;53.00;0.042103;0.264091;SAT
ENC3_NNGR_75x55_01;1;27;84;161655;88;54.00;0.023255;0.219890;SAT
ENC3_NNGR_75x55_02;1;37;136;182093;702;68.00;0.039056;0.294981;SAT
ENC3_NNGR_75x55_03;2;169;383;323520;2109;50.00;0.033509;0.206416;SAT
ENC3_NNGR_75x55_04;3;237;957;500387;3941;52.00;0.0389;0.251270;SAT
ENC3_NNGR_75x55_05;6;800;2922;902730;25828;63.00;0.057833;0.364770;SAT
ENC3_NNGR_75x55_06;1;3;6;97325;3;48.00;0.023886;0.192714;SAT
ENC3_NNGR_75x55_07;1;35;128;144070;1084;49.00;0.0287;0.198610;SAT
ENC3_NNGR_75x55_08;6;650;1912;1046047;17046;73.00;0.067686;0.403780;SAT
ENC3_NNGR_75x56_01;1;2;6;98281;21;51.00;0.029356;0.197196;SAT
ENC3_NNGR_75x75_01;3;344;1359;921781;5643;84.00;0.067416;0.439270;SAT
ENC3_NNGR_77x58_01;1;14;28;108821;135;46.00;0.03139;0.165649;SAT
ENC3_NNGR_78x49_01;1;28;111;154361;241;50.00;0.024227;0.190539;SAT
ENC3_NNGR_79x51_01;1;0;2;58056;0;34.00;0.010071;0.115681;SAT
ENC3_NNGR_80x48_01;1;4;11;52335;4;31.00;0.015032;0.098548;SAT
ENC3_NNGR_80x50_01;1;86;181;256805;2886;71.00;0.046508;0.349606;SAT
ENC3_NNGR_80x55_01;253;82464;120497;80776921;3193614;96.00;7.82807;34.818348;SAT
ENC3_NNGR_80x55_05;1;92;252;324948;1451;82.00;0.120815;1.912039;SAT
ENC3_NNGR_80x60_01;1;5;37;205443;12;78.00;0.099855;1.235119;SAT
ENC3_NNGR_80x60_02;1;0;3;124801;0;61.00;0.059303;0.634212;SAT
ENC3_NNGR_80x60_03;4;475;1833;1027168;35782;72.00;0.107935;1.146536;SAT
ENC3_NNGR_80x65_01;14;2386;8084;3567428;95614;84.00;0.339405;2.943370;SAT
ENC3_NNGR_80x68_01;3;296;616;461556;5571;88.00;0.100523;0.939272;SAT
ENC3_NNGR_80x70_01;5;552;1317;879447;7191;64.00;0.089421;0.628641;SAT
ENC3_NNGR_89x71_01;1;12;40;247050;61;85.00;0.058228;0.645647;SAT
ENC3_NNGR_8x38_01;1;0;2;2673;0;12.00;0.008556;0.029177;SAT
ENC3_NNGR_90x90_01;1;0;2;297181;0;121.00;0.079684;0.847446;SAT
ENC3_NNGR_95x70_01;1;7;16;285694;17;118.00;0.082506;0.724278;SAT
ENC3_NNGR_9x33_01;1;0;2;3184;0;12.00;0.007766;0.027588;SAT
