File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;4;9;184611;7;76.00;0.050269;0.528141;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.006963;0.020915;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.020883;0.082253;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.029537;0.117985;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.030028;0.125313;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.032997;0.125940;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.021458;0.087238;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.020046;0.085080;SAT
ENC3_NNGR_12x12_01;1;2;6;1512;2;12.00;0.025312;0.103576;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.019818;0.071832;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.027096;0.129066;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.029486;0.107567;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.022311;0.090554;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.023135;0.111488;SAT
ENC3_NNGR_14x15_02;1;4;10;2984;8;12.00;0.029357;0.129814;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.019943;0.092126;SAT
ENC3_NNGR_14x44_01;1;1;5;11585;1;16.00;0.030761;0.170474;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.020401;0.080643;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.017698;0.076195;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.017476;0.087724;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.03438;0.128049;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.023252;0.089916;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.021538;0.087288;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.015816;0.075364;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.03361;0.140997;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.028468;0.102113;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.025711;0.111158;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.022484;0.097075;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.016293;0.069859;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.017851;0.081127;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.036826;0.142934;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.026184;0.101122;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.022501;0.090131;SAT
ENC3_NNGR_20x10_02;1;1;4;2612;1;12.00;0.017625;0.071973;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.018257;0.080790;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.020738;0.092382;SAT
ENC3_NNGR_21x14_01;1;0;3;4621;0;13.00;0.025946;0.114074;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.021312;0.141849;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.021538;0.134460;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.020215;0.081238;SAT
ENC3_NNGR_24x18_01;1;9;17;10234;15;14.00;0.020685;0.111775;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.024482;0.101034;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.014732;0.079122;SAT
ENC3_NNGR_25x25_01;1;2;5;6520;2;14.00;0.021305;0.077933;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.022671;0.116141;SAT
ENC3_NNGR_30x20_01;1;2;5;11945;2;16.00;0.021053;0.087062;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.013247;0.081532;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.036315;0.203081;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.029716;0.157121;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;16.00;0.030391;0.180378;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;15.00;0.02518;0.125165;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;17.00;0.021259;0.140989;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;18.00;0.026045;0.146407;SAT
ENC3_NNGR_30x45_01;1;16;81;49356;218;23.00;0.032136;0.209341;SAT
ENC3_NNGR_30x45_02;1;65;157;76340;507;23.00;0.030147;0.196574;SAT
ENC3_NNGR_32x32_01;1;1;8;23633;1;20.00;0.023592;0.148474;SAT
ENC3_NNGR_34x30_01;1;5;14;19713;13;18.00;0.022364;0.118802;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;14.00;0.016621;0.065316;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;16.00;0.015681;0.084508;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;17.00;0.02026;0.095176;SAT
ENC3_NNGR_35x25_03;1;2;6;14562;2;17.00;0.018777;0.089398;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;16.00;0.014494;0.082166;SAT
ENC3_NNGR_35x35_01;1;6;13;27610;30;21.00;0.022612;0.171494;SAT
ENC3_NNGR_35x35_02;1;35;66;47538;494;20.00;0.036244;0.280434;SAT
ENC3_NNGR_35x35_03;1;0;2;23906;0;20.00;0.032011;0.224740;SAT
ENC3_NNGR_35x45_01;1;8;18;36585;61;24.00;0.039132;0.277799;SAT
ENC3_NNGR_35x45_02;1;39;80;72841;316;25.00;0.051081;0.423023;SAT
ENC3_NNGR_35x45_03;3;281;608;257636;3972;23.00;0.056582;0.355987;SAT
ENC3_NNGR_35x45_04;1;6;18;40306;66;25.00;0.040733;0.299948;SAT
ENC3_NNGR_35x45_05;1;14;23;39223;225;25.00;0.045652;0.410294;SAT
ENC3_NNGR_35x45_06;1;40;90;60246;273;28.00;0.041825;0.383902;SAT
ENC3_NNGR_39x39_01;1;0;2;27418;0;21.00;0.030849;0.214832;SAT
ENC3_NNGR_40x30_01;1;0;5;32361;0;23.00;0.027802;0.220131;SAT
ENC3_NNGR_40x35_01;1;0;2;19021;0;18.00;0.023056;0.119820;SAT
ENC3_NNGR_40x40_01;1;0;2;18561;0;19.00;0.026924;0.173633;SAT
ENC3_NNGR_40x40_02;1;0;2;47521;0;28.00;0.039167;0.391881;SAT
ENC3_NNGR_40x45_01;1;16;56;48857;165;25.00;0.046879;0.392398;SAT
ENC3_NNGR_40x45_02;1;44;174;100076;399;30.00;0.047134;0.458138;SAT
ENC3_NNGR_40x45_03;1;9;28;47260;15;26.00;0.052997;0.552649;SAT
ENC3_NNGR_40x45_04;3;245;552;195335;5261;29.00;0.058643;0.642169;SAT
ENC3_NNGR_40x45_05;2;119;306;163475;3652;24.00;0.049276;0.426821;SAT
ENC3_NNGR_40x45_06;1;68;141;81725;469;29.00;0.034948;0.378766;SAT
ENC3_NNGR_40x45_07;2;172;607;222886;1628;29.00;0.056169;0.355860;SAT
ENC3_NNGR_40x45_08;1;30;62;55027;149;27.00;0.039744;0.252238;SAT
ENC3_NNGR_41x45_01;1;8;22;46066;14;27.00;0.033289;0.231644;SAT
ENC3_NNGR_42x24_01;1;0;2;28993;0;22.00;0.024139;0.142281;SAT
ENC3_NNGR_43x39_01;1;15;68;45500;27;25.00;0.025265;0.176140;SAT
ENC3_NNGR_45x19_01;1;0;2;9568;0;15.00;0.017334;0.071142;SAT
ENC3_NNGR_45x25_01;1;0;2;26306;0;20.00;0.019129;0.110020;SAT
ENC3_NNGR_45x27_01;1;0;2;27910;0;22.00;0.016063;0.122730;SAT
ENC3_NNGR_45x28_01;1;0;2;25261;0;21.00;0.018466;0.115198;SAT
ENC3_NNGR_45x28_02;1;0;3;30475;0;22.00;0.01856;0.132640;SAT
ENC3_NNGR_45x28_03;1;31;70;35161;295;20.00;0.018551;0.106233;SAT
ENC3_NNGR_45x28_04;1;11;16;32562;13;23.00;0.041305;0.382513;SAT
ENC3_NNGR_45x29_01;1;0;3;18668;0;19.00;0.045134;0.289233;SAT
ENC3_NNGR_45x30_01;1;0;2;30901;0;23.00;0.040254;0.334374;SAT
ENC3_NNGR_45x30_02;1;4;12;36827;5;24.00;0.04527;0.368593;SAT
ENC3_NNGR_45x30_03;1;0;2;25141;0;21.00;0.031201;0.220511;SAT
ENC3_NNGR_45x30_04;1;0;2;21421;0;19.00;0.031687;0.197014;SAT
ENC3_NNGR_45x30_05;1;0;2;19981;0;19.00;0.02348;0.150010;SAT
ENC3_NNGR_45x30_06;1;2;8;28531;18;22.00;0.028838;0.196275;SAT
ENC3_NNGR_45x30_07;1;0;2;17101;0;18.00;0.017582;0.111404;SAT
ENC3_NNGR_45x30_08;1;10;61;33119;23;21.00;0.026708;0.162459;SAT
ENC3_NNGR_45x30_09;1;8;19;33235;58;23.00;0.048264;0.417475;SAT
ENC3_NNGR_45x32_01;1;0;2;23423;0;20.00;0.032092;0.269266;SAT
ENC3_NNGR_45x32_02;1;1;6;35846;1;24.00;0.042495;0.492282;SAT
ENC3_NNGR_45x33_01;1;0;2;30058;0;23.00;0.044717;0.350303;SAT
ENC3_NNGR_45x33_02;1;4;18;37598;10;23.00;0.03948;0.318537;SAT
ENC3_NNGR_45x33_03;1;0;2;21586;0;19.00;0.032826;0.196371;SAT
ENC3_NNGR_45x33_04;1;23;59;55825;444;27.00;0.044349;0.490176;SAT
ENC3_NNGR_45x33_05;1;0;2;26296;0;21.00;0.03987;0.295194;SAT
ENC3_NNGR_45x35_01;1;1;7;37377;1;26.00;0.046054;0.358359;SAT
ENC3_NNGR_45x35_02;1;19;45;53226;389;26.00;0.03699;0.350731;SAT
ENC3_NNGR_45x35_03;1;0;2;37026;0;25.00;0.03388;0.272761;SAT
ENC3_NNGR_45x38_01;1;0;2;30257;0;23.00;0.028456;0.218516;SAT
ENC3_NNGR_45x39_01;1;5;12;46867;6;28.00;0.035423;0.270390;SAT
ENC3_NNGR_45x40_01;1;74;308;146354;1304;28.00;0.048505;0.270963;SAT
ENC3_NNGR_45x40_02;1;6;15;44137;17;26.00;0.027726;0.222055;SAT
ENC3_NNGR_45x40_03;1;50;123;84053;1127;25.00;0.034438;0.193641;SAT
ENC3_NNGR_45x40_04;1;1;4;36788;1;26.00;0.029179;0.196440;SAT
ENC3_NNGR_45x40_05;1;51;111;77519;163;28.00;0.025403;0.189242;SAT
ENC3_NNGR_45x40_06;1;7;46;57134;54;31.00;0.034964;0.223134;SAT
ENC3_NNGR_45x40_07;1;19;36;57997;147;25.00;0.028797;0.146378;SAT
ENC3_NNGR_45x45_01;1;34;79;77573;260;33.00;0.032894;0.206526;SAT
ENC3_NNGR_45x45_02;1;68;183;96345;632;31.00;0.034866;0.204919;SAT
ENC3_NNGR_45x45_03;2;172;1377;285412;5538;32.00;0.040434;0.264167;SAT
ENC3_NNGR_45x45_04;1;8;34;62016;61;30.00;0.031251;0.195163;SAT
ENC3_NNGR_45x45_05;1;4;24;69672;90;36.00;0.03181;0.223342;SAT
ENC3_NNGR_45x45_06;2;129;338;178497;2360;35.00;0.027524;0.224261;SAT
ENC3_NNGR_45x45_07;1;65;114;137430;1283;31.00;0.030337;0.190420;SAT
ENC3_NNGR_45x45_08;2;148;302;140213;1356;30.00;0.03142;0.192612;SAT
ENC3_NNGR_45x45_09;1;61;106;92832;715;32.00;0.022195;0.182703;SAT
ENC3_NNGR_45x45_10;1;24;60;87893;203;36.00;0.02754;0.198445;SAT
ENC3_NNGR_45x45_11;1;69;155;114846;1434;33.00;0.029632;0.178160;SAT
ENC3_NNGR_45x45_12;1;25;87;92470;826;32.00;0.028228;0.176551;SAT
ENC3_NNGR_45x45_13;1;0;2;42436;0;28.00;0.025037;0.128796;SAT
ENC3_NNGR_45x45_14;1;18;75;72118;111;33.00;0.024675;0.160463;SAT
ENC3_NNGR_45x45_15;1;62;145;93693;1947;32.00;0.030418;0.157697;SAT
ENC3_NNGR_45x45_16;1;9;44;79344;77;31.00;0.027394;0.152206;SAT
ENC3_NNGR_45x45_17;1;5;14;63325;8;32.00;0.029264;0.155565;SAT
ENC3_NNGR_45x45_18;1;13;32;66963;64;33.00;0.017077;0.157492;SAT
ENC3_NNGR_45x45_19;2;148;466;207902;2559;34.00;0.036089;0.178045;SAT
ENC3_NNGR_45x45_20;1;7;23;57106;92;32.00;0.026528;0.129107;SAT
ENC3_NNGR_45x45_21;1;60;118;87460;334;32.00;0.033349;0.140914;SAT
ENC3_NNGR_45x45_22;1;97;319;128055;4084;31.00;0.033702;0.146189;SAT
ENC3_NNGR_45x45_23;1;7;26;53552;8;29.00;0.025523;0.113193;SAT
ENC3_NNGR_45x45_24;1;27;49;87173;508;29.00;0.034338;0.129665;SAT
ENC3_NNGR_45x45_25;1;2;10;57384;3;31.00;0.019963;0.131246;SAT
ENC3_NNGR_45x45_26;1;52;132;84979;624;27.00;0.017747;0.106167;SAT
