File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;1;6;180148;7;76.00;0.072258;0.885018;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.017104;0.065217;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.021035;0.084309;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.023008;0.089308;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.018238;0.072586;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.018871;0.074965;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.015596;0.056987;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.015148;0.052025;SAT
ENC3_NNGR_12x12_01;1;0;5;1393;0;12.00;0.01276;0.053404;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.022053;0.090162;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.01872;0.092157;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.033755;0.136176;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.023894;0.091836;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.023105;0.092435;SAT
ENC3_NNGR_14x15_02;1;2;9;2973;2;12.00;0.019134;0.083774;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.022222;0.092195;SAT
ENC3_NNGR_14x44_01;1;0;4;11457;0;16.00;0.032181;0.181153;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.024245;0.100810;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.017982;0.086882;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.020491;0.081900;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.017899;0.066837;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.014445;0.060571;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.030379;0.132923;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.034882;0.127159;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.025081;0.123178;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.034535;0.150049;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.032935;0.138741;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.032245;0.132938;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.030188;0.118164;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.025073;0.086975;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.022544;0.110526;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.019383;0.075869;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.016718;0.070324;SAT
ENC3_NNGR_20x10_02;1;0;3;2561;0;12.00;0.01473;0.059417;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.016302;0.064102;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.014431;0.065225;SAT
ENC3_NNGR_21x14_01;1;2;5;4807;2;13.00;0.01985;0.071721;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.027723;0.119170;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.022515;0.126240;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.019376;0.091022;SAT
ENC3_NNGR_24x18_01;1;3;19;8453;6;14.00;0.025194;0.115979;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.018761;0.091130;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.022181;0.082764;SAT
ENC3_NNGR_25x25_01;1;2;9;6135;2;14.00;0.025115;0.124212;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.032466;0.245555;SAT
ENC3_NNGR_30x20_01;1;1;5;11824;1;16.00;0.040079;0.230066;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.030149;0.165076;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.024552;0.120886;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.024047;0.121372;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;16.00;0.041878;0.277957;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;15.00;0.02834;0.162428;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;17.00;0.02985;0.152261;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;18.00;0.047834;0.326792;SAT
ENC3_NNGR_30x45_01;1;80;228;82727;1118;23.00;0.047026;0.394365;SAT
ENC3_NNGR_30x45_02;1;28;95;53071;285;23.00;0.038873;0.305488;SAT
ENC3_NNGR_32x32_01;1;7;39;27012;8;20.00;0.041414;0.303095;SAT
ENC3_NNGR_34x30_01;1;1;7;19086;1;18.00;0.02735;0.206828;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;14.00;0.02234;0.115251;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;16.00;0.021826;0.126288;SAT
