File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;1;6;180148;7;76.00;0.111514;2.110117;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.020396;0.077225;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.023093;0.089612;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.015653;0.069096;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.016561;0.070767;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.015857;0.084261;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.023389;0.095628;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.021951;0.092069;SAT
ENC3_NNGR_12x12_01;1;0;5;1393;0;12.00;0.020949;0.083620;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.020899;0.077262;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.021127;0.088572;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.022278;0.092292;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.019568;0.075187;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.015362;0.074104;SAT
ENC3_NNGR_14x15_02;1;2;9;2973;2;12.00;0.014106;0.064137;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.032381;0.119307;SAT
ENC3_NNGR_14x44_01;1;0;4;11457;0;16.00;0.040553;0.229886;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.021609;0.091153;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.021367;0.075261;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.019022;0.074314;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.016819;0.082459;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.014828;0.060666;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.014142;0.061329;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.015086;0.063010;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.013486;0.070451;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.019681;0.083735;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.023;0.082992;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.016022;0.075902;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.013985;0.070265;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.016318;0.072040;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.014997;0.068368;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.013392;0.068385;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.031954;0.134662;SAT
ENC3_NNGR_20x10_02;1;0;3;2561;0;12.00;0.021724;0.114481;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.025328;0.120821;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.020399;0.081812;SAT
ENC3_NNGR_21x14_01;1;2;5;4807;2;13.00;0.021032;0.089868;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.022571;0.118828;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.024864;0.137694;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.019668;0.081895;SAT
ENC3_NNGR_24x18_01;1;3;19;8453;6;14.00;0.025115;0.105215;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.023488;0.109143;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.020432;0.101431;SAT
ENC3_NNGR_25x25_01;1;2;9;6135;2;14.00;0.022637;0.098384;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.022498;0.132853;SAT
ENC3_NNGR_30x20_01;1;1;5;11824;1;16.00;0.037105;0.249873;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.031015;0.167240;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.028335;0.154927;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.022826;0.118294;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;16.00;0.024389;0.152658;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;15.00;0.025929;0.133598;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;17.00;0.029138;0.148948;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;18.00;0.024365;0.146222;SAT
ENC3_NNGR_30x45_01;1;80;228;82727;1118;23.00;0.036861;0.249411;SAT
ENC3_NNGR_30x45_02;1;28;95;53071;285;23.00;0.035131;0.230238;SAT
ENC3_NNGR_32x32_01;1;7;39;27012;8;20.00;0.025302;0.176743;SAT
ENC3_NNGR_34x30_01;1;1;7;19086;1;18.00;0.024734;0.155271;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;14.00;0.017734;0.087985;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;16.00;0.026833;0.182179;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;17.00;0.034831;0.191468;SAT
ENC3_NNGR_35x25_03;1;26;64;24093;100;17.00;0.026153;0.156617;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;16.00;0.026328;0.146014;SAT
ENC3_NNGR_35x35_01;1;1;9;26274;8;21.00;0.026248;0.210097;SAT
