File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;1;6;180148;7;76.00;0.114422;2.195215;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.018887;0.079123;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.016588;0.067955;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.016743;0.068867;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.017192;0.076492;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.024061;0.106232;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.01736;0.070551;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.016535;0.071918;SAT
ENC3_NNGR_12x12_01;1;0;5;1393;0;12.00;0.019587;0.070984;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.013392;0.062446;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.013136;0.053175;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.013129;0.058919;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.015401;0.061836;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.011459;0.051400;SAT
ENC3_NNGR_14x15_02;1;2;9;2973;2;12.00;0.014456;0.053925;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.01471;0.049603;SAT
ENC3_NNGR_14x44_01;1;0;4;11457;0;16.00;0.028739;0.170036;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.029222;0.113765;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;12.00;0.030571;0.129101;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;12.00;0.020999;0.095981;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;12.00;0.023546;0.094840;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.016819;0.069271;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.019895;0.078561;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;12.00;0.036291;0.141918;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;12.00;0.024075;0.105317;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.025904;0.119869;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.017313;0.081276;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;12.00;0.018268;0.076208;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.016267;0.075871;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.01791;0.093954;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.027625;0.112712;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.025659;0.100180;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.022538;0.088508;SAT
ENC3_NNGR_20x10_02;1;0;3;2561;0;12.00;0.024425;0.103955;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;12.00;0.024449;0.108840;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;12.00;0.021693;0.078105;SAT
ENC3_NNGR_21x14_01;1;2;5;4807;2;13.00;0.022038;0.092216;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;14.00;0.022374;0.117959;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;15.00;0.023866;0.137256;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.021671;0.086392;SAT
ENC3_NNGR_24x18_01;1;3;19;8453;6;14.00;0.024503;0.113202;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;14.00;0.021941;0.113249;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;13.00;0.021353;0.106366;SAT
ENC3_NNGR_25x25_01;1;2;9;6135;2;14.00;0.027667;0.113382;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;16.00;0.02725;0.174061;SAT
ENC3_NNGR_30x20_01;1;1;5;11824;1;16.00;0.024625;0.146864;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;15.00;0.022851;0.129993;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;15.00;0.023325;0.124427;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;15.00;0.022155;0.121249;SAT
