File;Temps_cpu_resoldre(cpuTime_sense_temps_cerca);Unitaries_learnt;Binaries_learnt;Binaries_learnt_nova;Binaries_learnt_existent;Unitaries_A_in_binaries_learnt_trobada;Ternaries_learnt;Binaria_AC_trobada;Binaria_AC_amb_retroces_esperat;Binaria_AC_amb_retroces_anterior;Binaria_AB_trobada;Binaries_AC_&_AB_trobades;Unitaria_A_in_ternaria_learnt_trobada;Retroces_per_reduccio_a_binaries_esperat;Retroces_per_reduccio_a_binaries_anterior_al_esperat;Simplificat_a_Binaries(NO CDCL);Simplificat_a_Unitaries(NO CDCL);Quants_cops_fet_cerca_implicacions;Temps_total_segons_fet_cerca_implicacions;Temps_mitjana_segons_fet_cerca_implicacions;Unitaries_descobertes_per_la_cerca_de_implicacions;Unitaries_reedescobertes_en_restart;Unitaries_evitat_restart_afegits;Binaries_AC_recordades_afegides;Binaries_AC_recordades_reedescobertes;Resultat
ENC3_NNGR_100x75_01;0.08892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.57120;0.57120;2013;0;0;0;0;SAT
ENC3_NNGR_10x10_01;0.00934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00018;0.00018;0;0;0;0;0;SAT
ENC3_NNGR_10x15_01;0.00685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00019;0.00019;0;0;0;0;0;SAT
ENC3_NNGR_10x15_02;0.00938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00029;0.00029;0;0;0;0;0;SAT
ENC3_NNGR_10x15_03;0.03211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00073;0.00073;0;0;0;0;0;SAT
ENC3_NNGR_10x20_01;0.03313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00097;0.00097;0;0;0;0;0;SAT
ENC3_NNGR_11x15_01;0.02346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00067;0.00067;0;0;0;0;0;SAT
ENC3_NNGR_11x15_02;0.02266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00060;0.00060;0;0;0;0;0;SAT
ENC3_NNGR_12x12_01;0.01315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01417;0.01417;148;0;0;0;0;SAT
ENC3_NNGR_12x21_01;0.01686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00061;0.00061;0;0;0;0;0;SAT
