File;Restarts;Conflicts;Decisions;Propagations;Conflict Literals;Memory Used;CPU Time;Execution Time;Result
ENC3_NNGR_100x75_01;1;0;2;179851;0;150.00;0.660122;4.623937;SAT
ENC3_NNGR_10x10_01;1;0;2;1021;0;12.00;0.009517;0.036828;SAT
ENC3_NNGR_10x15_01;1;0;2;1781;0;12.00;0.007042;0.034757;SAT
ENC3_NNGR_10x15_02;1;0;2;1701;0;12.00;0.009664;0.035446;SAT
ENC3_NNGR_10x15_03;1;0;2;1871;0;12.00;0.03284;0.123052;SAT
ENC3_NNGR_10x20_01;1;0;2;2421;0;12.00;0.034095;0.122735;SAT
ENC3_NNGR_11x15_01;1;0;2;2020;0;12.00;0.024128;0.086287;SAT
ENC3_NNGR_11x15_02;1;0;2;2032;0;12.00;0.023261;0.087187;SAT
ENC3_NNGR_12x12_01;1;0;2;1393;0;13.00;0.02732;0.139022;SAT
ENC3_NNGR_12x21_01;1;0;2;2635;0;12.00;0.017465;0.072823;SAT
ENC3_NNGR_13x10_01;1;0;2;1391;0;12.00;0.012592;0.050420;SAT
ENC3_NNGR_13x15_01;1;0;2;2178;0;12.00;0.013267;0.055837;SAT
ENC3_NNGR_13x18_01;1;0;2;2395;0;12.00;0.013749;0.059800;SAT
ENC3_NNGR_14x15_01;1;0;2;2283;0;12.00;0.012459;0.058659;SAT
ENC3_NNGR_14x15_02;1;0;2;2613;0;13.00;0.020967;0.080167;SAT
ENC3_NNGR_14x16_01;1;0;2;2289;0;12.00;0.015749;0.051637;SAT
ENC3_NNGR_14x44_01;1;0;2;11457;0;31.00;0.227608;1.307353;SAT
ENC3_NNGR_15x10_01;1;0;2;1431;0;12.00;0.01647;0.072657;SAT
ENC3_NNGR_15x15_01;1;0;2;3076;0;13.00;0.016281;0.063731;SAT
ENC3_NNGR_15x15_02;1;0;2;2836;0;13.00;0.016577;0.058008;SAT
ENC3_NNGR_15x15_03;1;0;2;3106;0;13.00;0.015795;0.063353;SAT
ENC3_NNGR_15x15_04;1;0;2;2296;0;12.00;0.016609;0.083088;SAT
ENC3_NNGR_15x15_05;1;0;2;2356;0;12.00;0.02342;0.099757;SAT
ENC3_NNGR_15x15_06;1;0;2;2716;0;13.00;0.022221;0.074133;SAT
ENC3_NNGR_15x17_01;1;0;2;3318;0;13.00;0.018794;0.084170;SAT
ENC3_NNGR_15x18_01;1;0;2;4783;0;13.00;0.035181;0.155073;SAT
ENC3_NNGR_15x20_01;1;0;2;3931;0;13.00;0.027539;0.108929;SAT
ENC3_NNGR_16x19_01;1;0;2;3005;0;13.00;0.025084;0.099010;SAT
ENC3_NNGR_17x11_01;1;0;2;2174;0;12.00;0.015225;0.073705;SAT
ENC3_NNGR_17x18_01;1;0;2;2371;0;12.00;0.021677;0.091139;SAT
ENC3_NNGR_18x17_01;1;0;2;4099;0;13.00;0.035055;0.161292;SAT
ENC3_NNGR_18x25_01;1;0;2;3729;0;13.00;0.028166;0.116300;SAT
ENC3_NNGR_20x10_01;1;0;2;2041;0;12.00;0.019382;0.079136;SAT
ENC3_NNGR_20x10_02;1;0;2;2561;0;16.00;0.051247;0.260187;SAT
ENC3_NNGR_20x15_01;1;0;2;3541;0;13.00;0.0162;0.064100;SAT
ENC3_NNGR_20x19_01;1;0;2;2715;0;13.00;0.015124;0.063853;SAT
ENC3_NNGR_21x14_01;1;0;2;4621;0;22.00;0.076297;0.367930;SAT
ENC3_NNGR_21x23_01;1;0;2;9090;0;15.00;0.019965;0.079786;SAT
ENC3_NNGR_21x33_01;1;0;2;11980;0;17.00;0.019491;0.184196;SAT
ENC3_NNGR_24x13_01;1;0;2;3899;0;13.00;0.039122;0.146196;SAT
ENC3_NNGR_24x18_01;1;3;12;8269;7;21.00;0.088152;0.551163;SAT
ENC3_NNGR_25x20_01;1;0;2;7621;0;15.00;0.028198;0.111988;SAT
ENC3_NNGR_25x24_01;1;0;2;6547;0;14.00;0.024226;0.107432;SAT
ENC3_NNGR_25x25_01;1;0;2;5826;0;62.00;0.348255;1.806837;SAT
ENC3_NNGR_29x25_01;1;0;2;14998;0;18.00;0.01989;0.092732;SAT
ENC3_NNGR_30x20_01;1;0;2;11681;0;48.00;0.217827;1.206094;SAT
ENC3_NNGR_30x20_02;1;0;2;10821;0;16.00;0.023103;0.088736;SAT
ENC3_NNGR_30x20_03;1;0;2;9481;0;16.00;0.026455;0.126911;SAT
ENC3_NNGR_30x20_04;1;0;2;10121;0;16.00;0.020652;0.128034;SAT
ENC3_NNGR_30x25_01;1;0;2;13851;0;18.00;0.029874;0.164948;SAT
ENC3_NNGR_30x25_02;1;0;2;10971;0;16.00;0.025286;0.119944;SAT
ENC3_NNGR_30x30_01;1;0;2;14161;0;18.00;0.025662;0.134641;SAT
ENC3_NNGR_30x32_01;1;0;2;19941;0;20.00;0.029369;0.146494;SAT
ENC3_NNGR_30x45_01;1;9;35;35124;61;94.00;0.397166;2.086680;SAT
ENC3_NNGR_30x45_02;1;41;119;50944;214;73.00;0.288686;1.531213;SAT
ENC3_NNGR_32x32_01;1;0;2;23169;0;27.00;0.047059;0.273696;SAT
ENC3_NNGR_34x30_01;1;2;9;18732;2;122.00;0.493605;2.271837;SAT
ENC3_NNGR_35x18_01;1;0;2;8461;0;15.00;0.011995;0.046505;SAT
ENC3_NNGR_35x25_01;1;0;2;12736;0;17.00;0.019268;0.054826;SAT
ENC3_NNGR_35x25_02;1;0;2;15616;0;19.00;0.022204;0.059984;SAT
ENC3_NNGR_35x25_03;1;0;2;14236;0;56.00;0.156117;0.690999;SAT
ENC3_NNGR_35x25_04;1;0;2;12756;0;18.00;0.018296;0.051951;SAT
ENC3_NNGR_35x35_01;1;1;6;26273;5;76.00;0.207954;0.913933;SAT
ENC3_NNGR_35x35_02;1;53;118;85265;806;92.00;0.263689;1.097973;SAT
ENC3_NNGR_35x35_03;1;0;2;23906;0;22.00;0.018205;0.085354;SAT
ENC3_NNGR_35x45_01;1;4;14;34215;9;83.00;0.260417;1.040337;SAT
ENC3_NNGR_35x45_02;1;3;12;38522;24;126.00;0.349694;1.342607;SAT
ENC3_NNGR_35x45_03;2;154;334;134619;2104;109.00;0.297814;1.148391;SAT
ENC3_NNGR_35x45_04;1;3;17;39234;13;122.00;0.329103;1.329811;SAT
ENC3_NNGR_35x45_05;1;3;14;36556;11;101.00;0.245159;0.998872;SAT
ENC3_NNGR_35x45_06;1;21;65;57859;89;106.00;0.224079;0.850299;SAT
ENC3_NNGR_39x39_01;1;0;2;27418;0;24.00;0.01609;0.056217;SAT
ENC3_NNGR_40x30_01;1;0;2;32361;0;36.00;0.049407;0.195692;SAT
ENC3_NNGR_40x35_01;1;0;2;19021;0;20.00;0.011325;0.050764;SAT
ENC3_NNGR_40x40_01;1;0;2;18561;0;21.00;0.017043;0.051868;SAT
ENC3_NNGR_40x40_02;1;0;2;47521;0;34.00;0.018924;0.113016;SAT
ENC3_NNGR_40x45_01;1;14;59;46419;153;79.00;0.158023;0.575416;SAT
ENC3_NNGR_40x45_02;1;46;115;89331;241;202.00;0.487535;1.850320;SAT
ENC3_NNGR_40x45_03;1;2;7;40700;3;168.00;0.359727;1.274556;SAT
ENC3_NNGR_40x45_04;3;200;534;165481;3331;207.00;0.512905;2.069843;SAT
ENC3_NNGR_40x45_05;2;115;466;188227;1932;251.00;1.26189;6.584642;SAT
ENC3_NNGR_40x45_06;1;18;67;59870;216;218.00;0.638205;2.578221;SAT
ENC3_NNGR_40x45_07;3;243;979;315675;4662;201.00;1.57571;9.926429;SAT
ENC3_NNGR_40x45_08;1;14;35;55198;227;141.00;0.752071;4.313227;SAT
ENC3_NNGR_41x45_01;1;0;2;44178;0;34.00;0.042444;0.236105;SAT
ENC3_NNGR_42x24_01;1;0;2;28993;0;25.00;0.022315;0.121486;SAT
ENC3_NNGR_43x39_01;1;5;39;36238;46;248.00;1.23672;6.499200;SAT
ENC3_NNGR_45x19_01;1;0;2;9568;0;16.00;0.008964;0.049932;SAT
ENC3_NNGR_45x25_01;1;0;2;26306;0;23.00;0.022736;0.105657;SAT
ENC3_NNGR_45x27_01;1;0;2;27910;0;25.00;0.032313;0.317635;SAT
ENC3_NNGR_45x28_01;1;0;2;25261;0;23.00;0.045783;0.315627;SAT
ENC3_NNGR_45x28_02;1;0;2;30475;0;26.00;0.050552;0.372517;SAT
ENC3_NNGR_45x28_03;1;5;13;23844;13;38.00;0.143167;0.884354;SAT
ENC3_NNGR_45x28_04;1;0;2;30401;0;37.00;0.113218;0.583180;SAT
ENC3_NNGR_45x29_01;1;0;2;18668;0;269.00;0.990542;4.404002;SAT
ENC3_NNGR_45x30_01;1;0;2;30901;0;26.00;0.018652;0.093168;SAT
ENC3_NNGR_45x30_02;1;0;2;33931;0;132.00;0.363023;1.415437;SAT
ENC3_NNGR_45x30_03;1;0;2;25141;0;23.00;0.021151;0.076426;SAT
ENC3_NNGR_45x30_04;1;0;2;21421;0;22.00;0.022522;0.191490;SAT
ENC3_NNGR_45x30_05;1;0;2;19981;0;21.00;0.052278;0.302573;SAT
ENC3_NNGR_45x30_06;1;3;7;30882;5;107.00;0.566986;3.166012;SAT
ENC3_NNGR_45x30_07;1;0;2;17101;0;20.00;0.020945;0.109068;SAT
ENC3_NNGR_45x30_08;1;5;40;27710;22;43.00;0.128357;0.607790;SAT
ENC3_NNGR_45x30_09;1;0;2;30421;0;39.00;0.086375;0.505490;SAT
ENC3_NNGR_45x32_01;1;0;2;23423;0;22.00;0.024508;0.111623;SAT
ENC3_NNGR_45x32_02;1;2;5;36002;2;45.00;0.107652;0.527772;SAT
ENC3_NNGR_45x33_01;1;0;2;30058;0;26.00;0.027997;0.128917;SAT
ENC3_NNGR_45x33_02;1;0;2;30748;0;74.00;0.211485;0.984207;SAT
ENC3_NNGR_45x33_03;1;0;2;21586;0;22.00;0.023002;0.088947;SAT
ENC3_NNGR_45x33_04;1;28;81;60703;277;126.00;0.39511;1.715837;SAT
ENC3_NNGR_45x33_05;1;0;2;26296;0;24.00;0.015623;0.098106;SAT
ENC3_NNGR_45x35_01;1;0;2;36606;0;123.00;0.383357;1.734115;SAT
ENC3_NNGR_45x35_02;1;7;19;40189;45;130.00;0.37036;1.631822;SAT
ENC3_NNGR_45x35_03;1;0;2;37026;0;29.00;0.024935;0.111531;SAT
ENC3_NNGR_45x38_01;1;0;2;30257;0;26.00;0.019241;0.092087;SAT
ENC3_NNGR_45x39_01;1;0;4;44722;0;44.00;0.065646;0.279064;SAT
ENC3_NNGR_45x40_01;1;86;419;185103;2681;140.00;0.342582;1.395615;SAT
ENC3_NNGR_45x40_02;1;0;8;38561;0;140.00;0.345368;1.286682;SAT
ENC3_NNGR_45x40_03;1;15;97;45226;502;200.00;0.490323;1.659547;SAT
ENC3_NNGR_45x40_04;1;0;2;36541;0;40.00;0.05738;0.197386;SAT
ENC3_NNGR_45x40_05;1;23;90;71958;111;188.00;0.467022;1.547940;SAT
ENC3_NNGR_45x40_06;1;77;193;97431;1022;202.00;0.469569;1.622233;SAT
ENC3_NNGR_45x40_07;1;10;32;46075;52;149.00;0.320834;1.212694;SAT
ENC3_NNGR_45x45_01;1;1;5;55596;1;143.00;0.293183;1.066558;SAT
ENC3_NNGR_45x45_02;2;138;866;214691;2073;239.00;0.552603;1.983168;SAT
ENC3_NNGR_45x45_03;2;184;686;206378;5620;146.00;0.301394;1.050675;SAT
ENC3_NNGR_45x45_04;1;0;2;52696;0;102.00;0.190856;0.761538;SAT
ENC3_NNGR_45x45_05;1;12;29;72450;276;202.00;0.482923;1.707805;SAT
ENC3_NNGR_45x45_06;2;112;216;159889;1317;173.00;0.374347;1.315643;SAT
ENC3_NNGR_45x45_07;1;15;51;75177;89;226.00;0.534426;1.892030;SAT
ENC3_NNGR_45x45_08;1;30;75;65964;1378;109.00;0.244432;0.890137;SAT
ENC3_NNGR_45x45_09;1;6;34;58556;33;132.00;0.589201;3.205666;SAT
ENC3_NNGR_45x45_10;1;0;15;65296;0;204.00;1.14204;6.533715;SAT
ENC3_NNGR_45x45_11;1;23;56;71249;144;164.00;0.960643;6.168880;SAT
ENC3_NNGR_45x45_12;1;24;104;74507;72;269.00;1.15179;6.509380;SAT
ENC3_NNGR_45x45_13;1;0;2;42436;0;32.00;0.029918;0.135003;SAT
ENC3_NNGR_45x45_14;1;1;47;57846;2;312.00;1.38377;7.552396;SAT
ENC3_NNGR_45x45_15;1;19;43;74495;379;265.00;0.753723;3.280422;SAT
ENC3_NNGR_45x45_16;1;0;5;52336;0;227.00;0.622492;2.566739;SAT
ENC3_NNGR_45x45_17;1;0;2;59536;0;56.00;0.086429;0.397671;SAT
ENC3_NNGR_45x45_18;1;20;85;71057;177;141.00;0.32727;1.244323;SAT
ENC3_NNGR_45x45_19;1;27;82;73127;201;184.00;0.380588;1.383322;SAT
ENC3_NNGR_45x45_20;1;4;19;53430;6;173.00;0.365136;1.331031;SAT
ENC3_NNGR_45x45_21;1;43;100;92909;317;173.00;0.38802;1.345529;SAT
ENC3_NNGR_45x45_22;1;47;148;75623;461;129.00;0.265351;0.927034;SAT
ENC3_NNGR_45x45_23;1;1;4;46132;1;155.00;0.365115;1.286260;SAT
ENC3_NNGR_45x45_24;1;85;189;130428;854;197.00;0.438218;1.732933;SAT
ENC3_NNGR_45x45_25;1;0;2;51976;0;72.00;0.393436;2.548001;SAT
ENC3_NNGR_45x45_26;2;150;377;178740;2624;198.00;0.798778;4.262095;SAT
ENC3_NNGR_45x45_27;1;61;137;92648;537;107.00;0.280685;1.233893;SAT
ENC3_NNGR_45x45_28;1;81;169;120800;1627;376.00;1.13479;4.375544;SAT
ENC3_NNGR_45x45_29;1;40;127;84230;525;117.00;0.217319;0.819002;SAT
ENC3_NNGR_45x45_30;1;0;2;56746;0;46.00;0.053535;0.248423;SAT
ENC3_NNGR_45x45_31;1;47;168;81744;291;129.00;0.26692;0.903166;SAT
ENC3_NNGR_45x80_02;1;66;564;254421;916;598.00;1.4657;5.758859;SAT
ENC3_NNGR_50x40_01;1;0;2;63421;0;41.00;0.027862;0.135258;SAT
ENC3_NNGR_50x40_02;1;17;27;64020;66;86.00;0.154578;0.568218;SAT
ENC3_NNGR_50x50_01;1;0;2;53101;0;132.00;0.275736;0.973327;SAT
ENC3_NNGR_50x70_01;1;0;2;91441;0;53.00;0.029197;0.198491;SAT
ENC3_NNGR_50x75_01;1;0;2;29401;0;26.00;0.01469;0.072521;SAT
ENC3_NNGR_50x75_02;2;106;289;286540;3505;486.00;1.18954;4.357916;SAT
ENC3_NNGR_53x45_01;1;0;2;27702;0;25.00;0.014247;0.067601;SAT
ENC3_NNGR_55x65_01;8;1212;3324;1350230;33560;501.00;1.84462;9.291325;SAT
ENC3_NNGR_55x65_02;2;150;845;279475;2201;264.00;1.3081;8.141087;SAT
ENC3_NNGR_55x70_01;1;16;53;175063;161;556.00;1.87416;9.032759;SAT
ENC3_NNGR_55x75_01;3;288;1193;546796;6887;623.00;1.92399;8.585757;SAT
ENC3_NNGR_56x55_01;1;0;2;90395;0;53.00;0.033143;0.199018;SAT
ENC3_NNGR_57x57_01;1;18;62;152482;26;367.00;1.02985;4.591406;SAT
