Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
NNGR_100x75_01;67.65;1.33;1000;5.07;10.94;5.53;5.96;33.05;0.38
NNGR_10x10_01;52.00;1.00;46;1.13;1.59;2.00;2.60;6.10;0.61
NNGR_10x15_01;39.33;0.67;66;0.89;1.11;3.10;2.33;9.30;0.74
NNGR_10x15_02;38.00;0.67;62;0.92;1.26;3.10;2.07;9.33;0.74
NNGR_10x15_03;44.00;0.67;69;0.96;1.22;3.40;2.33;8.87;0.71
NNGR_10x20_01;41.00;0.50;79;1.04;1.47;3.20;2.35;10.62;0.71
NNGR_11x15_01;47.88;0.73;73;1.08;1.78;2.82;2.80;8.58;0.66
NNGR_11x15_02;40.00;0.73;71;0.93;1.31;3.45;2.20;9.63;0.74
NNGR_12x12_01;34.72;1.00;52;0.96;1.21;2.17;2.17;9.00;0.75
NNGR_12x21_01;35.32;0.57;76;1.17;2.54;2.58;2.14;12.04;0.73
NNGR_13x10_01;44.62;1.30;54;1.07;1.51;1.85;3.00;7.79;0.67
NNGR_13x15_01;54.36;0.87;71;1.49;1.99;2.62;2.47;7.93;0.57
NNGR_13x18_01;46.15;0.72;70;1.54;2.00;2.62;2.00;9.65;0.62
NNGR_14x15_01;47.14;0.93;71;1.39;2.20;3.00;1.93;9.13;0.63
NNGR_14x15_02;44.29;0.93;83;1.12;1.85;2.79;2.93;9.94;0.69
NNGR_14x16_01;41.52;0.88;69;1.35;2.18;2.36;2.25;10.08;0.67
NNGR_14x44_01;36.36;0.32;205;1.09;2.91;6.07;2.73;21.85;0.76
NNGR_15x10_01;41.33;1.50;53;1.17;1.74;2.07;2.20;8.47;0.68
NNGR_15x15_01;48.44;1.00;95;1.15;1.90;3.20;3.13;9.90;0.66
NNGR_15x15_02;45.33;1.00;87;1.17;1.77;2.73;3.07;10.10;0.67
NNGR_15x15_03;57.33;1.00;96;1.34;2.20;3.60;2.80;8.60;0.57
NNGR_15x15_04;47.11;1.00;69;1.54;2.50;2.67;1.93;9.23;0.62
NNGR_15x15_05;46.22;1.00;71;1.46;2.04;2.33;2.40;9.43;0.63
NNGR_15x15_06;50.22;1.00;83;1.36;2.01;2.40;3.13;9.23;0.62
NNGR_15x17_01;43.14;0.88;95;1.16;1.87;3.53;2.47;11.10;0.69
NNGR_15x18_01;53.70;0.83;137;1.06;2.12;4.47;3.89;10.82;0.66
NNGR_15x20_01;36.33;0.75;104;1.05;1.68;3.40;2.65;13.17;0.75
NNGR_16x19_01;44.08;0.84;78;1.72;3.31;2.12;2.32;11.01;0.63
NNGR_17x11_01;46.52;1.55;75;1.16;2.32;2.76;2.55;9.14;0.66
NNGR_17x18_01;41.50;0.94;59;2.15;2.76;1.71;1.67;10.92;0.62
NNGR_18x17_01;43.46;1.06;108;1.23;2.25;2.67;3.53;11.99;0.68
NNGR_18x25_01;39.33;0.72;79;2.24;4.14;1.72;1.92;13.86;0.65
NNGR_20x10_01;38.50;2.00;62;1.24;2.23;1.60;3.00;10.53;0.69
NNGR_20x10_02;42.50;2.00;80;1.06;1.44;2.10;3.80;10.57;0.70
NNGR_20x15_01;65.67;1.33;92;2.14;3.07;2.20;3.20;7.71;0.44
NNGR_20x19_01;54.47;1.05;60;3.45;4.94;1.65;1.42;9.41;0.48
NNGR_21x14_01;48.30;1.50;128;1.11;1.90;3.57;3.79;11.73;0.68
NNGR_21x23_01;66.05;0.91;195;1.64;2.86;4.95;3.96;10.92;0.50
NNGR_21x33_01;66.09;0.64;211;2.17;4.48;4.81;3.33;12.23;0.45
NNGR_24x13_01;43.27;1.85;99;1.36;2.83;2.21;3.54;12.37;0.67
NNGR_24x18_01;49.77;1.33;175;1.23;2.51;3.79;4.67;13.78;0.66
NNGR_25x20_01;57.80;1.25;160;1.81;3.43;3.52;3.60;12.05;0.54
NNGR_25x24_01;54.50;1.04;122;2.68;5.03;3.08;1.88;12.62;0.52
NNGR_25x25_01;39.52;1.00;104;2.38;3.52;2.12;2.04;16.20;0.65
NNGR_29x25_01;63.03;1.16;268;1.71;3.62;5.48;4.36;13.90;0.52
NNGR_30x20_01;39.33;1.50;210;1.12;2.99;2.53;6.70;18.78;0.74
NNGR_30x20_02;51.00;1.50;203;1.51;3.81;3.27;5.25;15.51;0.62
NNGR_30x20_03;45.33;1.50;177;1.54;3.68;2.90;4.50;16.37;0.65
NNGR_30x20_04;51.83;1.50;205;1.52;2.82;4.63;3.30;15.01;0.61
NNGR_30x25_01;54.27;1.20;239;1.70;3.03;4.13;4.60;15.94;0.58
NNGR_30x25_02;59.20;1.20;187;2.37;4.16;3.33;3.48;13.63;0.50
