Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
RNDNNGR_10x13_01;17.69;0.77;45;0.51;0.54;2.10;1.85;8.25;0.70
RNDNNGR_10x14_01;12.86;0.71;39;0.46;0.57;1.80;1.50;7.58;0.63
RNDNNGR_10x25_01;39.20;0.40;119;0.82;0.98;5.50;2.56;13.67;0.78
RNDNNGR_10x33_01;17.27;0.30;108;0.53;0.40;4.90;1.79;19.52;0.87
RNDNNGR_10x35_01;18.29;0.29;109;0.59;0.69;4.90;1.71;19.55;0.79
RNDNNGR_10x44_01;16.14;0.23;130;0.55;0.49;6.00;1.59;24.42;0.82
RNDNNGR_10x76_01;46.84;0.13;401;0.89;1.13;19.60;2.70;33.01;0.74
RNDNNGR_11x43_01;36.15;0.26;233;0.73;0.79;10.18;2.81;22.74;0.83
RNDNNGR_11x64_01;26.85;0.17;287;0.66;0.60;12.82;2.28;33.64;0.85
RNDNNGR_11x67_01;16.82;0.16;221;0.56;0.47;10.00;1.66;36.53;0.86
RNDNNGR_11x74_01;15.85;0.15;229;0.56;0.62;9.55;1.68;39.04;0.81
RNDNNGR_12x63_01;35.58;0.19;365;0.74;0.78;15.75;2.79;32.43;0.84
RNDNNGR_12x69_01;29.71;0.17;364;0.68;0.69;14.75;2.71;36.11;0.87
RNDNNGR_13x10_01;34.62;1.30;61;0.74;0.74;2.54;2.80;9.19;0.80
RNDNNGR_13x33_01;17.72;0.39;132;0.58;0.54;5.00;2.03;20.85;0.88
RNDNNGR_13x36_01;26.92;0.36;187;0.67;0.69;7.31;2.56;21.65;0.86
RNDNNGR_13x37_01;42.62;0.35;244;0.84;1.02;9.23;3.35;19.64;0.78
RNDNNGR_13x38_01;48.38;0.34;259;0.92;1.36;9.69;3.50;18.76;0.73
RNDNNGR_13x61_01;28.75;0.21;327;0.70;0.70;12.69;2.66;32.82;0.86
RNDNNGR_13x66_01;31.35;0.20;382;0.70;0.86;14.31;2.97;34.46;0.84
RNDNNGR_13x77_01;49.45;0.17;510;0.97;1.36;19.00;3.42;32.96;0.72
RNDNNGR_14x17_01;49.58;0.82;118;1.00;1.35;4.50;3.24;10.68;0.69
RNDNNGR_14x32_01;22.77;0.44;154;0.66;0.62;5.29;2.50;20.44;0.88
RNDNNGR_14x58_01;32.27;0.24;365;0.72;0.91;12.50;3.28;31.27;0.86
RNDNNGR_15x28_01;43.33;0.54;220;0.83;0.98;7.00;4.11;16.74;0.78
RNDNNGR_15x35_01;37.33;0.43;261;0.75;0.72;8.93;3.63;20.95;0.83
RNDNNGR_15x43_01;45.12;0.35;320;0.91;1.26;10.13;3.91;21.94;0.75
